wire_id,device_type,serial_number,enabled,fw_version
29bc141a9333,MobileTrack,33931a14bc29,false,APP51.0 BSL51.0
81E8288B4C42,Charge 6,,false,APP66.20001.220.31 BSL66.0.0 PERIPH|BT_RADIO|1.5378.0|0 PERIPH|BT_NFC|66.3.10|0 PERIPH|TOUCH|9.0.8|2 PERIPH|GPS|66.0.5|1 ASSETS|1|13172
