"provider_id","sku","timestamp","provider_transaction_id"
"google","com.fitbit.external.prod.monthly.premium","2021-02-20T18:56:57Z","GPA.3382-0445-0482-57259"
"google","com.fitbit.external.prod.annual.premium_ft6m_3","2023-06-03T10:20:58Z","GPA.3391-4996-2270-72158"
