block_id,start_date,end_date,day_count,block_hours,start_weight_kg,end_weight_kg,weight_change_kg,start_fat_mass_kg,end_fat_mass_kg,fat_mass_change_kg,start_lean_mass_kg,end_lean_mass_kg,lean_mass_change_kg,avg_steps,avg_sleep_hours,avg_resting_hr,avg_hrv,avg_calories,avg_protein_g,avg_hunger_score,weight_change_per_hour,fat_mass_change_per_hour
1.0,2020-03-02,2020-03-04,3,72.0,111.924,111.587,-0.3370000000000033,40.374,39.579,-0.7950000000000017,71.55000000000001,72.00800000000001,0.4579999999999984,,,,,200.13333333333333,,,-0.004680555555555601,-0.011041666666666691
2.0,2020-03-09,2020-03-11,3,72.0,112.516,112.153,-0.36299999999999955,37.386,40.977000000000004,3.591000000000001,75.13,71.176,-3.9539999999999935,,,,,10.0,,,-0.0050416666666666604,0.04987500000000002
3.0,2020-03-17,2020-03-18,2,48.0,111.369,111.043,-0.3259999999999934,40.17,41.258,1.088000000000001,71.199,69.785,-1.4140000000000015,,,,,10.0,,,-0.006791666666666529,0.022666666666666686
4.0,2020-03-29,2020-03-29,1,24.0,110.502,110.502,0.0,37.358000000000004,37.358000000000004,0.0,73.14399999999999,73.14399999999999,0.0,,,,,10.0,,,0.0,0.0
5.0,2020-05-06,2020-05-07,2,48.0,111.577,110.697,-0.8799999999999955,38.056,38.352000000000004,0.2960000000000065,73.521,72.345,-1.176000000000002,,,,,10.0,,,-0.01833333333333324,0.006166666666666802
6.0,2020-06-19,2020-07-02,14,336.0,111.389,102.47200000000001,-8.916999999999987,37.438,33.153,-4.285000000000004,73.951,69.31900000000002,-4.631999999999977,,,,,10.0,,,-0.026538690476190438,-0.012752976190476202
7.0,2020-09-05,2020-09-17,13,312.0,103.562,96.107,-7.454999999999998,32.561,27.324,-5.236999999999998,71.001,68.783,-2.2180000000000035,5415.916666666667,7.81,70.6,,20.153846153846153,,,-0.023894230769230765,-0.016785256410256404
8.0,2020-10-31,2020-11-02,3,72.0,101.183,99.637,-1.5460000000000065,27.22,27.35,0.13000000000000256,73.96300000000001,72.287,-1.676000000000002,10304.333333333334,,,,6.666666666666667,,,-0.021472222222222313,0.001805555555555591
9.0,2021-01-25,2021-02-07,14,336.0,98.401,91.066,-7.334999999999994,26.3,21.32,-4.98,72.101,69.74600000000001,-2.3549999999999898,10051.0,5.761363636363637,69.0,15.66175,2.142857142857143,,,-0.021830357142857124,-0.014821428571428572
10.0,2021-04-19,2021-05-03,15,360.0,93.333,87.137,-6.195999999999998,23.38,17.79,-5.59,69.953,69.34700000000001,-0.6059999999999945,8153.133333333333,6.945555555555556,69.8,17.573,57.019999999999996,,,-0.017211111111111104,-0.015527777777777777
