date,readiness_score_value,readiness_state,activity_subcomponent,sleep_subcomponent,hrv_subcomponent,activity_state,sleep_state,hrv_state
2023-12-01,74.0,HIGH,74.0,87.0,56.0,LOW,HIGH,MEDIUM
2023-11-30,100.0,HIGH,100.0,99.0,38.0,LOW,HIGH,MEDIUM
2023-11-29,100.0,HIGH,100.0,93.0,35.0,LOW,HIGH,MEDIUM
2023-11-28,100.0,HIGH,100.0,96.0,44.0,LOW,HIGH,MEDIUM
2023-11-27,100.0,HIGH,100.0,95.0,56.0,LOW,HIGH,MEDIUM
2023-11-26,99.0,HIGH,99.0,94.0,48.0,LOW,HIGH,MEDIUM
2023-11-25,26.0,LOW,94.0,99.0,26.0,LOW,HIGH,LOW
2023-11-24,94.0,HIGH,94.0,64.0,34.0,LOW,MEDIUM,MEDIUM
2023-11-23,14.0,LOW,90.0,14.0,64.0,LOW,LOW,MEDIUM
2023-11-22,13.0,LOW,88.0,13.0,55.0,LOW,LOW,MEDIUM
2023-11-21,100.0,HIGH,100.0,87.0,39.0,LOW,HIGH,MEDIUM
2023-11-20,99.0,HIGH,99.0,84.0,42.0,LOW,HIGH,MEDIUM
2023-11-19,91.0,HIGH,91.0,90.0,42.0,LOW,HIGH,MEDIUM
2023-11-18,78.0,HIGH,78.0,97.0,37.0,LOW,HIGH,MEDIUM
2023-11-17,43.0,MEDIUM,43.0,93.0,46.0,MEDIUM,HIGH,MEDIUM
2023-11-16,89.0,HIGH,89.0,87.0,42.0,LOW,HIGH,MEDIUM
2023-11-15,71.0,HIGH,71.0,83.0,41.0,LOW,HIGH,MEDIUM
2023-11-14,27.0,LOW,27.0,93.0,49.0,HIGH,HIGH,MEDIUM
2023-11-13,72.0,HIGH,72.0,96.0,53.0,LOW,HIGH,MEDIUM
2023-11-12,56.0,MEDIUM,56.0,96.0,49.0,MEDIUM,HIGH,MEDIUM
2023-11-11,100.0,HIGH,100.0,92.0,52.0,LOW,HIGH,MEDIUM
2023-11-10,86.0,HIGH,86.0,94.0,52.0,LOW,HIGH,MEDIUM
2023-11-09,68.0,HIGH,68.0,94.0,69.0,LOW,HIGH,MEDIUM
2023-11-08,31.0,MEDIUM,31.0,94.0,46.0,MEDIUM,HIGH,MEDIUM
2023-11-07,60.0,MEDIUM,60.0,96.0,57.0,MEDIUM,HIGH,MEDIUM
2023-11-06,14.0,LOW,14.0,87.0,44.0,HIGH,HIGH,MEDIUM
2023-11-05,71.0,HIGH,71.0,84.0,46.0,LOW,HIGH,MEDIUM
2023-11-04,32.0,MEDIUM,32.0,73.0,56.0,MEDIUM,HIGH,MEDIUM
2023-11-03,70.0,HIGH,70.0,84.0,57.0,LOW,HIGH,MEDIUM
2023-11-02,29.0,LOW,29.0,87.0,44.0,HIGH,HIGH,MEDIUM
2023-11-01,50.0,MEDIUM,50.0,80.0,41.0,MEDIUM,HIGH,MEDIUM
