date,readiness_score_value,readiness_state,activity_subcomponent,sleep_subcomponent,hrv_subcomponent,activity_state,sleep_state,hrv_state
2023-11-01,50.0,MEDIUM,50.0,80.0,41.0,MEDIUM,HIGH,MEDIUM
2023-10-31,31.0,MEDIUM,31.0,90.0,45.0,MEDIUM,HIGH,MEDIUM
2023-10-30,80.0,HIGH,80.0,95.0,55.0,LOW,HIGH,MEDIUM
2023-10-29,52.0,MEDIUM,52.0,90.0,50.0,MEDIUM,HIGH,MEDIUM
2023-10-28,9.0,LOW,9.0,98.0,60.0,HIGH,HIGH,MEDIUM
2023-10-27,72.0,HIGH,72.0,97.0,56.0,LOW,HIGH,MEDIUM
2023-10-26,31.0,MEDIUM,31.0,93.0,43.0,MEDIUM,HIGH,MEDIUM
2023-10-25,1.0,LOW,0.0,91.0,47.0,HIGH,HIGH,MEDIUM
2023-10-24,6.0,LOW,6.0,78.0,45.0,HIGH,HIGH,MEDIUM
2023-10-23,1.0,LOW,0.0,64.0,43.0,HIGH,MEDIUM,MEDIUM
2023-10-22,1.0,LOW,0.0,94.0,47.0,HIGH,HIGH,MEDIUM
2023-10-21,89.0,HIGH,89.0,91.0,77.0,LOW,HIGH,HIGH
2023-10-20,70.0,HIGH,70.0,95.0,58.0,LOW,HIGH,MEDIUM
2023-10-19,56.0,MEDIUM,56.0,97.0,74.0,MEDIUM,HIGH,HIGH
2023-10-18,12.0,LOW,12.0,96.0,56.0,HIGH,HIGH,MEDIUM
2023-10-17,75.0,HIGH,75.0,95.0,48.0,LOW,HIGH,MEDIUM
2023-10-16,94.0,HIGH,94.0,98.0,52.0,LOW,HIGH,MEDIUM
2023-10-15,94.0,HIGH,94.0,97.0,62.0,LOW,HIGH,MEDIUM
2023-10-14,93.0,HIGH,93.0,98.0,55.0,LOW,HIGH,MEDIUM
2023-10-13,83.0,HIGH,83.0,100.0,52.0,LOW,HIGH,MEDIUM
2023-10-12,88.0,HIGH,88.0,100.0,57.0,LOW,HIGH,MEDIUM
2023-10-11,91.0,HIGH,91.0,100.0,54.0,LOW,HIGH,MEDIUM
2023-10-10,89.0,HIGH,89.0,99.0,57.0,LOW,HIGH,MEDIUM
2023-10-09,96.0,HIGH,96.0,98.0,54.0,LOW,HIGH,MEDIUM
2023-10-08,88.0,HIGH,88.0,74.0,44.0,LOW,HIGH,MEDIUM
2023-10-07,71.0,HIGH,71.0,53.0,46.0,LOW,MEDIUM,MEDIUM
2023-10-06,96.0,HIGH,96.0,95.0,50.0,LOW,HIGH,MEDIUM
2023-10-05,94.0,HIGH,94.0,92.0,52.0,LOW,HIGH,MEDIUM
2023-10-04,95.0,HIGH,95.0,93.0,43.0,LOW,HIGH,MEDIUM
2023-10-03,94.0,HIGH,94.0,93.0,63.0,LOW,HIGH,MEDIUM
2023-10-02,92.0,HIGH,92.0,92.0,75.0,LOW,HIGH,HIGH
2023-10-01,85.0,HIGH,85.0,89.0,42.0,LOW,HIGH,MEDIUM
