date,readiness_score_value,readiness_state,activity_subcomponent,sleep_subcomponent,hrv_subcomponent,activity_state,sleep_state,hrv_state
2023-10-01,85.0,HIGH,85.0,89.0,42.0,LOW,HIGH,MEDIUM
2023-09-30,69.0,HIGH,69.0,84.0,60.0,LOW,HIGH,MEDIUM
2023-09-29,43.0,MEDIUM,43.0,82.0,44.0,MEDIUM,HIGH,MEDIUM
2023-09-28,95.0,HIGH,95.0,86.0,50.0,LOW,HIGH,MEDIUM
2023-09-27,92.0,HIGH,92.0,78.0,38.0,LOW,HIGH,MEDIUM
2023-09-26,98.0,HIGH,98.0,91.0,69.0,LOW,HIGH,MEDIUM
2023-09-25,98.0,HIGH,98.0,85.0,39.0,LOW,HIGH,MEDIUM
2023-09-24,96.0,HIGH,96.0,96.0,76.0,LOW,HIGH,HIGH
2023-09-23,93.0,HIGH,93.0,91.0,59.0,LOW,HIGH,MEDIUM
2023-09-22,91.0,HIGH,91.0,87.0,52.0,LOW,HIGH,MEDIUM
2023-09-21,84.0,HIGH,84.0,85.0,61.0,LOW,HIGH,MEDIUM
2023-09-20,59.0,MEDIUM,59.0,97.0,45.0,MEDIUM,HIGH,MEDIUM
2023-09-19,36.0,MEDIUM,36.0,98.0,45.0,MEDIUM,HIGH,MEDIUM
2023-09-18,1.0,LOW,0.0,90.0,37.0,HIGH,HIGH,MEDIUM
2023-09-17,1.0,LOW,0.0,66.0,28.0,HIGH,MEDIUM,LOW
2023-09-16,9.0,LOW,91.0,9.0,35.0,LOW,LOW,MEDIUM
2023-09-15,90.0,HIGH,90.0,96.0,60.0,LOW,HIGH,MEDIUM
2023-09-14,100.0,HIGH,100.0,93.0,55.0,LOW,HIGH,MEDIUM
2023-09-13,100.0,HIGH,100.0,97.0,58.0,LOW,HIGH,MEDIUM
2023-09-12,96.0,HIGH,96.0,99.0,48.0,LOW,HIGH,MEDIUM
2023-09-10,65.0,HIGH,65.0,94.0,45.0,LOW,HIGH,MEDIUM
2023-09-09,52.0,MEDIUM,52.0,86.0,45.0,MEDIUM,HIGH,MEDIUM
2023-09-08,1.0,LOW,8.0,1.0,58.0,HIGH,LOW,MEDIUM
2023-09-07,89.0,HIGH,89.0,55.0,38.0,LOW,MEDIUM,MEDIUM
2023-09-06,91.0,HIGH,91.0,48.0,48.0,LOW,MEDIUM,MEDIUM
2023-09-05,80.0,HIGH,80.0,84.0,53.0,LOW,HIGH,MEDIUM
2023-09-04,78.0,HIGH,78.0,73.0,40.0,LOW,HIGH,MEDIUM
2023-09-03,53.0,MEDIUM,53.0,97.0,51.0,MEDIUM,HIGH,MEDIUM
2023-09-02,12.0,LOW,12.0,91.0,55.0,HIGH,HIGH,MEDIUM
2023-09-01,100.0,HIGH,100.0,94.0,53.0,LOW,HIGH,MEDIUM
