type,sleep_start,sleep_end,temperature_samples,nightly_temperature,baseline_relative_sample_sum,baseline_relative_sample_sum_of_squares,baseline_relative_nightly_standard_deviation,baseline_relative_sample_standard_deviation
IDT,2023-08-01T07:09:30,2023-08-01T13:41:30,391,32.465728900255755,-15.98512396694241,347.1342818113044,0.5008213329288568,0.9401428443946653
IDT,2023-08-02T05:57,2023-08-02T13:29:30,453,31.99514348785872,-231.69504132231486,180.61393415741622,0.5033749758850539,0.9331120799029885
IDT,2023-08-03T06:50:30,2023-08-03T15:03:30,493,32.58397565922921,-1.8189894035458565E-12,523.9034077078104,0.475845627084672,0.9303832101564895
IDT,2023-08-04T07:21,2023-08-04T14:13:30,412,32.335679611650484,-102.2979716024347,165.1256917329738,0.4720719907003436,0.9333372545812365
IDT,2023-08-05T07:29,2023-08-05T14:58:30,450,32.355333333333334,-102.88904665314476,826.1769909359282,0.44300781993381616,0.939359499793197
IDT,2023-08-06T06:32,2023-08-06T14:50,498,32.71305220883534,56.18282352941242,288.2435334532056,0.4347483093018881,0.9329658391916649
IDT,2023-08-07T08:09,2023-08-07T14:23,374,32.92994652406417,123.3119999999999,495.30195011768956,0.43707270052768066,0.9444470195222368
IDT,2023-08-08T06:15:30,2023-08-08T14:59:30,524,32.48950381679389,-53.76326977687495,238.70847171195783,0.4292034883758662,0.9361881349389161
IDT,2023-08-09T06:41,2023-08-09T14:58:30,490,31.656530612244897,-435.4938712218973,671.8749425956048,0.4608410786616542,0.9493265706306747
IDT,2023-08-10T06:39:30,2023-08-10T13:39,419,31.179713603818616,-552.5254329557065,1472.7398426322034,0.491263003750438,0.9901854631333066
IDT,2023-08-11T03:26,2023-08-11T09:38,372,31.676344086021505,-302.61905823826964,703.7700387338409,0.4804247320980011,0.9989806456322377
IDT,2023-08-12T01:04,2023-08-12T08:49:30,466,30.877896995708152,-745.4692230725686,1766.8438895889558,0.5397596777977527,1.0440742812778454
IDT,2023-08-12T23:16,2023-08-13T07:37:30,502,33.07211155378486,298.4365880205369,744.5286794211715,0.5545482139341207,1.0559080806474732
IDT,2023-08-14T00:56:30,2023-08-14T08:18,441,31.26734693877551,-504.1442225063947,829.7794945273781,0.5880944579548215,1.077734240128502
IDT,2023-08-15T00:18:30,2023-08-15T08:35:30,497,32.42072434607646,16.24966666666478,285.527830315521,0.5650850149922383,1.0696256517569387
IDT,2023-08-16T00:14,2023-08-16T07:36:30,441,31.078231292517007,-563.2020000000011,1263.757443999988,0.596522022667602,1.0897044090284045
IDT,2023-08-17T00:08:30,2023-08-17T07:25,436,31.946100917431192,-175.4649631176053,1421.4779433069052,0.5882214766017803,1.1184378858974766
IDT,2023-08-17T22:58:30,2023-08-18T06:42,463,31.82181425485961,-243.8756374391087,485.4461048300145,0.5862422837234603,1.122672279332026
IDT,2023-08-19T01:46,2023-08-19T08:30,404,31.931188118811882,-168.6115713291565,808.2779752130155,0.5883926554810649,1.1372404701336931
IDT,2023-08-19T23:23,2023-08-20T08:12:30,530,30.19452830188679,-1141.6280514961709,2932.9382980430964,0.6927409551157035,1.1938290621448782
IDT,2023-08-21T00:10,2023-08-21T08:31:30,489,31.93251533742331,-203.43776826722205,364.0088457209058,0.693450514839288,1.1850998324434592
IDT,2023-08-22T00:32,2023-08-22T08:03:30,452,32.16615044247788,-82.44165901182896,330.6488874790957,0.6912341205872783,1.1730119596683994
IDT,2023-08-22T23:00,2023-08-23T08:16:30,557,31.361579892280073,-544.265164329001,1666.5192982084118,0.6989739348305063,1.1898243657714076
IDT,2023-08-24T00:06,2023-08-24T07:41,453,30.78763796909492,-662.8645072600739,1746.7051986426814,0.7321372907300133,1.21367696750847
IDT,2023-08-24T21:06,2023-08-25T07:06,599,31.51151919866444,-340.90753213581047,914.7904598780442,0.7361506255587265,1.22156387262769
IDT,2023-08-25T23:45,2023-08-26T05:49:30,365,32.93424657534246,311.56385771357054,369.5127052968601,0.726986129803466,1.2162995557100473
IDT,2023-08-26T22:00:30,2023-08-27T08:23:30,623,31.691492776886037,-173.89763224780836,562.964857947547,0.7164312956515928,1.2142024244591263
IDT,2023-08-28T00:50:30,2023-08-28T07:07:30,361,31.966481994459834,3.6787844036698516,916.0419209271204,0.709795421300244,1.2380424427720258
IDT,2023-08-29T00:54,2023-08-29T07:45:30,412,32.45606796116505,205.90792015044826,519.4227708268445,0.7054355588142703,1.2450397356226317
IDT,2023-08-29T23:35:30,2023-08-30T09:45:30,598,32.099665551839465,85.73770934458298,512.0924996715039,0.6889380096188586,1.242592479857405
IDT,2023-08-31T00:39:30,2023-08-31T07:48:30,428,31.372429906542056,-242.62387853886503,505.7728655076353,0.6885351766945326,1.2398019670321834
IDT,2023-09-01T00:47:30,2023-09-01T08:23:30,456,30.47127192982456,-666.024388021624,2785.395428595715,0.7353941092946227,1.301228867159866
