recorded_time,temperature,sensor_type
2023-10-20T00:00,-0.7094584559219506,UNKNOWN
2023-10-20T00:01,-0.7094584559219506,UNKNOWN
2023-10-20T00:02,-0.7094584559219506,UNKNOWN
2023-10-20T00:03,-0.8094584559219484,UNKNOWN
2023-10-20T00:04,-0.8094584559219484,UNKNOWN
2023-10-20T00:05,-0.8094584559219484,UNKNOWN
2023-10-20T00:06,-0.8094584559219484,UNKNOWN
2023-10-20T00:07,-0.8094584559219484,UNKNOWN
2023-10-20T00:08,-0.9094584559219498,UNKNOWN
2023-10-20T00:09,-1.0094584559219513,UNKNOWN
2023-10-20T00:10,-1.0094584559219513,UNKNOWN
2023-10-20T00:11,-1.0094584559219513,UNKNOWN
2023-10-20T00:12,-1.1094584559219491,UNKNOWN
2023-10-20T00:13,-1.1094584559219491,UNKNOWN
2023-10-20T00:14,-1.1094584559219491,UNKNOWN
2023-10-20T00:15,-1.1094584559219491,UNKNOWN
2023-10-20T00:16,-1.1094584559219491,UNKNOWN
2023-10-20T00:17,-1.1094584559219491,UNKNOWN
2023-10-20T00:18,-1.1094584559219491,UNKNOWN
2023-10-20T00:19,-1.1094584559219491,UNKNOWN
2023-10-20T00:20,-1.2094584559219506,UNKNOWN
2023-10-20T00:21,-1.3094584559219484,UNKNOWN
2023-10-20T00:22,-1.3094584559219484,UNKNOWN
2023-10-20T00:23,-1.3094584559219484,UNKNOWN
2023-10-20T00:24,-1.4094584559219498,UNKNOWN
2023-10-20T00:25,-1.4094584559219498,UNKNOWN
2023-10-20T00:26,-1.3094584559219484,UNKNOWN
2023-10-20T00:27,-1.3094584559219484,UNKNOWN
2023-10-20T00:28,-1.3094584559219484,UNKNOWN
2023-10-20T00:29,-1.3094584559219484,UNKNOWN
2023-10-20T00:30,-1.3094584559219484,UNKNOWN
2023-10-20T00:31,-1.3094584559219484,UNKNOWN
2023-10-20T00:32,-1.3094584559219484,UNKNOWN
2023-10-20T00:33,-1.4094584559219498,UNKNOWN
2023-10-20T00:34,-1.4094584559219498,UNKNOWN
2023-10-20T00:35,-1.3094584559219484,UNKNOWN
2023-10-20T00:36,-1.3094584559219484,UNKNOWN
2023-10-20T00:37,-1.3094584559219484,UNKNOWN
2023-10-20T00:38,-1.3094584559219484,UNKNOWN
2023-10-20T00:39,-1.3094584559219484,UNKNOWN
2023-10-20T00:40,-1.3094584559219484,UNKNOWN
2023-10-20T00:41,-1.3094584559219484,UNKNOWN
