type,sleep_start,sleep_end,temperature_samples,nightly_temperature,baseline_relative_sample_sum,baseline_relative_sample_sum_of_squares,baseline_relative_nightly_standard_deviation,baseline_relative_sample_standard_deviation
IDT,2023-06-30T22:40:30,2023-07-01T09:37:30,657,31.664535768645358,-420.3904238875839,727.1762381985318,0.4290035743014346,0.8504378045568161
IDT,2023-07-02T00:45,2023-07-02T07:39:30,414,31.866908212560386,-169.27199999999903,340.5468115557451,0.42826656752912284,0.8545143547993527
IDT,2023-07-02T23:45,2023-07-03T06:51,426,32.068779342723005,-76.71136609956193,364.028459363617,0.42238180650644097,0.8577904117263749
IDT,2023-07-03T22:49,2023-07-04T06:57:30,489,31.659100204498976,-288.3891033396376,497.6602759202942,0.42375755705437246,0.8659969581495157
IDT,2023-07-04T23:29,2023-07-05T08:05:30,517,32.16402321083172,-43.85698655745,204.57120941928588,0.4182442005214316,0.8591886130211427
IDT,2023-07-05T23:01,2023-07-06T07:11,490,31.685306122448978,-276.1379563117025,665.6908794204937,0.43098348477095116,0.8716879011983402
IDT,2023-07-06T23:51,2023-07-07T07:52:30,482,32.099792531120336,-71.84713253518385,375.5195445093559,0.43153389853792856,0.8740954447676167
IDT,2023-07-08T01:23,2023-07-08T09:09,466,32.846351931330474,252.5498667707543,357.18883091397583,0.4371869316078013,0.8744158855128334
IDT,2023-07-09T23:25:30,2023-07-10T07:50,504,32.75535714285714,212.8573770491821,546.7028828656767,0.4115381326415088,0.8588517925183756
IDT,2023-07-11T01:18,2023-07-11T07:20,362,33.460497237569065,408.1463700234217,554.4404126057634,0.4613974224516062,0.8626221256180683
IDT,2023-07-12T00:50,2023-07-12T08:11,441,33.33718820861678,437.4838709677424,557.1058896981413,0.495591391554755,0.8778103228338782
IDT,2023-07-13T00:16:30,2023-07-13T07:31,432,33.08611111111111,320.0903225806469,425.10753381892573,0.5119706408987001,0.8813071855985913
IDT,2023-07-13T22:54,2023-07-14T07:14,499,32.67915831663327,146.3015590200448,458.43732699751854,0.4815837212908729,0.8802768168207911
IDT,2023-07-14T23:58,2023-07-15T08:02,484,32.506611570247934,34.76521739130658,162.23599243862554,0.4815470158998705,0.8734396278494656
IDT,2023-07-15T23:36,2023-07-16T09:32,596,33.129530201342284,384.49541284403676,501.28846056736074,0.49708173253420085,0.8796239975418749
IDT,2023-07-18T23:49,2023-07-19T05:55:30,367,31.74277929155313,-253.96521739130185,246.16313799622003,0.5318017333453479,0.8807055563179705
IDT,2023-07-19T23:28,2023-07-20T06:49:30,442,32.245248868778276,-38.79531615925043,355.4001732033212,0.5332778514156036,0.8924844356000657
IDT,2023-07-21T01:25,2023-07-21T08:12:30,408,32.019362745098036,-104.61733333333359,455.0024912592489,0.5335494988482626,0.9012376159164353
IDT,2023-07-21T22:49:30,2023-07-22T08:12:30,563,32.0214920071048,-125.97511312217102,696.2177426752169,0.5340694555693449,0.9229112658429559
IDT,2023-07-23T00:18,2023-07-23T05:02:30,282,31.841843971631207,-90.85454545454559,501.8176894672215,0.5214781374907513,0.9290011484121201
IDT,2023-07-24T00:16,2023-07-24T07:57:30,462,32.645887445887446,185.09502262443675,524.3633926414186,0.5228749564960352,0.922270677513543
IDT,2023-07-25T01:28,2023-07-25T08:33,425,32.600235294117645,150.86923076923267,302.02650539495517,0.5246128974716505,0.921702003383199
IDT,2023-07-26T01:27,2023-07-26T09:25:30,479,32.34175365344468,4.182903981267373,202.22145445877686,0.5225313255848618,0.9245167691529341
IDT,2023-07-27T04:23,2023-07-27T12:12,469,33.125373134328356,367.51753653444575,633.5019608961884,0.5417606063186233,0.9422984286032928
IDT,2023-07-28T03:13:30,2023-07-28T11:12:30,479,32.72171189979123,137.4391304347846,171.3895085066324,0.5405583783905366,0.9422699837590129
IDT,2023-07-29T04:57:30,2023-07-29T10:53:30,356,32.49016853932584,0.0,97.8155898876721,0.5406730758441853,0.942366048848511
IDT,2023-07-30T03:24:30,2023-07-30T12:25,540,32.61074074074074,65.10898876404462,576.7680378106888,0.533088222977816,0.9536574928740021
IDT,2023-07-31T04:47,2023-07-31T12:17:30,451,32.77317073170732,120.21818181818344,367.87062359123956,0.5148193411902714,0.9408959630238501
IDT,2023-08-01T07:09:30,2023-08-01T13:41:30,391,32.465728900255755,-15.98512396694241,347.1342818113044,0.5008213329288568,0.9401428443946653
