type,sleep_start,sleep_end,temperature_samples,nightly_temperature,baseline_relative_sample_sum,baseline_relative_sample_sum_of_squares,baseline_relative_nightly_standard_deviation,baseline_relative_sample_standard_deviation
IDT,2024-05-13T23:30,2024-05-14T06:49,439,32.118678815489744,25.630882352939807,573.0032850346761,1.3492162247435957,1.6508847814803294
IDT,2024-05-15T00:29,2024-05-15T06:37,368,32.65597826086957,197.7261958997733,514.525023220107,1.3911182098771262,1.661804349441554
IDT,2024-05-16T01:19:30,2024-05-16T06:57,337,32.260237388724036,28.815591397851676,158.29109290079214,1.3633857922487174,1.5642452706662022
IDT,2024-05-16T23:46:30,2024-05-17T07:05:30,438,31.606164383561644,-224.4813211845085,605.0432729696622,1.362058041164328,1.5422542780798303
IDT,2024-05-18T03:59,2024-05-18T09:49,350,29.96457142857143,-753.9375854214104,1969.4632077458082,1.4914196123197865,1.6585944089762692
IDT,2024-05-19T03:08:30,2024-05-19T09:33:30,370,31.514054054054053,-223.7111617312039,502.4282267112285,0.9554017582470972,1.2939815992446504
IDT,2024-05-20T00:46,2024-05-20T09:08:30,503,30.993041749502982,-308.4006849315065,688.0330864139833,0.8103681037321065,1.212396166350337
IDT,2024-05-23T02:01,2024-05-23T10:36:30,515,32.51533980582524,336.2528762442671,626.3744403542951,0.8962314885066774,1.2732979529559794
IDT,2024-05-24T01:07:30,2024-05-24T06:52:30,345,31.729565217391304,0.0,137.5184347826289,0.8383927847767649,1.2299350965588223
IDT,2024-05-25T02:32,2024-05-25T09:33,421,31.16413301662708,-212.07108100059486,1186.2953524865443,0.8088312005604656,1.2755256766769165
IDT,2024-05-26T04:16,2024-05-26T10:42:30,386,30.071502590673575,-592.3794520547945,1427.3086404578062,0.9032863257181121,1.3141772165987629
IDT,2024-05-27T01:35,2024-05-27T06:53,314,31.403503184713376,-49.17429470566458,163.66713777009863,0.861782688133307,1.2843491077700353
IDT,2024-05-27T23:16,2024-05-28T06:52:30,457,31.750328227571117,65.88287671232865,761.920379527146,0.8280162930550583,1.2924409873406975
IDT,2024-05-28T22:07:30,2024-05-29T06:55:30,527,32.00398481973435,177.1352501488982,262.900335569866,0.8060222616651261,1.2607403396189039
IDT,2024-05-29T19:48,2024-05-30T07:44,715,31.504475524475524,-72.70753424657596,460.45922452630475,0.7768062513773359,1.2193051334714946
IDT,2024-05-30T22:40,2024-05-31T08:26:30,580,31.06,-290.06334690855147,786.7553538270295,0.7604132940005823,1.208421965299452
IDT,2024-06-01T01:59:30,2024-06-01T08:05:30,366,31.579508196721314,0.0,954.6963114754763,0.7364097768491114,1.2329694382661873
