session_id,timestamp,valid_data,activation,scl_avg
4b2d1740-7d86-11ee-8080-808080808080,1699372623,false,false,0.0
4b2d1740-7d86-11ee-8080-808080808080,1699372623,false,false,0.0
4b2d1740-7d86-11ee-8080-808080808080,1699372623,false,false,0.0
4b2d1740-7d86-11ee-8080-808080808080,1699372623,false,false,0.0
4b2d1740-7d86-11ee-8080-808080808080,1699372623,false,false,0.0
4b2d1740-7d86-11ee-8080-808080808080,1699372628,false,false,0.0
4b2d1740-7d86-11ee-8080-808080808080,1699372628,false,false,0.0
4b2d1740-7d86-11ee-8080-808080808080,1699372628,false,false,0.0
4b2d1740-7d86-11ee-8080-808080808080,1699372628,false,false,0.0
4b2d1740-7d86-11ee-8080-808080808080,1699372628,false,false,0.0
4b2d1740-7d86-11ee-8080-808080808080,1699372633,false,false,0.0
4b2d1740-7d86-11ee-8080-808080808080,1699372633,false,false,0.0
4b2d1740-7d86-11ee-8080-808080808080,1699372633,false,false,0.0
4b2d1740-7d86-11ee-8080-808080808080,1699372633,false,false,0.0
4b2d1740-7d86-11ee-8080-808080808080,1699372633,false,false,0.0
4b2d1740-7d86-11ee-8080-808080808080,1699372638,false,false,0.0
4b2d1740-7d86-11ee-8080-808080808080,1699372638,false,false,0.0
4b2d1740-7d86-11ee-8080-808080808080,1699372638,false,false,0.0
4b2d1740-7d86-11ee-8080-808080808080,1699372638,false,false,0.0
4b2d1740-7d86-11ee-8080-808080808080,1699372638,false,false,0.0
4b2d1740-7d86-11ee-8080-808080808080,1699372643,false,false,36.4209098815918
4b2d1740-7d86-11ee-8080-808080808080,1699372643,false,false,36.444644927978516
4b2d1740-7d86-11ee-8080-808080808080,1699372643,false,false,36.51509094238281
4b2d1740-7d86-11ee-8080-808080808080,1699372643,false,true,36.63247299194336
4b2d1740-7d86-11ee-8080-808080808080,1699372643,true,true,36.844451904296875
4b2d1740-7d86-11ee-8080-808080808080,1699372648,true,false,37.068023681640625
4b2d1740-7d86-11ee-8080-808080808080,1699372648,true,false,37.33981704711914
4b2d1740-7d86-11ee-8080-808080808080,1699372648,true,false,37.661006927490234
4b2d1740-7d86-11ee-8080-808080808080,1699372648,true,false,38.133392333984375
