timestamp,average_value,lower_bound,upper_bound
2025-01-21T00:00:00Z,96.7,94.5,99.1
2025-01-22T00:00:00Z,96.1,91.0,99.2
2025-01-23T00:00:00Z,93.5,88.1,97.4
2025-01-24T00:00:00Z,95.6,93.3,98.6
2025-01-25T00:00:00Z,97.1,94.8,99.2
2025-01-26T00:00:00Z,97.2,94.3,99.4
2025-01-27T00:00:00Z,94.5,91.0,98.0
2025-01-28T00:00:00Z,97.3,93.3,100.0
2025-01-29T00:00:00Z,95.7,89.7,99.2
2025-01-30T00:00:00Z,97.1,94.5,99.3
2025-01-31T00:00:00Z,96.1,93.5,98.8
2025-02-01T00:00:00Z,96.3,92.1,98.6
2025-02-02T00:00:00Z,95.3,91.0,99.8
2025-02-03T00:00:00Z,96.7,94.8,98.3
2025-02-05T00:00:00Z,95.7,93.0,98.0
2025-02-06T00:00:00Z,98.3,96.2,100.0
2025-02-10T00:00:00Z,95.5,93.7,96.5
2025-02-11T00:00:00Z,95.8,94.3,97.1
2025-02-12T00:00:00Z,94.0,93.4,95.1
