timestamp,average_value,lower_bound,upper_bound
2023-12-19T00:00:00Z,94.3,91.9,95.9
2023-12-21T00:00:00Z,96.5,92.0,99.5
2023-12-22T00:00:00Z,94.2,92.5,95.2
2023-12-23T00:00:00Z,97.3,97.3,98.1
2023-12-25T00:00:00Z,94.9,92.8,97.7
2023-12-26T00:00:00Z,93.5,93.5,93.6
2023-12-27T00:00:00Z,93.8,92.4,94.9
2023-12-28T00:00:00Z,94.5,91.7,97.2
2023-12-31T00:00:00Z,93.4,89.9,97.1
2024-01-02T00:00:00Z,93.4,93.4,93.4
2024-01-03T00:00:00Z,94.1,91.9,95.9
2024-01-05T00:00:00Z,98.0,95.2,100.0
2024-01-07T00:00:00Z,95.2,94.1,96.4
2024-01-08T00:00:00Z,97.2,97.2,99.1
2024-01-09T00:00:00Z,94.9,94.3,95.6
2024-01-10T00:00:00Z,96.0,94.7,98.1
2024-01-11T00:00:00Z,96.8,96.8,96.8
2024-01-14T00:00:00Z,96.4,94.7,99.1
2024-01-15T00:00:00Z,97.7,96.8,98.6
2024-01-16T00:00:00Z,95.5,92.4,98.3
2024-01-17T00:00:00Z,95.8,95.3,96.6
2024-01-18T00:00:00Z,96.5,93.2,98.9
2024-01-19T00:00:00Z,94.8,91.8,97.7
2024-01-21T00:00:00Z,96.9,93.9,99.0
2024-01-22T00:00:00Z,95.4,94.9,95.6
2024-01-23T00:00:00Z,97.5,95.9,99.3
2024-01-24T00:00:00Z,94.6,90.9,97.6
2024-01-25T00:00:00Z,94.1,90.1,97.9
2024-01-26T00:00:00Z,95.4,92.4,98.6
2024-01-27T00:00:00Z,95.4,93.0,97.2
2024-01-28T00:00:00Z,94.8,92.0,97.2
2024-02-04T00:00:00Z,92.1,90.4,92.1
2024-02-05T00:00:00Z,95.1,93.8,97.7
2024-02-08T00:00:00Z,95.8,92.4,99.1
2024-02-09T00:00:00Z,95.2,95.2,95.8
2024-02-10T00:00:00Z,95.9,93.9,97.3
2024-02-11T00:00:00Z,95.4,93.9,96.5
2024-02-12T00:00:00Z,95.3,90.2,98.8
2024-02-13T00:00:00Z,97.3,91.7,100.0
2024-02-14T00:00:00Z,91.9,86.6,95.8
2024-02-15T00:00:00Z,94.0,92.0,95.7
2024-02-16T00:00:00Z,94.5,91.4,98.4
2024-02-17T00:00:00Z,96.0,94.2,98.8
2024-02-19T00:00:00Z,94.7,94.3,98.0
2024-02-23T00:00:00Z,95.4,95.0,96.1
2024-02-24T00:00:00Z,96.2,91.3,98.9
2024-02-26T00:00:00Z,92.2,89.6,95.3
2024-02-28T00:00:00Z,94.2,92.3,96.3
2024-03-01T00:00:00Z,95.1,95.1,95.8
2024-03-02T00:00:00Z,93.7,92.2,94.7
2024-03-03T00:00:00Z,95.7,92.4,98.1
2024-03-04T00:00:00Z,95.6,90.9,99.3
2024-03-05T00:00:00Z,95.8,95.6,96.7
2024-03-07T00:00:00Z,96.1,93.9,98.8
2024-03-08T00:00:00Z,97.5,94.8,100.0
2024-03-10T00:00:00Z,94.7,92.8,96.2
2024-03-13T00:00:00Z,95.1,94.8,95.8
2024-03-14T00:00:00Z,92.9,92.9,92.9
2024-03-15T00:00:00Z,94.0,91.3,97.1
2024-03-16T00:00:00Z,93.4,92.0,96.1
2024-03-17T00:00:00Z,94.4,90.4,99.3
2024-03-18T00:00:00Z,96.3,89.6,98.9
2024-03-19T00:00:00Z,92.4,92.1,92.9
2024-03-20T00:00:00Z,97.0,95.9,98.1
2024-03-21T00:00:00Z,95.5,92.6,98.6
2024-03-22T00:00:00Z,97.0,92.8,99.6
2024-03-23T00:00:00Z,93.9,91.8,95.2
2024-03-24T00:00:00Z,95.5,93.9,97.4
2024-03-25T00:00:00Z,96.9,96.5,97.6
2024-03-26T00:00:00Z,97.9,95.3,100.0
2024-03-27T00:00:00Z,95.3,93.2,97.9
