timestamp,average_value,lower_bound,upper_bound
2022-04-28T00:00:00Z,96.0,92.4,99.0
2022-04-29T00:00:00Z,95.2,95.1,95.7
2022-04-30T00:00:00Z,94.8,92.2,97.7
2022-05-02T00:00:00Z,97.6,96.5,99.2
2022-05-03T00:00:00Z,96.9,94.5,99.1
2022-05-06T00:00:00Z,97.3,95.0,99.2
2022-05-07T00:00:00Z,94.1,91.6,95.7
2022-05-09T00:00:00Z,93.3,91.0,95.2
2022-05-10T00:00:00Z,95.3,92.9,97.8
2022-05-11T00:00:00Z,96.7,93.7,99.3
2022-05-12T00:00:00Z,94.4,91.3,99.0
2022-05-13T00:00:00Z,94.1,94.5,94.2
2022-05-16T00:00:00Z,96.2,96.6,97.4
2022-05-18T00:00:00Z,94.1,90.9,98.3
2022-05-19T00:00:00Z,96.7,93.0,99.2
2022-05-22T00:00:00Z,95.5,95.3,96.6
2022-05-24T00:00:00Z,95.3,94.2,96.6
2022-05-25T00:00:00Z,95.3,93.4,98.8
2022-05-26T00:00:00Z,96.0,95.8,97.2
2022-05-27T00:00:00Z,95.1,92.7,97.2
2022-05-29T00:00:00Z,97.0,95.5,98.3
2022-05-30T00:00:00Z,96.6,94.9,97.9
2022-05-31T00:00:00Z,95.9,95.1,97.5
2022-06-01T00:00:00Z,96.4,93.7,99.1
2022-06-05T00:00:00Z,95.4,89.9,98.6
2022-06-07T00:00:00Z,96.4,94.3,99.0
2022-06-08T00:00:00Z,98.5,99.4,99.6
2022-06-10T00:00:00Z,94.9,93.0,97.2
2022-06-11T00:00:00Z,95.1,95.0,95.5
2022-06-12T00:00:00Z,96.9,94.9,100.0
2022-06-13T00:00:00Z,93.0,93.0,92.4
2022-06-14T00:00:00Z,96.3,95.4,97.0
2022-06-15T00:00:00Z,96.3,96.5,96.5
2022-06-16T00:00:00Z,91.0,90.6,90.9
2022-06-17T00:00:00Z,93.0,91.5,94.3
2022-06-18T00:00:00Z,94.2,93.4,95.5
2022-06-21T00:00:00Z,90.6,91.3,91.8
2022-06-22T00:00:00Z,97.4,96.8,98.7
2022-06-24T00:00:00Z,93.7,93.7,93.8
2022-06-27T00:00:00Z,95.3,93.1,97.9
2022-06-28T00:00:00Z,95.0,92.8,97.7
2022-06-29T00:00:00Z,90.7,90.7,90.6
2022-06-30T00:00:00Z,94.0,95.7,91.2
2022-07-06T00:00:00Z,93.6,91.4,95.8
2022-07-07T00:00:00Z,92.6,91.2,90.1
2022-07-09T00:00:00Z,94.4,93.2,93.0
2022-07-11T00:00:00Z,94.0,93.5,94.4
2022-07-15T00:00:00Z,95.6,93.3,96.9
2022-07-17T00:00:00Z,96.0,91.1,98.1
2022-07-18T00:00:00Z,94.7,94.6,95.0
2022-07-22T00:00:00Z,95.6,95.8,97.2
2022-07-23T00:00:00Z,94.5,91.1,98.0
2022-07-24T00:00:00Z,94.0,94.2,94.2
2022-07-26T00:00:00Z,96.6,95.1,99.4
2022-07-27T00:00:00Z,97.5,95.0,99.2
2022-07-29T00:00:00Z,95.2,95.4,95.8
2022-07-30T00:00:00Z,95.4,95.4,96.4
2022-07-31T00:00:00Z,94.7,93.7,95.5
2022-08-02T00:00:00Z,95.0,91.4,98.0
2022-08-04T00:00:00Z,95.0,91.0,98.2
2022-08-05T00:00:00Z,96.6,94.6,97.9
