timestamp,average_value,lower_bound,upper_bound
2023-09-14T00:00:00Z,95.8,93.2,98.3
2023-09-15T00:00:00Z,93.5,91.1,96.7
2023-09-16T00:00:00Z,96.4,92.1,100.0
2023-09-17T00:00:00Z,95.4,91.9,99.2
2023-09-18T00:00:00Z,96.4,95.6,97.3
2023-09-19T00:00:00Z,96.0,94.3,97.7
2023-09-22T00:00:00Z,95.3,95.0,96.1
2023-09-23T00:00:00Z,94.6,90.9,97.7
2023-09-24T00:00:00Z,97.3,93.3,99.9
2023-09-25T00:00:00Z,96.8,94.3,99.3
2023-09-26T00:00:00Z,95.6,91.9,99.1
2023-09-27T00:00:00Z,94.8,94.8,94.8
2023-09-28T00:00:00Z,96.2,95.3,97.6
2023-09-29T00:00:00Z,90.0,89.1,90.0
2023-09-30T00:00:00Z,95.2,95.2,95.2
2023-10-01T00:00:00Z,94.3,93.6,94.3
2023-10-02T00:00:00Z,95.7,94.0,98.2
2023-10-03T00:00:00Z,95.0,93.0,95.1
2023-10-04T00:00:00Z,96.7,94.0,99.1
2023-10-05T00:00:00Z,95.9,93.9,98.2
2023-10-07T00:00:00Z,95.2,92.9,97.4
2023-10-08T00:00:00Z,96.7,90.9,99.4
2023-10-09T00:00:00Z,95.9,91.2,99.5
2023-10-10T00:00:00Z,96.6,95.5,97.7
2023-10-11T00:00:00Z,97.4,94.4,100.0
2023-10-12T00:00:00Z,93.7,93.7,93.9
2023-10-14T00:00:00Z,95.8,91.9,99.3
2023-10-15T00:00:00Z,97.7,97.2,97.7
2023-10-16T00:00:00Z,95.5,94.1,97.2
2023-10-17T00:00:00Z,93.8,89.7,97.2
2023-10-18T00:00:00Z,93.9,93.9,95.1
2023-10-19T00:00:00Z,93.0,90.7,96.1
2023-10-20T00:00:00Z,96.7,94.5,99.5
2023-10-21T00:00:00Z,94.2,91.9,96.9
2023-10-22T00:00:00Z,96.9,94.7,98.7
2023-10-23T00:00:00Z,96.5,95.4,97.4
2023-10-24T00:00:00Z,96.2,94.6,97.7
2023-10-26T00:00:00Z,95.1,93.5,97.1
2023-10-27T00:00:00Z,97.0,95.8,98.6
2023-10-29T00:00:00Z,93.2,92.3,93.9
2023-10-30T00:00:00Z,95.8,94.0,97.3
2023-11-02T00:00:00Z,96.4,96.4,96.8
2023-11-03T00:00:00Z,97.6,95.3,100.0
2023-11-04T00:00:00Z,92.1,92.1,94.3
2023-11-05T00:00:00Z,95.7,90.3,99.8
2023-11-06T00:00:00Z,95.2,91.8,97.5
2023-11-09T00:00:00Z,94.3,92.5,96.3
2023-11-10T00:00:00Z,93.5,93.5,93.5
2023-11-11T00:00:00Z,95.1,89.8,99.1
2023-11-12T00:00:00Z,94.4,94.4,94.5
2023-11-13T00:00:00Z,96.4,94.2,99.4
2023-11-14T00:00:00Z,95.6,91.9,99.2
2023-11-15T00:00:00Z,94.6,93.5,95.9
2023-11-16T00:00:00Z,95.5,90.9,99.4
2023-11-17T00:00:00Z,96.2,94.1,98.1
2023-11-18T00:00:00Z,96.5,93.9,99.1
2023-11-19T00:00:00Z,95.8,92.6,99.1
2023-11-20T00:00:00Z,95.4,91.1,98.9
2023-11-21T00:00:00Z,94.9,92.2,96.9
2023-11-22T00:00:00Z,96.3,96.3,96.3
2023-11-23T00:00:00Z,93.9,90.0,97.9
2023-11-24T00:00:00Z,95.0,93.5,96.9
2023-11-25T00:00:00Z,95.2,91.4,98.5
2023-11-26T00:00:00Z,93.0,91.5,94.4
2023-11-27T00:00:00Z,92.9,90.0,95.1
2023-11-28T00:00:00Z,93.8,88.1,98.7
2023-11-29T00:00:00Z,95.1,92.1,96.9
2023-11-30T00:00:00Z,93.8,93.0,94.5
2023-12-02T00:00:00Z,95.6,95.4,95.6
2023-12-03T00:00:00Z,95.4,95.1,96.8
2023-12-04T00:00:00Z,93.8,93.8,93.8
2023-12-05T00:00:00Z,98.0,95.8,99.2
2023-12-06T00:00:00Z,95.4,95.4,95.8
2023-12-07T00:00:00Z,95.7,91.5,99.4
2023-12-08T00:00:00Z,93.7,90.6,95.4
2023-12-09T00:00:00Z,95.6,93.0,98.2
2023-12-11T00:00:00Z,95.7,91.7,100.0
2023-12-12T00:00:00Z,96.2,93.6,98.7
2023-12-14T00:00:00Z,97.3,94.5,99.8
2023-12-16T00:00:00Z,96.4,91.1,99.5
2023-12-17T00:00:00Z,93.5,90.0,94.6
