timestamp,value
2023-01-16T00:13:29Z,87.3
2023-01-16T00:14:29Z,88.0
2023-01-16T00:15:29Z,88.2
2023-01-16T00:16:29Z,88.8
2023-01-16T00:17:29Z,88.9
2023-01-16T00:18:29Z,89.4
2023-01-16T00:19:29Z,89.7
2023-01-16T00:20:29Z,89.5
2023-01-16T00:21:29Z,89.8
2023-01-16T00:22:29Z,90.0
2023-01-16T00:23:29Z,90.2
2023-01-16T00:24:29Z,90.9
2023-01-16T00:25:29Z,90.5
2023-01-16T00:26:29Z,90.5
2023-01-16T00:27:29Z,91.2
2023-01-16T00:28:29Z,90.6
2023-01-16T00:29:29Z,90.2
2023-01-16T00:30:29Z,90.1
2023-01-16T00:31:29Z,50.0
2023-01-16T00:32:29Z,87.6
2023-01-16T00:33:29Z,88.2
2023-01-16T00:34:29Z,87.3
2023-01-16T00:35:29Z,87.2
2023-01-16T00:36:29Z,86.6
2023-01-16T00:37:29Z,86.6
2023-01-16T00:38:29Z,86.5
2023-01-16T00:39:29Z,86.7
2023-01-16T00:40:29Z,86.8
2023-01-16T00:41:29Z,86.7
2023-01-16T00:42:29Z,86.9
2023-01-16T00:43:29Z,87.4
2023-01-16T00:44:29Z,86.4
2023-01-16T00:45:29Z,86.3
2023-01-16T00:46:29Z,85.3
2023-01-16T00:47:29Z,84.9
2023-01-16T00:48:29Z,85.0
2023-01-16T00:49:29Z,84.9
2023-01-16T00:50:29Z,85.1
2023-01-16T00:51:29Z,85.4
2023-01-16T00:52:29Z,85.7
2023-01-16T00:53:29Z,85.6
2023-01-16T00:54:29Z,85.2
2023-01-16T00:55:29Z,85.1
2023-01-16T00:56:29Z,85.1
2023-01-16T00:57:29Z,50.0
2023-01-16T00:58:29Z,84.6
2023-01-16T00:59:29Z,83.7
2023-01-16T01:00:29Z,82.8
2023-01-16T01:01:29Z,82.3
2023-01-16T01:02:29Z,81.6
2023-01-16T01:03:29Z,81.3
2023-01-16T01:04:29Z,81.1
2023-01-16T01:05:29Z,80.4
2023-01-16T01:06:29Z,79.4
2023-01-16T01:07:29Z,79.0
2023-01-16T01:08:29Z,50.0
2023-01-16T01:09:29Z,78.9
2023-01-16T01:10:29Z,78.8
2023-01-16T01:11:29Z,78.9
2023-01-16T01:12:29Z,50.0
2023-01-16T01:13:29Z,79.5
2023-01-16T01:14:29Z,81.4
2023-01-16T01:15:29Z,84.6
2023-01-16T01:16:29Z,50.0
2023-01-16T01:17:29Z,84.4
2023-01-16T01:18:29Z,80.9
2023-01-16T01:19:29Z,78.4
2023-01-16T01:20:29Z,77.7
2023-01-16T01:21:29Z,77.4
2023-01-16T01:22:29Z,77.7
2023-01-16T01:23:29Z,77.8
2023-01-16T01:24:29Z,50.0
2023-01-16T01:25:29Z,50.0
2023-01-16T01:26:29Z,50.0
2023-01-16T01:27:29Z,80.3
2023-01-16T01:28:29Z,82.6
2023-01-16T01:29:29Z,84.5
2023-01-16T01:30:29Z,86.2
2023-01-16T01:31:29Z,87.2
2023-01-16T01:32:29Z,87.5
2023-01-16T01:33:29Z,50.0
2023-01-16T01:34:29Z,87.3
2023-01-16T01:35:29Z,50.0
2023-01-16T01:36:29Z,85.8
2023-01-16T01:37:29Z,87.8
2023-01-16T01:38:29Z,50.0
2023-01-16T01:39:29Z,88.4
2023-01-16T01:40:29Z,89.1
2023-01-16T01:41:29Z,89.4
2023-01-16T01:42:29Z,89.7
2023-01-16T01:43:29Z,90.3
2023-01-16T01:44:29Z,91.2
