timestamp,value
2024-11-29T14:56:33Z,99.1
2024-11-29T14:57:33Z,98.5
2024-11-29T14:58:33Z,96.5
2024-11-29T14:59:33Z,94.0
2024-11-29T15:00:33Z,93.4
2024-11-29T15:01:33Z,93.5
2024-11-29T15:02:33Z,95.0
2024-11-29T15:03:33Z,94.8
2024-11-29T15:04:33Z,94.8
2024-11-29T15:05:33Z,92.6
2024-11-29T15:06:33Z,90.5
2024-11-29T15:07:33Z,89.2
2024-11-29T15:08:33Z,88.2
2024-11-29T15:09:33Z,87.6
2024-11-29T15:10:33Z,87.2
2024-11-29T15:11:33Z,86.9
2024-11-29T15:12:33Z,86.6
2024-11-29T15:13:33Z,86.3
2024-11-29T15:14:33Z,86.3
2024-11-29T15:15:33Z,86.2
2024-11-29T15:16:33Z,86.5
2024-11-29T15:17:33Z,86.9
2024-11-29T15:18:33Z,86.8
2024-11-29T15:19:33Z,86.6
2024-11-29T15:20:33Z,86.3
2024-11-29T15:21:33Z,86.3
2024-11-29T15:22:33Z,86.3
2024-11-29T15:23:33Z,86.2
2024-11-29T15:24:33Z,86.4
2024-11-29T15:25:33Z,86.4
2024-11-29T15:26:33Z,86.3
2024-11-29T15:27:33Z,86.3
2024-11-29T15:28:33Z,50.0
2024-11-29T15:29:33Z,86.6
2024-11-29T15:30:33Z,87.5
2024-11-29T15:31:33Z,87.7
2024-11-29T15:32:33Z,50.0
2024-11-29T15:33:33Z,87.7
2024-11-29T15:34:33Z,87.8
2024-11-29T15:35:33Z,87.6
2024-11-29T15:36:33Z,87.5
2024-11-29T15:37:33Z,87.5
2024-11-29T15:38:33Z,87.2
2024-11-29T15:39:33Z,50.0
2024-11-29T15:40:33Z,84.3
2024-11-29T15:41:33Z,81.2
2024-11-29T15:42:33Z,79.8
2024-11-29T15:43:33Z,78.1
2024-11-29T15:44:33Z,77.4
2024-11-29T15:45:33Z,77.5
2024-11-29T15:46:33Z,77.1
2024-11-29T15:47:33Z,77.1
2024-11-29T15:48:33Z,77.1
2024-11-29T15:49:33Z,77.2
2024-11-29T15:50:33Z,50.0
2024-11-29T15:51:33Z,78.8
2024-11-29T15:52:33Z,83.7
2024-11-29T15:53:33Z,87.2
2024-11-29T15:54:33Z,50.0
2024-11-29T15:55:33Z,88.1
2024-11-29T15:56:33Z,88.0
2024-11-29T15:57:33Z,87.8
2024-11-29T15:58:33Z,87.7
2024-11-29T15:59:33Z,87.3
2024-11-29T16:00:33Z,90.4
2024-11-29T16:01:33Z,89.2
2024-11-29T16:02:33Z,93.3
2024-11-29T16:03:33Z,93.4
2024-11-29T16:04:33Z,93.6
2024-11-29T16:05:33Z,96.3
2024-11-29T16:06:33Z,97.9
2024-11-29T16:07:33Z,98.5
2024-11-29T16:08:33Z,99.1
2024-11-29T16:09:33Z,99.4
2024-11-29T16:10:33Z,50.0
2024-11-29T16:11:33Z,50.0
2024-11-29T16:12:33Z,99.5
2024-11-29T16:13:33Z,99.1
2024-11-29T16:14:33Z,50.0
2024-11-29T16:15:33Z,50.0
2024-11-29T16:16:33Z,50.0
2024-11-29T16:17:33Z,50.0
2024-11-29T16:18:33Z,50.0
2024-11-29T16:19:33Z,50.0
2024-11-29T16:20:33Z,50.0
2024-11-29T16:21:33Z,50.0
2024-11-29T16:22:33Z,50.0
2024-11-29T16:23:33Z,50.0
2024-11-29T16:24:33Z,50.0
2024-11-29T16:25:33Z,50.0
2024-11-29T22:51:04Z,86.1
2024-11-29T22:52:04Z,86.9
2024-11-29T22:53:04Z,87.2
2024-11-29T22:54:04Z,87.1
2024-11-29T22:55:04Z,89.1
2024-11-29T22:57:03Z,93.2
2024-11-29T22:58:03Z,93.0
2024-11-29T22:59:03Z,93.8
2024-11-29T23:00:03Z,94.1
2024-11-29T23:01:03Z,94.2
2024-11-29T23:02:03Z,94.3
2024-11-29T23:03:03Z,94.5
2024-11-29T23:04:03Z,94.2
2024-11-29T23:05:03Z,94.2
2024-11-29T23:06:03Z,95.7
2024-11-29T23:07:03Z,96.7
2024-11-29T23:08:03Z,97.9
2024-11-29T23:09:03Z,98.5
2024-11-29T23:10:03Z,98.9
2024-11-29T23:11:03Z,99.1
2024-11-29T23:12:03Z,99.2
2024-11-29T23:13:03Z,97.1
2024-11-29T23:14:03Z,93.9
2024-11-29T23:15:03Z,91.6
2024-11-29T23:16:03Z,89.9
2024-11-29T23:17:03Z,92.6
2024-11-29T23:18:03Z,92.0
2024-11-29T23:19:03Z,90.3
2024-11-29T23:20:03Z,89.0
2024-11-29T23:21:03Z,87.9
2024-11-29T23:22:03Z,87.1
2024-11-29T23:23:03Z,86.6
2024-11-29T23:24:03Z,86.4
2024-11-29T23:25:03Z,86.2
2024-11-29T23:26:03Z,87.0
2024-11-29T23:27:03Z,90.2
2024-11-29T23:28:03Z,93.1
2024-11-29T23:29:03Z,95.3
2024-11-29T23:30:03Z,96.9
2024-11-29T23:31:03Z,97.9
2024-11-29T23:32:03Z,98.3
2024-11-29T23:33:03Z,98.3
2024-11-29T23:34:03Z,50.0
2024-11-29T23:35:03Z,95.8
2024-11-29T23:36:03Z,93.8
2024-11-29T23:37:03Z,92.4
2024-11-29T23:38:03Z,91.3
2024-11-29T23:39:03Z,90.6
2024-11-29T23:40:03Z,90.1
2024-11-29T23:41:03Z,89.8
2024-11-29T23:42:03Z,89.4
2024-11-29T23:43:03Z,89.3
2024-11-29T23:44:03Z,89.4
2024-11-29T23:45:03Z,89.3
2024-11-29T23:46:03Z,89.4
2024-11-29T23:47:03Z,89.5
2024-11-29T23:48:03Z,89.5
2024-11-29T23:49:03Z,89.5
2024-11-29T23:50:03Z,89.9
2024-11-29T23:51:03Z,90.0
2024-11-29T23:52:03Z,90.0
2024-11-29T23:53:03Z,50.0
2024-11-29T23:54:03Z,93.1
2024-11-29T23:55:03Z,95.2
2024-11-29T23:56:03Z,96.2
2024-11-29T23:57:03Z,96.7
2024-11-29T23:58:03Z,98.0
2024-11-29T23:59:03Z,98.6
2024-11-30T00:00:03Z,50.0
