timestamp,average_value,lower_bound,upper_bound
2024-07-05T00:00:00Z,94.7,90.5,98.2
2024-07-06T00:00:00Z,95.2,93.4,97.5
2024-07-07T00:00:00Z,96.9,95.1,99.4
2024-07-08T00:00:00Z,95.3,95.3,95.4
2024-07-09T00:00:00Z,96.6,92.4,99.4
2024-07-10T00:00:00Z,94.8,93.0,95.5
2024-07-11T00:00:00Z,97.3,92.6,99.6
2024-07-12T00:00:00Z,97.4,94.6,100.0
2024-07-14T00:00:00Z,95.2,91.9,97.3
2024-07-15T00:00:00Z,92.0,90.0,95.2
2024-07-16T00:00:00Z,95.5,91.9,98.6
2024-07-17T00:00:00Z,95.1,91.5,98.2
2024-07-19T00:00:00Z,95.0,91.3,97.9
2024-07-20T00:00:00Z,94.9,92.2,97.8
2024-07-21T00:00:00Z,96.8,94.8,99.0
2024-07-22T00:00:00Z,96.9,95.0,98.9
2024-07-23T00:00:00Z,93.9,90.2,97.6
2024-07-24T00:00:00Z,95.9,94.2,97.7
2024-07-25T00:00:00Z,94.6,92.3,96.7
2024-07-26T00:00:00Z,94.0,89.9,97.1
2024-07-27T00:00:00Z,93.1,93.1,93.1
2024-07-28T00:00:00Z,94.3,90.8,97.3
2024-08-01T00:00:00Z,94.5,88.5,98.8
2024-08-02T00:00:00Z,93.8,92.2,95.5
2024-08-03T00:00:00Z,97.2,93.6,99.8
2024-08-04T00:00:00Z,96.1,91.7,98.9
2024-08-05T00:00:00Z,97.8,94.0,100.0
2024-08-06T00:00:00Z,94.2,91.7,96.3
2024-08-07T00:00:00Z,96.7,93.7,98.4
2024-08-08T00:00:00Z,94.4,90.5,98.4
2024-08-09T00:00:00Z,95.5,94.3,97.4
2024-08-13T00:00:00Z,94.9,90.6,98.7
2024-08-15T00:00:00Z,96.3,95.3,97.5
2024-08-16T00:00:00Z,99.1,97.7,100.0
