timestamp,full_sleep_breathing_rate,full_sleep_standard_deviation,full_sleep_signal_to_noise,deep_sleep_breathing_rate,deep_sleep_standard_deviation,deep_sleep_signal_to_noise,light_sleep_breathing_rate,light_sleep_standard_deviation,light_sleep_signal_to_noise,rem_sleep_breathing_rate,rem_sleep_standard_deviation,rem_sleep_signal_to_noise
2021-07-01T08:08:00,17.6,1.2,7.293,17.4,1.5,6.025,,,,-1.0,0.0,1.908
2021-07-02T09:07:30,17.2,0.7,6.81,17.0,1.9,8.903,,,,-1.0,0.0,1.379
2021-07-03T09:21:00,18.0,1.1,5.718,17.6,1.3,8.487,,,,-1.0,0.0,2.012
2021-07-04T11:21:30,18.6,1.5,6.713,-1.0,0.0,1.733,,,,-1.0,0.0,1.543
2021-07-05T08:19:30,18.6,1.1,5.28,18.0,1.1,6.155,,,,-1.0,0.0,1.616
2021-07-06T08:50:30,19.2,1.2,4.735,18.2,2.0,4.572,,,,-1.0,0.0,1.325
2021-07-07T07:44:00,18.0,0.5,4.943,17.6,1.1,4.742,,,,-1.0,0.0,2.135
2021-07-08T08:06:30,0.0,0.0,2.16,-1.0,0.0,2.144,,,,-1.0,0.0,2.112
2021-07-09T07:53:30,19.0,0.9,4.991,18.2,1.1,4.593,,,,-1.0,0.0,1.935
2021-07-10T08:55:30,19.0,1.4,5.836,17.0,1.3,7.362,,,,-1.0,0.0,1.559
2021-07-11T10:06:30,17.0,1.4,9.582,17.4,1.9,10.027,,,,-1.0,0.0,2.182
2021-07-12T09:24:30,18.8,1.9,8.468,18.6,1.5,6.486,,,,-1.0,0.0,1.254
2021-07-13T06:00:00,18.8,0.9,7.802,17.4,1.5,7.756,,,,-1.0,0.0,1.736
2021-07-14T06:01:30,18.4,1.0,12.165,17.8,1.1,6.024,,,,-1.0,0.0,1.713
2021-07-15T07:34:00,17.4,1.4,13.29,17.2,1.5,9.565,,,,-1.0,0.0,1.91
2021-07-16T09:11:00,17.4,1.2,6.776,17.6,2.0,6.917,,,,-1.0,0.0,1.489
2021-07-18T09:53:30,19.2,1.0,5.321,16.8,1.5,6.345,,,,-1.0,0.0,2.07
2021-07-19T07:36:30,17.4,1.2,5.682,17.4,1.2,5.682,,,,-1.0,0.0,1.366
2021-07-20T07:10:30,18.4,1.1,8.223,17.4,1.4,12.059,,,,-1.0,0.0,1.723
2021-07-21T07:37:00,18.6,1.0,8.456,17.6,1.4,7.341,,,,-1.0,0.0,1.998
2021-07-22T08:17:30,18.2,1.5,4.813,18.2,1.5,4.813,,,,-1.0,0.0,1.367
2021-07-23T08:33:00,18.2,1.2,5.577,17.6,1.7,6.389,,,,-1.0,0.0,2.164
2021-07-24T05:35:30,18.8,1.2,7.741,18.8,1.3,6.887,,,,-1.0,0.0,1.703
2021-07-25T07:02:00,18.8,1.0,7.14,17.4,1.6,5.606,,,,-1.0,0.0,2.018
2021-07-26T06:30:00,19.2,0.9,7.283,18.4,1.9,6.138,,,,-1.0,0.0,1.756
2021-07-27T06:48:00,20.0,1.1,8.166,18.6,2.3,9.345,,,,-1.0,0.0,2.133
2021-07-28T06:18:30,0.0,0.0,1.91,-1.0,0.0,2.315,,,,-1.0,0.0,1.872
2021-07-29T08:09:30,18.6,1.2,6.185,17.4,1.1,6.29,,,,-1.0,0.0,1.356
2021-07-31T08:55:30,17.6,0.8,7.229,16.8,1.1,4.184,,,,-1.0,0.0,2.282
