timestamp,bucket_values
2023-10-01T08:27:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.004, 0.017, 0.234, 0.631, 0.109, 0.005, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2023-10-02T07:13:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.002, 0.006, 0.013, 0.145, 0.385, 0.333, 0.103, 0.012, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2023-10-03T07:08:00,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.003, 0.009, 0.098, 0.571, 0.298, 0.019, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2023-10-04T06:49:00,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.006, 0.017, 0.277, 0.603, 0.093, 0.004, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2023-10-05T07:12:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.003, 0.013, 0.142, 0.634, 0.198, 0.009, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2023-10-06T07:12:00,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.003, 0.005, 0.029, 0.298, 0.559, 0.1, 0.006, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2023-10-07T06:44:00,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.005, 0.022, 0.25, 0.594, 0.123, 0.005, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2023-10-08T07:50:00,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.005, 0.015, 0.32, 0.569, 0.088, 0.002, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2023-10-09T06:59:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.002, 0.006, 0.03, 0.258, 0.512, 0.177, 0.015, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2023-10-10T06:22:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.003, 0.009, 0.055, 0.378, 0.493, 0.056, 0.004, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2023-10-11T07:06:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.002, 0.004, 0.019, 0.212, 0.546, 0.19, 0.024, 0.002, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2023-10-12T06:49:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.002, 0.005, 0.012, 0.135, 0.512, 0.296, 0.035, 0.002, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2023-10-13T06:52:00,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.004, 0.012, 0.083, 0.334, 0.437, 0.121, 0.008, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2023-10-14T06:55:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.004, 0.006, 0.026, 0.154, 0.444, 0.319, 0.044, 0.002, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
