timestamp,full_sleep_breathing_rate,full_sleep_standard_deviation,full_sleep_signal_to_noise,deep_sleep_breathing_rate,deep_sleep_standard_deviation,deep_sleep_signal_to_noise,light_sleep_breathing_rate,light_sleep_standard_deviation,light_sleep_signal_to_noise,rem_sleep_breathing_rate,rem_sleep_standard_deviation,rem_sleep_signal_to_noise
2024-05-14T06:49:00,18.2,1.4,5.654,18.2,1.4,5.654,17.6,1.5,7.432,-1.0,0.0,2.336
2024-05-15T06:37:00,18.2,0.9,4.235,18.2,0.9,4.235,18.0,1.7,11.664,-1.0,0.0,1.89
2024-05-16T06:57:00,18.6,1.3,9.837,18.6,1.3,9.837,18.6,1.8,7.482,-1.0,0.0,1.541
2024-05-17T07:05:30,19.6,1.3,7.084,19.6,1.3,7.084,18.8,1.2,7.269,11.4,0.4,3.063
2024-05-18T09:49:00,16.6,2.0,8.974,16.6,2.0,8.974,16.6,1.3,10.658,18.0,2.7,8.804
2024-05-19T09:33:30,18.0,1.7,8.396,18.4,0.5,3.326,18.0,1.7,8.396,-1.0,0.0,1.892
2024-05-20T09:08:30,17.4,1.1,11.379,17.4,1.1,11.379,17.4,1.2,9.792,25.6,0.6,3.863
2024-05-23T10:36:30,17.8,1.0,7.533,17.8,1.0,7.533,17.4,1.1,9.889,-1.0,0.0,1.218
2024-05-24T06:52:30,18.8,0.8,5.768,18.8,0.8,5.768,18.0,1.3,7.179,9.4,0.5,3.275
2024-05-25T09:33:00,17.4,1.3,8.462,17.4,1.3,8.462,17.0,1.7,14.198,23.2,0.3,2.579
2024-05-26T10:42:30,17.4,1.2,6.861,17.4,1.2,6.861,17.6,1.3,6.996,-1.0,0.0,2.417
2024-05-27T06:53:00,18.0,1.6,5.61,18.0,1.6,5.61,17.6,1.6,13.642,-1.0,0.0,2.392
2024-05-28T06:52:30,17.4,1.5,10.573,17.4,1.5,10.573,17.8,2.0,11.325,-1.0,0.0,2.418
2024-05-29T06:55:30,19.8,1.8,7.841,19.8,1.8,7.841,-1.0,0.0,1.752,-1.0,0.0,1.855
2024-05-30T07:44:00,17.4,1.9,13.067,17.4,1.9,13.067,17.8,2.1,15.283,17.8,1.1,7.659
2024-05-31T08:26:30,18.2,1.4,6.925,18.2,1.4,6.925,17.8,2.0,10.325,24.0,0.4,3.292
