timestamp,full_sleep_breathing_rate,full_sleep_standard_deviation,full_sleep_signal_to_noise,deep_sleep_breathing_rate,deep_sleep_standard_deviation,deep_sleep_signal_to_noise,light_sleep_breathing_rate,light_sleep_standard_deviation,light_sleep_signal_to_noise,rem_sleep_breathing_rate,rem_sleep_standard_deviation,rem_sleep_signal_to_noise
2022-10-02T04:38:30,0.0,0.0,1.64,-1.0,0.0,1.64,-1.0,0.0,2.107,-1.0,0.0,1.711
2022-10-02T11:12:30,18.8,0.9,4.748,18.8,0.9,4.748,-1.0,0.0,2.158,-1.0,0.0,2.072
2022-10-03T12:15:00,0.0,0.0,1.837,-1.0,0.0,1.837,-1.0,0.0,1.832,-1.0,0.0,1.966
2022-10-04T08:09:00,18.0,1.2,7.911,18.0,1.2,7.911,18.0,1.0,4.317,-1.0,0.0,2.128
2022-10-05T09:32:30,19.0,1.5,5.099,19.0,1.5,5.099,18.2,1.7,6.872,-1.0,0.0,1.721
2022-10-06T09:19:30,18.2,1.0,7.283,18.2,1.0,7.283,18.0,2.1,12.861,21.4,0.6,3.098
2022-10-07T09:31:30,18.8,0.9,7.969,18.8,0.9,7.969,-1.0,0.0,1.845,-1.0,0.0,2.348
2022-10-08T09:10:00,17.8,1.5,8.246,17.8,1.5,8.246,18.0,1.7,10.234,12.6,1.8,2.946
2022-10-09T11:17:00,18.4,1.0,9.307,18.4,1.0,9.307,17.8,1.6,8.478,-1.0,0.0,2.257
2022-10-10T08:39:00,17.8,1.0,10.381,17.8,1.0,10.381,18.6,1.9,5.683,10.8,0.5,2.63
2022-10-11T10:58:00,17.4,0.9,6.252,17.4,0.9,6.252,17.6,1.1,11.46,-1.0,0.0,1.731
2022-10-12T08:59:30,17.8,1.5,6.453,17.8,1.5,6.453,17.8,1.9,15.598,-1.0,0.0,1.529
2022-10-13T08:23:30,17.2,1.6,11.274,17.2,1.6,11.274,17.6,2.6,11.469,17.2,1.1,4.644
2022-10-14T07:12:30,17.4,1.3,8.299,17.4,1.3,8.299,16.8,1.0,11.02,-1.0,0.0,2.07
2022-10-16T09:24:00,18.2,0.8,8.33,18.2,0.8,8.33,16.8,1.5,7.513,-1.0,0.0,1.806
2022-10-17T08:14:00,16.8,1.2,8.474,16.8,1.2,8.474,16.4,0.7,6.505,9.8,0.6,2.746
2022-10-18T07:24:30,16.4,0.8,7.062,17.0,0.8,3.85,16.4,0.8,7.062,-1.0,0.0,2.053
2022-10-19T05:49:00,17.8,1.3,6.483,-1.0,0.0,1.729,17.8,1.3,6.483,-1.0,0.0,2.241
2022-10-20T05:32:00,17.6,1.5,9.817,17.6,1.5,9.817,18.4,1.9,8.807,-1.0,0.0,2.488
2022-10-21T08:31:30,17.4,0.9,6.066,17.4,0.9,6.066,17.2,1.3,9.301,-1.0,0.0,1.989
2022-10-22T09:00:00,19.2,1.3,6.451,19.2,1.3,6.451,18.4,2.0,9.73,-1.0,0.0,1.193
2022-10-24T06:47:30,0.0,0.0,2.415,-1.0,0.0,2.415,-1.0,0.0,2.156,-1.0,0.0,1.309
2022-10-25T07:48:30,17.8,1.1,11.746,17.8,1.1,11.746,17.8,2.0,9.862,-1.0,0.0,2.239
2022-10-26T07:02:00,18.2,1.6,6.393,18.2,1.6,6.393,16.2,1.7,5.318,-1.0,0.0,1.997
2022-10-27T07:29:00,16.8,1.6,6.311,-1.0,0.0,1.959,16.8,1.6,6.311,-1.0,0.0,2.005
2022-10-28T08:50:30,18.4,1.9,7.789,18.4,1.9,7.789,17.2,1.6,9.994,-1.0,0.0,1.558
2022-10-29T07:52:00,17.2,1.1,8.436,17.2,1.1,8.436,16.4,1.1,5.663,-1.0,0.0,1.817
