timestamp,full_sleep_breathing_rate,full_sleep_standard_deviation,full_sleep_signal_to_noise,deep_sleep_breathing_rate,deep_sleep_standard_deviation,deep_sleep_signal_to_noise,light_sleep_breathing_rate,light_sleep_standard_deviation,light_sleep_signal_to_noise,rem_sleep_breathing_rate,rem_sleep_standard_deviation,rem_sleep_signal_to_noise
2022-12-02T08:02:30,17.6,1.3,5.677,17.6,1.3,5.677,17.0,1.7,7.638,-1.0,0.0,1.432
2022-12-03T08:06:00,18.8,1.1,7.267,18.8,1.1,7.267,18.0,2.2,6.802,-1.0,0.0,1.405
2022-12-04T07:54:00,19.0,0.7,6.135,19.0,0.7,6.135,-1.0,0.0,1.521,-1.0,0.0,1.771
2022-12-06T07:13:30,18.4,1.0,6.771,18.4,1.0,6.771,16.0,1.6,6.687,-1.0,0.0,1.837
2022-12-07T07:15:00,17.6,1.8,6.693,-1.0,0.0,2.047,17.6,1.8,6.693,-1.0,0.0,1.774
2022-12-08T07:16:30,17.4,0.6,2.77,17.4,0.6,2.77,-1.0,0.0,2.099,-1.0,0.0,1.989
2022-12-09T07:11:00,19.6,0.8,4.665,19.6,0.8,4.665,-1.0,0.0,1.185,11.2,2.1,2.644
2022-12-10T07:26:30,19.0,0.8,4.884,19.0,0.8,4.884,-1.0,0.0,2.37,-1.0,0.0,1.667
2022-12-11T09:00:00,18.2,1.0,8.198,18.2,1.0,8.198,18.8,1.5,8.854,-1.0,0.0,1.962
2022-12-12T07:50:30,18.8,2.4,12.67,-1.0,0.0,1.511,18.8,2.4,12.67,14.0,0.7,3.243
2022-12-13T07:45:30,17.8,1.1,6.673,17.8,1.1,6.673,18.2,2.3,9.238,-1.0,0.0,1.851
2022-12-14T07:29:00,18.0,1.5,5.689,-1.0,0.0,2.027,18.0,1.5,5.689,-1.0,0.0,1.948
2022-12-15T09:27:00,18.2,0.8,3.215,18.2,0.8,3.215,-1.0,0.0,2.4,-1.0,0.0,1.613
2022-12-16T09:30:00,17.0,1.3,5.825,17.0,1.3,5.825,-1.0,0.0,2.015,-1.0,0.0,1.743
2022-12-19T07:14:00,19.2,1.0,5.556,19.2,1.0,5.556,18.0,2.1,8.01,-1.0,0.0,1.832
2022-12-20T07:54:00,17.6,1.5,11.164,17.6,1.5,11.164,17.6,1.6,5.659,-1.0,0.0,2.449
2022-12-21T07:44:30,19.0,2.8,14.091,-1.0,0.0,1.248,19.0,2.8,14.091,-1.0,0.0,1.608
2022-12-22T08:17:30,16.8,1.5,9.99,16.8,1.5,9.99,16.4,0.9,5.986,-1.0,0.0,1.507
2022-12-23T04:18:00,18.4,1.1,7.524,18.4,1.1,7.524,-1.0,0.0,1.952,-1.0,0.0,1.532
2022-12-23T19:37:30,19.0,1.8,8.167,19.0,1.8,8.167,18.4,1.9,7.36,-1.0,0.0,1.387
2022-12-25T09:42:30,18.4,1.2,5.936,18.4,1.2,5.936,17.0,1.5,7.491,-1.0,0.0,2.261
2022-12-26T09:08:00,0.0,0.0,1.879,-1.0,0.0,1.879,-1.0,0.0,1.694,-1.0,0.0,1.451
2022-12-26T13:12:30,17.2,1.1,4.601,17.2,1.1,4.601,17.6,1.2,6.377,-1.0,0.0,1.577
2022-12-27T10:20:30,18.4,1.5,7.762,18.4,1.5,7.762,17.6,1.8,9.937,-1.0,0.0,1.506
2022-12-28T11:13:30,17.8,1.5,7.209,17.8,1.5,7.209,17.0,1.7,6.03,-1.0,0.0,2.397
2022-12-29T11:47:00,16.2,1.5,6.524,-1.0,0.0,1.82,16.2,1.5,6.524,-1.0,0.0,1.733
2022-12-30T11:58:30,17.4,1.7,8.384,17.4,1.7,8.384,16.8,1.8,10.538,-1.0,0.0,2.24
2022-12-31T10:53:00,17.2,1.4,6.665,17.2,1.4,6.665,17.0,1.4,7.059,-1.0,0.0,1.959
