timestamp,bucket_values
2024-08-01T04:34:00,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.007, 0.075, 0.296, 0.431, 0.168, 0.021, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2024-08-02T08:29:00,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.003, 0.005, 0.144, 0.372, 0.325, 0.133, 0.015, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2024-08-03T08:29:00,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.003, 0.007, 0.035, 0.377, 0.466, 0.097, 0.012, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2024-08-04T07:21:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.006, 0.066, 0.221, 0.43, 0.231, 0.044, 0.002, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2024-08-05T09:36:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.002, 0.007, 0.063, 0.346, 0.426, 0.138, 0.015, 0.002, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2024-08-06T09:20:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.004, 0.011, 0.08, 0.53, 0.303, 0.058, 0.011, 0.003, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2024-08-07T08:45:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.003, 0.011, 0.105, 0.393, 0.379, 0.1, 0.008, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2024-08-08T09:27:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.007, 0.016, 0.239, 0.58, 0.154, 0.003, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2024-08-09T09:44:00,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.002, 0.006, 0.017, 0.191, 0.515, 0.223, 0.041, 0.005, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2024-08-13T08:40:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.006, 0.007, 0.105, 0.403, 0.42, 0.057, 0.002, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2024-08-15T11:44:00,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.004, 0.015, 0.185, 0.283, 0.227, 0.211, 0.065, 0.009, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2024-08-16T05:01:00,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.003, 0.004, 0.007, 0.021, 0.123, 0.409, 0.352, 0.068, 0.012, 0.002, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2024-08-16T13:33:00,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
