timestamp,rmssd,coverage,low_frequency,high_frequency
2023-12-14T00:00:00,10.766,1.002,97.915,34.581
2023-12-14T00:05:00,11.433,1.004,106.041,40.044
2023-12-14T00:10:00,12.903,1.001,101.802,52.279
2023-12-14T00:15:00,11.835,1.004,65.56,47.491
2023-12-14T00:20:00,12.123,1.003,132.677,47.727
2023-12-14T00:25:00,10.602,1.003,129.427,34.123
2023-12-14T00:30:00,10.755,1.003,224.7,30.455
2023-12-14T00:35:00,10.463,0.92,261.87,22.266
2023-12-14T00:40:00,8.262,0.949,197.691,12.381
2023-12-14T00:45:00,7.598,0.985,113.544,10.768
2023-12-14T00:50:00,8.488,0.938,201.897,14.475
2023-12-14T00:55:00,10.005,0.983,152.911,16.349
2023-12-14T01:00:00,10.913,1.005,110.691,38.004
2023-12-14T01:05:00,11.128,1.004,164.77,32.642
2023-12-14T01:10:00,10.698,0.988,144.601,29.424
2023-12-14T01:15:00,10.735,1.004,121.116,25.212
2023-12-14T01:20:00,10.688,1.002,135.578,28.023
2023-12-14T01:25:00,11.327,1.003,84.698,35.663
2023-12-14T01:30:00,11.562,1.001,160.6,35.536
2023-12-14T01:35:00,11.775,1.003,166.298,35.158
2023-12-14T01:40:00,12.401,0.958,187.258,40.745
2023-12-14T01:45:00,14.423,0.879,227.67,35.803
2023-12-14T01:50:00,10.823,1.004,94.554,19.822
2023-12-14T01:55:00,9.669,1.003,101.392,20.166
2023-12-14T02:00:00,10.782,0.938,102.139,28.362
2023-12-14T02:05:00,10.419,0.81,90.563,11.429
2023-12-14T02:10:00,13.792,1.001,175.191,38.749
2023-12-14T02:15:00,9.025,0.986,86.072,10.699
2023-12-14T02:20:00,9.142,0.985,172.694,11.33
2023-12-14T02:25:00,10.64,1.004,231.442,21.001
2023-12-14T02:30:00,10.239,0.889,178.695,19.75
2023-12-14T02:35:00,10.023,0.967,266.363,19.668
2023-12-14T02:40:00,8.885,0.996,190.964,15.176
2023-12-14T02:45:00,8.505,0.966,155.898,11.244
2023-12-14T02:50:00,9.058,1.004,48.718,14.273
2023-12-14T02:55:00,9.074,1.003,100.238,18.872
2023-12-14T03:00:00,8.773,1.004,149.156,15.719
2023-12-14T03:05:00,9.231,1.002,107.793,22.256
2023-12-14T03:10:00,8.932,1.003,155.464,16.453
2023-12-14T03:15:00,9.682,1.003,124.919,17.788
2023-12-14T03:20:00,9.375,1.002,93.389,18.7
2023-12-14T03:25:00,12.307,0.943,335.128,23.689
2023-12-14T03:30:00,12.804,0.94,159.075,41.484
2023-12-14T03:35:00,11.1,1.001,104.396,30.407
2023-12-14T03:40:00,10.4,1.003,73.849,29.571
2023-12-14T03:45:00,11.363,0.953,198.39,23.127
2023-12-14T03:50:00,11.269,1.004,162.823,28.405
2023-12-14T03:55:00,13.177,1.003,286.47,46.558
2023-12-14T04:00:00,11.568,0.945,112.466,36.236
2023-12-14T04:05:00,13.613,0.988,207.692,38.06
2023-12-14T04:10:00,10.651,0.997,461.207,21.095
2023-12-14T04:15:00,11.548,0.913,436.352,18.333
2023-12-14T04:20:00,11.899,0.942,178.569,33.88
2023-12-14T04:25:00,11.778,0.988,194.596,23.15
2023-12-14T04:30:00,11.133,0.95,233.375,18.241
2023-12-14T04:35:00,11.763,0.96,432.401,37.099
2023-12-14T04:40:00,14.502,0.999,240.896,33.507
2023-12-14T04:45:00,16.445,0.928,515.182,71.694
2023-12-14T04:50:00,14.022,0.985,840.334,58.469
