timestamp,full_sleep_breathing_rate,full_sleep_standard_deviation,full_sleep_signal_to_noise,deep_sleep_breathing_rate,deep_sleep_standard_deviation,deep_sleep_signal_to_noise,light_sleep_breathing_rate,light_sleep_standard_deviation,light_sleep_signal_to_noise,rem_sleep_breathing_rate,rem_sleep_standard_deviation,rem_sleep_signal_to_noise
2024-06-01T08:05:30,18.0,1.4,7.271,18.0,1.4,7.271,17.8,1.8,7.083,-1.0,0.0,2.209
2024-06-01T21:00:00,19.2,0.6,6.727,19.2,0.6,6.727,18.0,1.5,9.019,-1.0,0.0,2.068
2024-06-02T07:46:30,16.4,1.5,7.643,16.4,1.5,7.643,17.0,1.7,9.915,-1.0,0.0,2.158
2024-06-03T05:53:30,17.4,1.4,8.122,17.4,1.4,8.122,17.2,1.4,8.044,-1.0,0.0,2.118
2024-06-04T08:17:30,16.2,1.7,10.94,-1.0,0.0,0.0,16.2,1.7,10.94,-1.0,0.0,1.706
2024-06-05T07:35:30,17.6,1.4,4.866,17.6,1.4,4.866,17.6,1.5,7.505,-1.0,0.0,2.306
2024-06-06T10:26:00,18.2,1.3,7.62,18.2,1.3,7.62,17.8,1.6,8.514,-1.0,0.0,1.356
2024-06-08T08:07:00,17.6,1.6,8.188,17.6,1.6,8.188,17.8,1.3,8.866,-1.0,0.0,1.793
2024-06-09T08:22:30,17.8,1.5,9.482,17.8,1.5,9.482,17.8,1.7,12.575,-1.0,0.0,1.904
2024-06-10T07:05:00,17.8,1.4,10.783,17.8,1.4,10.783,18.0,1.2,10.209,-1.0,0.0,1.821
2024-06-11T07:08:00,17.6,1.2,11.804,17.6,1.2,11.804,17.4,2.2,10.557,17.4,1.8,7.226
2024-06-12T07:06:30,17.4,0.7,4.794,17.4,0.7,4.794,17.0,1.3,15.556,-1.0,0.0,2.416
2024-06-13T07:49:00,16.8,1.2,12.346,16.8,1.2,12.346,16.6,1.6,16.882,-1.0,0.0,2.076
2024-06-14T07:10:30,18.2,1.9,6.255,18.2,1.9,6.255,17.0,1.6,13.642,-1.0,0.0,1.614
2024-06-15T09:08:30,17.2,1.5,10.651,17.2,1.5,10.651,17.6,1.8,12.421,-1.0,0.0,2.359
2024-06-16T09:25:00,17.0,1.6,14.313,17.0,1.6,14.313,16.4,1.9,16.507,23.8,0.8,2.719
2024-06-17T07:06:30,18.2,1.2,6.096,18.2,1.2,6.096,17.8,1.6,6.897,-1.0,0.0,2.317
2024-06-19T07:03:30,18.6,1.0,9.592,18.6,1.0,9.592,18.8,1.7,10.905,19.2,0.5,3.08
2024-06-20T07:16:30,18.4,1.3,9.58,18.4,1.3,9.58,17.8,1.5,8.39,-1.0,0.0,1.83
2024-06-21T06:53:30,17.4,1.1,5.125,17.4,1.1,5.125,18.8,2.1,9.288,-1.0,0.0,2.413
2024-06-22T07:35:00,18.0,1.5,6.06,18.0,1.5,6.06,18.0,2.1,11.865,-1.0,0.0,1.525
2024-06-23T08:24:00,18.6,1.5,10.492,18.6,1.5,10.492,17.8,2.1,11.808,17.0,2.2,7.267
2024-06-24T07:10:30,19.0,1.3,8.296,19.0,1.3,8.296,18.6,1.5,9.628,-1.0,0.0,1.684
2024-06-25T08:10:30,17.2,1.8,5.672,17.2,1.8,5.672,18.2,1.9,13.316,10.2,1.0,3.127
2024-06-26T07:36:30,18.0,1.1,10.013,18.0,1.1,10.013,18.0,1.8,10.66,-1.0,0.0,1.724
2024-06-27T06:26:30,18.8,1.3,10.399,-1.0,0.0,1.933,18.8,1.3,10.399,-1.0,0.0,1.602
2024-06-28T06:40:00,18.6,1.9,7.716,18.6,1.9,7.716,18.8,1.9,8.542,-1.0,0.0,2.19
2024-06-29T09:50:30,19.4,1.5,8.312,19.4,1.5,8.312,19.2,1.4,7.273,11.0,2.6,3.328
2024-06-29T17:17:30,19.2,1.9,6.544,19.2,1.9,6.544,-1.0,0.0,2.235,12.4,0.4,2.892
2024-06-30T09:17:30,18.2,0.8,4.995,18.2,0.8,4.995,-1.0,0.0,1.976,-1.0,0.0,2.013
