timestamp,full_sleep_breathing_rate,full_sleep_standard_deviation,full_sleep_signal_to_noise,deep_sleep_breathing_rate,deep_sleep_standard_deviation,deep_sleep_signal_to_noise,light_sleep_breathing_rate,light_sleep_standard_deviation,light_sleep_signal_to_noise,rem_sleep_breathing_rate,rem_sleep_standard_deviation,rem_sleep_signal_to_noise
2023-02-01T08:46:30,18.8,1.2,8.69,18.8,1.2,8.69,17.4,1.5,5.161,-1.0,0.0,1.715
2023-02-02T07:52:00,18.0,1.1,5.428,18.0,1.1,5.428,18.4,1.6,7.011,-1.0,0.0,1.961
2023-02-03T07:47:00,18.0,1.2,5.311,18.0,1.2,5.311,4.8,0.6,2.501,-1.0,0.0,1.94
2023-02-04T11:08:30,17.8,2.0,8.367,17.8,2.0,8.367,-1.0,0.0,1.972,-1.0,0.0,1.386
2023-02-05T09:25:30,18.4,2.2,8.291,-1.0,0.0,1.906,18.4,2.2,8.291,-1.0,0.0,2.113
2023-02-07T07:35:30,18.2,1.8,4.61,18.2,1.8,4.61,16.6,0.8,7.639,-1.0,0.0,1.424
2023-02-08T08:36:00,0.0,0.0,1.631,-1.0,0.0,1.631,-1.0,0.0,1.908,-1.0,0.0,1.742
2023-02-08T18:04:00,0.0,0.0,1.626,-1.0,0.0,1.626,-1.0,0.0,1.397,-1.0,0.0,1.754
2023-02-10T08:40:00,16.2,1.1,5.07,16.2,1.1,5.07,17.0,2.6,4.353,-1.0,0.0,1.372
2023-02-11T08:28:30,18.6,1.0,5.353,18.6,1.0,5.353,17.0,0.9,5.058,-1.0,0.0,2.123
2023-02-12T09:13:30,17.4,1.6,4.863,17.4,1.6,4.863,-1.0,0.0,2.112,-1.0,0.0,1.592
2023-02-13T08:58:30,16.6,1.3,3.946,-1.0,0.0,2.227,16.6,1.3,3.946,-1.0,0.0,1.845
2023-02-14T07:45:00,17.6,1.0,4.453,17.6,1.0,4.453,17.8,1.5,5.371,-1.0,0.0,1.738
2023-02-15T07:16:00,17.8,1.1,5.486,17.8,1.1,5.486,-1.0,0.0,2.117,-1.0,0.0,1.708
2023-02-16T07:53:30,18.2,1.7,6.604,18.2,1.7,6.604,16.0,1.6,5.301,-1.0,0.0,1.339
2023-02-17T07:49:00,17.6,1.9,7.249,17.6,1.9,7.249,17.2,2.0,5.688,-1.0,0.0,1.937
2023-02-18T08:50:30,18.8,0.8,5.558,18.8,0.8,5.558,16.8,1.5,8.222,-1.0,0.0,1.739
2023-02-19T09:31:30,16.8,0.6,7.081,16.8,0.6,7.081,15.8,1.4,5.29,-1.0,0.0,1.797
2023-02-21T08:29:30,18.0,1.4,6.122,18.0,1.4,6.122,17.8,2.2,7.928,-1.0,0.0,1.918
2023-02-22T07:47:30,19.0,1.0,6.182,19.0,1.0,6.182,17.6,2.2,6.558,-1.0,0.0,1.39
2023-02-23T06:38:00,4.8,0.4,2.507,4.8,0.4,2.507,-1.0,0.0,2.091,-1.0,0.0,2.115
2023-02-24T07:51:30,18.0,2.2,7.72,18.0,2.2,7.72,-1.0,0.0,1.959,-1.0,0.0,2.042
2023-02-25T08:19:00,17.0,1.6,10.597,17.0,1.6,10.597,15.0,0.6,3.242,-1.0,0.0,1.781
2023-02-26T07:41:30,16.8,1.2,6.73,16.8,1.2,6.73,17.8,2.0,8.975,-1.0,0.0,2.085
2023-02-27T08:08:00,18.0,1.6,9.21,18.0,1.6,9.21,17.6,2.0,9.773,-1.0,0.0,1.451
2023-02-28T09:54:00,19.8,1.2,9.074,19.8,1.2,9.074,-1.0,0.0,1.914,-1.0,0.0,1.583
