timestamp,full_sleep_breathing_rate,full_sleep_standard_deviation,full_sleep_signal_to_noise,deep_sleep_breathing_rate,deep_sleep_standard_deviation,deep_sleep_signal_to_noise,light_sleep_breathing_rate,light_sleep_standard_deviation,light_sleep_signal_to_noise,rem_sleep_breathing_rate,rem_sleep_standard_deviation,rem_sleep_signal_to_noise
2021-11-01T09:14:00,17.6,1.0,9.874,16.6,1.2,4.461,,,,-1.0,0.0,2.022
2021-11-02T08:41:00,17.0,1.4,4.243,17.8,1.4,5.212,,,,-1.0,0.0,2.355
2021-11-03T11:06:30,17.4,1.4,8.912,16.8,1.0,5.871,,,,10.2,0.4,2.633
2021-11-04T09:34:30,17.0,1.1,4.046,17.0,1.1,4.046,,,,-1.0,0.0,2.056
2021-11-05T10:16:00,17.6,2.1,6.25,18.4,2.2,4.686,,,,-1.0,0.0,2.095
2021-11-06T09:00:30,17.6,0.9,7.873,16.6,1.2,8.021,,,,-1.0,0.0,2.132
2021-11-07T08:28:30,16.6,1.8,4.235,16.6,1.8,4.235,,,,-1.0,0.0,1.356
2021-11-08T09:14:00,16.2,0.7,5.135,16.0,1.0,9.287,,,,-1.0,0.0,2.009
2021-11-09T05:52:30,18.0,1.0,4.923,17.8,1.3,5.697,,,,-1.0,0.0,1.244
2021-11-10T08:49:30,17.4,1.7,5.793,16.6,1.5,7.791,,,,-1.0,0.0,1.627
2021-11-11T08:22:00,16.6,1.3,5.499,17.0,2.1,6.509,,,,-1.0,0.0,1.424
2021-11-12T08:46:00,17.4,0.9,4.653,16.6,1.6,5.036,,,,-1.0,0.0,1.588
2021-11-13T09:15:00,18.4,1.0,7.626,-1.0,0.0,1.908,,,,-1.0,0.0,1.56
2021-11-14T06:22:00,18.0,2.1,5.831,18.0,2.1,5.831,,,,-1.0,0.0,1.455
2021-11-14T08:33:00,16.4,0.9,5.969,16.4,0.9,5.969,,,,-1.0,0.0,1.599
2021-11-16T08:21:00,17.0,0.9,8.257,16.4,1.7,5.946,,,,-1.0,0.0,1.975
2021-11-17T06:45:00,18.6,0.8,6.446,17.2,1.7,5.394,,,,-1.0,0.0,2.094
2021-11-18T06:44:00,17.2,1.0,8.668,18.0,1.6,5.823,,,,-1.0,0.0,1.337
2021-11-19T08:08:00,17.8,1.4,5.566,17.6,1.4,6.418,,,,-1.0,0.0,1.348
2021-11-20T09:25:30,19.4,1.2,7.008,16.4,0.9,4.823,,,,-1.0,0.0,2.293
2021-11-21T11:30:30,0.0,0.0,2.194,-1.0,0.0,1.419,,,,-1.0,0.0,1.74
2021-11-22T08:09:00,18.0,1.0,6.073,-1.0,0.0,1.795,,,,-1.0,0.0,2.056
2021-11-23T09:00:00,16.2,1.2,8.095,16.6,1.9,6.522,,,,12.2,0.7,3.21
2021-11-24T07:53:00,15.8,1.3,4.584,15.8,1.3,4.584,,,,-1.0,0.0,2.266
2021-11-25T07:23:30,16.6,0.8,3.738,16.6,0.8,3.738,,,,-1.0,0.0,1.828
2021-11-26T07:44:30,0.0,0.0,2.344,-1.0,0.0,2.209,,,,-1.0,0.0,1.962
2021-11-27T12:47:30,18.8,1.3,5.154,17.4,1.1,4.268,,,,-1.0,0.0,1.694
2021-11-28T09:47:00,17.2,1.2,4.256,15.6,0.6,3.714,,,,-1.0,0.0,2.029
2021-11-28T12:01:00,17.4,1.5,4.991,15.4,0.7,4.306,,,,-1.0,0.0,1.94
2021-11-29T08:53:00,16.8,1.5,4.662,16.8,1.5,4.662,,,,-1.0,0.0,1.83
2021-11-30T04:54:00,18.4,1.6,5.047,18.4,0.7,5.724,,,,-1.0,0.0,1.708
2021-11-30T14:33:00,0.0,0.0,2.211,-1.0,0.0,1.655,,,,-1.0,0.0,1.444
