timestamp,full_sleep_breathing_rate,full_sleep_standard_deviation,full_sleep_signal_to_noise,deep_sleep_breathing_rate,deep_sleep_standard_deviation,deep_sleep_signal_to_noise,light_sleep_breathing_rate,light_sleep_standard_deviation,light_sleep_signal_to_noise,rem_sleep_breathing_rate,rem_sleep_standard_deviation,rem_sleep_signal_to_noise
2025-12-01T11:18:00,18.2,1.1,7.196,18.2,1.1,7.196,-1.0,0.0,1.903,-1.0,0.0,1.752
2025-12-02T08:01:30,19.2,1.0,4.515,19.2,1.0,4.515,18.8,1.8,9.834,-1.0,0.0,1.928
2025-12-02T12:17:00,17.8,2.0,5.134,-1.0,0.0,0.0,17.8,2.0,5.134,-1.0,0.0,1.442
2025-12-03T08:57:00,18.2,1.3,4.707,18.2,1.3,4.707,18.8,2.1,7.011,-1.0,0.0,2.473
2025-12-04T04:05:30,19.0,0.9,4.288,19.0,0.9,4.288,-1.0,0.0,1.817,-1.0,0.0,1.824
2025-12-04T08:10:30,19.2,1.0,5.396,19.2,1.0,5.396,-1.0,0.0,1.912,-1.0,0.0,1.547
2025-12-05T07:51:00,18.4,0.6,4.303,18.4,0.6,4.303,18.2,1.6,8.372,-1.0,0.0,1.877
2025-12-06T05:32:00,19.0,0.8,4.899,19.0,0.8,4.899,18.6,2.0,11.109,-1.0,0.0,1.557
2025-12-07T08:55:00,18.6,1.1,6.967,-1.0,0.0,1.694,18.6,1.1,6.967,-1.0,0.0,2.084
2025-12-08T06:23:30,18.0,1.1,4.662,18.0,1.1,4.662,18.6,2.1,6.947,-1.0,0.0,1.721
2025-12-09T06:43:30,19.2,1.1,7.189,19.2,1.1,7.189,-1.0,0.0,1.768,-1.0,0.0,1.542
2025-12-09T10:46:30,19.4,1.2,3.719,19.4,1.2,3.719,-1.0,0.0,1.938,-1.0,0.0,1.339
2025-12-10T06:51:00,19.6,1.6,8.031,-1.0,0.0,2.029,19.6,1.6,8.031,-1.0,0.0,1.804
2025-12-11T07:26:00,19.2,0.6,4.826,19.2,0.6,4.826,19.6,1.7,8.857,-1.0,0.0,1.442
2025-12-12T06:41:00,19.2,0.7,5.646,19.2,0.7,5.646,25.8,0.4,3.279,-1.0,0.0,1.768
2025-12-12T10:35:30,19.2,0.7,5.646,19.2,0.7,5.646,16.8,2.3,8.977,-1.0,0.0,2.453
2025-12-13T07:22:00,18.8,2.1,10.332,-1.0,0.0,2.255,18.8,2.1,10.332,-1.0,0.0,1.61
2025-12-14T06:05:00,0.0,0.0,2.377,-1.0,0.0,2.377,-1.0,0.0,1.874,-1.0,0.0,1.086
2025-12-15T07:25:00,18.8,1.3,6.99,-1.0,0.0,1.946,18.8,1.3,6.99,-1.0,0.0,1.611
2025-12-16T06:08:00,19.0,1.5,5.221,19.0,1.5,5.221,20.0,0.9,4.289,-1.0,0.0,1.261
2025-12-17T08:42:30,19.0,2.0,6.644,19.0,2.0,6.644,19.0,2.4,9.996,-1.0,0.0,1.933
2025-12-18T08:00:30,18.6,1.4,12.605,18.6,1.4,12.605,17.8,2.5,7.363,-1.0,0.0,2.076
2025-12-19T09:11:30,18.4,2.0,7.8,29.6,0.3,2.532,18.4,2.0,7.8,-1.0,0.0,2.414
2025-12-20T05:51:30,0.0,0.0,2.377,-1.0,0.0,2.377,-1.0,0.0,1.852,-1.0,0.0,1.382
2025-12-21T07:45:30,19.0,0.7,4.723,19.0,0.7,4.723,19.2,1.7,10.441,-1.0,0.0,1.627
2025-12-21T10:26:30,19.2,0.8,4.892,19.2,0.8,4.892,19.0,1.9,9.247,-1.0,0.0,2.054
2025-12-22T06:26:30,0.0,0.0,2.245,-1.0,0.0,2.245,-1.0,0.0,2.264,-1.0,0.0,1.921
2025-12-22T09:29:30,0.0,0.0,2.298,-1.0,0.0,2.298,-1.0,0.0,1.519,-1.0,0.0,1.863
2025-12-23T07:19:30,16.8,1.4,5.441,-1.0,0.0,1.939,16.8,1.4,5.441,-1.0,0.0,2.086
2025-12-29T04:31:00,17.8,2.6,5.783,-1.0,0.0,1.553,17.8,2.6,5.783,-1.0,0.0,0.943
2025-12-29T09:54:30,0.0,0.0,1.695,-1.0,0.0,1.695,-1.0,0.0,2.055,-1.0,0.0,1.492
2025-12-30T05:13:30,19.0,1.4,5.56,19.0,1.4,5.56,-1.0,0.0,1.511,-1.0,0.0,1.312
2025-12-30T06:47:30,19.4,0.8,6.837,19.4,0.8,6.837,-1.0,0.0,1.611,-1.0,0.0,1.312
2025-12-31T09:32:30,0.0,0.0,2.301,-1.0,0.0,2.301,-1.0,0.0,2.118,-1.0,0.0,2.411
