timestamp,rmssd,coverage,low_frequency,high_frequency
2022-04-15T00:00:00,14.897,0.999,214.822,34.973
2022-04-15T00:05:00,14.592,1.005,122.735,41.92
2022-04-15T00:10:00,15.572,1.002,244.857,40.455
2022-04-15T00:15:00,13.98,0.912,272.249,23.242
2022-04-15T00:20:00,11.478,0.954,273.834,29.383
2022-04-15T00:25:00,12.28,0.943,540.126,26.639
2022-04-15T00:30:00,10.893,0.932,341.763,26.122
2022-04-15T00:35:00,11.084,0.982,467.355,35.855
2022-04-15T00:40:00,10.154,0.982,517.884,32.921
2022-04-15T00:45:00,11.969,0.913,571.035,29.796
2022-04-15T00:50:00,11.549,0.962,235.606,24.799
2022-04-15T00:55:00,15.483,1.0,144.2,42.323
2022-04-15T01:00:00,15.913,1.003,145.554,55.309
2022-04-15T01:05:00,18.289,1.005,220.927,76.812
2022-04-15T01:10:00,17.824,0.996,135.618,78.967
2022-04-15T01:15:00,19.014,0.99,107.723,62.097
2022-04-15T01:20:00,16.237,1.003,140.885,48.249
2022-04-15T01:25:00,16.81,1.003,133.865,52.219
2022-04-15T01:30:00,17.517,0.983,222.044,60.911
2022-04-15T01:35:00,16.385,1.005,279.587,50.522
2022-04-15T01:40:00,17.4,0.828,642.684,34.76
2022-04-15T01:55:00,17.733,0.737,413.796,51.378
2022-04-15T02:00:00,12.553,0.993,235.856,17.774
2022-04-15T02:05:00,11.949,1.003,187.92,16.251
2022-04-15T02:10:00,11.261,1.003,235.865,15.462
2022-04-15T02:15:00,10.189,0.99,198.576,7.43
2022-04-15T02:20:00,11.42,0.926,170.789,25.187
2022-04-15T02:25:00,9.371,1.002,68.13,16.995
2022-04-15T02:30:00,10.717,0.999,136.286,19.916
2022-04-15T02:35:00,11.522,0.99,95.596,22.679
2022-04-15T02:40:00,10.311,1.002,160.026,19.078
2022-04-15T02:45:00,9.576,0.978,98.41,22.293
2022-04-15T02:50:00,10.655,1.004,95.893,22.425
2022-04-15T02:55:00,11.947,1.003,321.14,22.803
2022-04-15T03:00:00,11.337,0.987,240.678,26.03
2022-04-15T03:05:00,13.224,0.912,196.344,33.237
2022-04-15T03:10:00,16.955,1.002,239.794,55.977
2022-04-15T03:15:00,15.941,0.893,472.822,44.877
2022-04-15T03:20:00,10.51,0.983,240.889,11.445
2022-04-15T03:25:00,9.817,1.003,329.956,14.232
2022-04-15T03:30:00,10.631,0.985,675.714,18.286
2022-04-15T03:35:00,13.682,0.924,433.219,29.293
2022-04-15T03:40:00,11.553,0.975,311.902,18.138
2022-04-15T03:45:00,10.94,0.983,212.392,13.337
2022-04-15T03:50:00,11.652,0.938,294.923,15.42
2022-04-15T03:55:00,12.925,0.957,491.04,15.263
2022-04-15T04:00:00,10.773,0.978,111.379,18.852
2022-04-15T04:05:00,12.681,0.97,137.299,33.302
2022-04-15T04:10:00,12.369,1.002,159.075,21.747
2022-04-15T04:15:00,13.849,0.988,293.092,36.929
2022-04-15T04:20:00,13.769,1.001,98.659,27.19
2022-04-15T04:25:00,14.374,1.004,149.843,22.584
2022-04-15T04:30:00,18.488,0.911,422.08,36.366
2022-04-15T04:35:00,16.394,0.972,249.704,38.407
2022-04-15T04:40:00,17.993,1.003,436.14,59.933
2022-04-15T04:45:00,18.464,0.948,422.552,49.062
2022-04-15T04:50:00,15.644,0.966,297.901,41.969
2022-04-15T04:55:00,13.798,0.892,2078.314,148.128
2022-04-15T05:00:00,13.259,0.973,1225.278,33.947
2022-04-15T05:05:00,14.351,0.91,579.698,26.784
2022-04-15T05:10:00,14.455,0.928,160.074,28.091
2022-04-15T05:15:00,11.846,0.975,474.676,19.106
2022-04-15T05:20:00,13.507,0.974,261.971,16.825
2022-04-15T05:25:00,12.905,0.978,781.54,33.265
2022-04-15T05:30:00,12.028,0.993,301.494,19.432
2022-04-15T05:35:00,11.871,0.966,263.787,21.038
2022-04-15T05:40:00,9.951,0.975,267.79,14.137
2022-04-15T05:45:00,10.913,0.959,306.504,21.215
2022-04-15T05:50:00,10.741,1.004,137.857,18.823
2022-04-15T05:55:00,11.082,0.996,239.322,14.639
2022-04-15T06:00:00,19.092,0.82,386.249,71.314
2022-04-15T23:10:00,7.478,0.946,82.28,8.702
2022-04-15T23:15:00,8.717,0.956,87.942,12.203
2022-04-15T23:20:00,9.437,1.002,93.785,21.299
2022-04-15T23:25:00,10.62,1.003,134.144,30.166
2022-04-15T23:30:00,11.222,1.002,111.407,31.136
2022-04-15T23:35:00,11.83,1.002,73.191,36.337
2022-04-15T23:40:00,11.883,1.004,100.657,35.745
2022-04-15T23:45:00,12.779,1.004,121.974,39.647
2022-04-15T23:50:00,11.687,1.003,109.859,33.135
2022-04-15T23:55:00,13.525,1.003,144.618,50.85
