timestamp,rmssd,coverage,low_frequency,high_frequency
2025-08-06T02:00:00,10.394,0.831,211.375,10.085
2025-08-06T02:05:00,11.778,1.004,337.046,25.846
2025-08-06T02:10:00,11.463,0.95,256.498,26.644
2025-08-06T02:15:00,12.055,1.0,162.727,28.046
2025-08-06T02:20:00,14.215,1.004,89.753,52.012
2025-08-06T02:25:00,14.033,1.002,362.31,42.55
2025-08-06T02:30:00,13.536,1.001,268.833,30.362
2025-08-06T02:35:00,12.347,0.876,273.463,10.069
2025-08-06T02:40:00,12.266,0.939,457.406,19.819
2025-08-06T02:45:00,15.277,0.87,287.672,33.62
2025-08-06T02:50:00,14.166,0.957,219.773,58.068
2025-08-06T02:55:00,13.271,0.923,342.638,17.573
2025-08-06T03:00:00,14.745,1.001,491.258,32.082
2025-08-06T03:05:00,16.155,0.964,441.513,35.44
2025-08-06T03:10:00,15.554,0.952,492.256,52.271
2025-08-06T03:15:00,14.644,0.918,468.463,27.3
2025-08-06T03:20:00,8.424,1.004,235.121,7.022
2025-08-06T03:25:00,10.376,1.001,530.416,17.105
2025-08-06T03:30:00,8.772,1.002,151.74,8.772
2025-08-06T03:35:00,9.203,1.001,202.853,6.754
2025-08-06T03:40:00,9.061,1.0,282.467,12.027
2025-08-06T03:45:00,11.045,1.004,656.61,12.902
2025-08-06T03:50:00,11.454,0.996,717.409,36.284
2025-08-06T03:55:00,10.276,0.994,297.748,14.325
2025-08-06T04:00:00,10.896,0.98,600.76,14.51
2025-08-06T04:05:00,11.314,1.005,299.389,23.338
2025-08-06T04:10:00,12.558,1.002,439.0,17.962
2025-08-06T04:15:00,14.367,0.938,440.458,31.566
2025-08-06T04:20:00,17.496,0.984,561.055,42.113
2025-08-06T04:25:00,16.221,1.003,339.541,41.086
2025-08-06T04:30:00,19.398,0.999,339.99,53.201
2025-08-06T04:35:00,18.883,1.003,141.598,57.854
2025-08-06T04:40:00,21.317,1.003,408.214,65.658
2025-08-06T04:45:00,20.896,1.003,513.074,47.909
2025-08-06T04:50:00,18.768,0.976,631.348,42.583
2025-08-06T04:55:00,18.152,0.872,650.174,33.786
2025-08-06T05:00:00,14.961,0.99,396.098,35.872
2025-08-06T05:05:00,16.339,0.964,504.465,47.307
2025-08-06T05:10:00,14.866,0.962,391.378,34.594
2025-08-06T05:15:00,14.961,0.936,430.012,28.087
2025-08-06T05:20:00,15.56,1.005,427.54,38.934
2025-08-06T05:25:00,14.242,0.953,464.493,35.475
2025-08-06T05:30:00,13.738,0.886,460.601,26.675
2025-08-06T05:35:00,11.864,0.986,447.728,14.955
2025-08-06T05:40:00,11.898,0.992,847.252,23.233
2025-08-06T05:45:00,11.978,0.962,414.149,19.393
2025-08-06T05:50:00,9.683,0.99,613.431,16.759
2025-08-06T05:55:00,11.378,0.911,577.998,8.094
2025-08-06T06:00:00,15.232,0.939,290.574,27.44
2025-08-06T06:05:00,15.02,0.939,442.889,38.45
2025-08-06T06:10:00,16.762,1.001,401.633,45.568
2025-08-06T06:15:00,15.794,1.005,306.836,49.019
2025-08-06T06:20:00,14.501,1.003,484.479,38.763
2025-08-06T06:25:00,15.182,0.954,403.801,39.089
2025-08-06T06:30:00,15.805,0.976,418.114,46.199
2025-08-06T06:35:00,11.136,0.875,126.975,22.956
2025-08-06T06:40:00,14.344,1.003,533.94,26.83
2025-08-06T06:45:00,11.664,0.969,690.365,14.48
2025-08-06T06:50:00,8.85,1.003,133.538,9.369
2025-08-06T06:55:00,9.215,0.999,197.55,13.463
2025-08-06T07:00:00,9.151,1.004,221.539,8.27
2025-08-06T07:05:00,9.56,0.991,287.916,11.865
2025-08-06T07:10:00,9.414,0.933,240.112,11.882
2025-08-06T07:15:00,15.106,0.957,588.144,35.722
2025-08-06T07:20:00,18.606,0.912,505.734,42.33
2025-08-06T07:25:00,11.877,0.95,337.732,20.411
2025-08-06T07:30:00,10.437,0.966,428.652,12.985
2025-08-06T07:35:00,9.392,1.002,145.495,9.817
2025-08-06T07:40:00,11.943,0.942,456.227,11.146
2025-08-06T07:45:00,10.654,0.983,409.638,21.061
2025-08-06T07:50:00,12.81,0.948,650.615,21.53
2025-08-06T07:55:00,10.203,1.002,336.753,14.938
2025-08-06T08:00:00,11.545,0.957,361.364,22.743
2025-08-06T08:05:00,11.725,0.882,346.788,20.349
2025-08-06T08:10:00,11.933,0.922,245.269,13.44
2025-08-06T08:15:00,13.732,1.001,294.964,27.357
2025-08-06T08:20:00,12.119,0.886,362.028,19.232
2025-08-06T08:25:00,14.611,0.992,294.834,27.732
