timestamp,full_sleep_breathing_rate,full_sleep_standard_deviation,full_sleep_signal_to_noise,deep_sleep_breathing_rate,deep_sleep_standard_deviation,deep_sleep_signal_to_noise,light_sleep_breathing_rate,light_sleep_standard_deviation,light_sleep_signal_to_noise,rem_sleep_breathing_rate,rem_sleep_standard_deviation,rem_sleep_signal_to_noise
2025-09-01T08:06:00,18.6,1.0,9.835,18.6,1.0,9.835,18.4,2.3,7.772,-1.0,0.0,2.126
2025-09-02T06:59:30,17.6,0.9,7.853,17.6,0.9,7.853,17.6,1.4,6.034,-1.0,0.0,1.776
2025-09-03T08:07:30,16.2,0.9,6.76,16.2,0.9,6.76,16.4,1.9,7.577,-1.0,0.0,1.58
2025-09-04T07:21:00,17.8,0.9,7.036,17.8,0.9,7.036,17.6,1.9,7.61,-1.0,0.0,1.341
2025-09-05T07:02:00,19.2,1.5,5.643,19.2,1.5,5.643,-1.0,0.0,2.032,-1.0,0.0,1.744
2025-09-07T11:38:00,0.0,0.0,1.818,-1.0,0.0,1.818,-1.0,0.0,1.984,-1.0,0.0,2.02
2025-09-08T06:55:00,16.8,0.9,6.541,16.8,0.9,6.541,17.6,1.6,8.598,-1.0,0.0,1.96
2025-09-09T09:15:30,18.2,1.3,6.819,18.2,1.3,6.819,-1.0,0.0,2.418,-1.0,0.0,1.629
2025-09-10T05:38:30,19.0,0.5,4.424,19.0,0.5,4.424,-1.0,0.0,2.27,-1.0,0.0,1.848
2025-09-11T09:03:30,18.6,2.0,5.534,18.6,2.0,5.534,17.0,1.9,11.638,-1.0,0.0,1.526
2025-09-12T08:01:30,16.8,1.5,7.304,16.8,1.5,7.304,18.2,1.2,7.86,19.8,0.4,2.813
2025-09-13T09:01:00,18.0,2.2,5.833,18.0,2.2,5.833,17.4,2.3,6.269,-1.0,0.0,1.713
2025-09-14T07:02:30,18.2,1.5,7.124,18.2,1.5,7.124,-1.0,0.0,2.111,-1.0,0.0,1.736
2025-09-15T07:06:30,17.0,1.2,8.712,17.0,1.2,8.712,17.6,2.6,10.022,-1.0,0.0,1.762
2025-09-16T07:37:30,16.8,1.1,5.018,16.8,1.1,5.018,17.8,1.7,5.068,-1.0,0.0,1.697
2025-09-17T08:45:30,18.2,1.4,5.556,18.2,1.4,5.556,18.0,1.9,7.811,-1.0,0.0,1.92
2025-09-18T07:07:30,17.8,0.5,5.244,17.8,0.5,5.244,17.0,1.9,6.398,-1.0,0.0,1.762
2025-09-19T06:55:30,18.2,1.3,7.804,18.2,1.3,7.804,17.4,2.2,16.429,10.8,0.9,3.524
2025-09-20T06:35:00,17.4,0.8,6.295,17.4,0.8,6.295,17.4,2.4,10.787,18.6,1.1,6.482
2025-09-21T07:12:30,19.0,1.6,7.451,19.0,1.6,7.451,18.6,2.1,9.415,-1.0,0.0,2.12
2025-09-22T07:26:30,0.0,0.0,2.406,-1.0,0.0,2.406,-1.0,0.0,2.488,-1.0,0.0,1.294
2025-09-23T08:09:00,18.4,1.1,5.873,18.4,1.1,5.873,18.4,1.9,8.104,-1.0,0.0,2.35
2025-09-24T08:13:00,18.6,1.1,7.517,18.6,1.1,7.517,18.4,2.2,10.412,-1.0,0.0,2.43
2025-09-25T04:02:30,19.2,1.6,8.532,19.2,1.6,8.532,18.0,1.2,7.888,-1.0,0.0,1.676
2025-09-25T09:33:00,17.6,2.1,13.913,-1.0,0.0,1.787,17.6,2.1,13.913,-1.0,0.0,1.406
2025-09-26T08:33:00,18.2,1.4,9.637,18.2,1.4,9.637,17.2,1.9,11.657,-1.0,0.0,1.43
2025-09-28T06:20:00,18.8,1.4,5.147,18.8,1.4,5.147,-1.0,0.0,1.972,-1.0,0.0,2.027
2025-09-28T09:23:30,18.8,1.4,6.023,18.8,1.4,6.023,-1.0,0.0,1.861,-1.0,0.0,1.876
2025-09-29T06:51:00,0.0,0.0,2.331,-1.0,0.0,2.331,-1.0,0.0,1.751,-1.0,0.0,1.497
2025-09-30T06:49:30,18.8,1.4,6.202,18.8,1.4,6.202,-1.0,0.0,1.653,-1.0,0.0,1.61
