timestamp,rmssd,coverage,low_frequency,high_frequency
2021-04-02T01:45:00,119.212,0.754,1968.413,1551.469
2021-04-02T01:50:00,17.456,0.969,803.688,39.913
2021-04-02T01:55:00,17.606,0.996,642.694,50.677
2021-04-02T02:00:00,15.184,0.942,717.31,42.929
2021-04-02T02:05:00,15.181,1.005,431.006,55.146
2021-04-02T02:10:00,15.875,1.004,306.489,58.579
2021-04-02T02:15:00,20.288,0.984,759.347,62.434
2021-04-02T02:20:00,19.861,0.946,1456.252,66.172
2021-04-02T02:25:00,17.711,0.997,595.652,50.193
2021-04-02T02:30:00,18.386,0.955,1553.206,73.755
2021-04-02T02:35:00,12.868,0.99,291.193,26.984
2021-04-02T02:40:00,12.826,1.005,411.289,22.86
2021-04-02T02:45:00,12.068,0.997,786.787,20.411
2021-04-02T02:50:00,11.72,1.001,456.845,22.499
2021-04-02T02:55:00,11.146,0.991,419.736,13.187
2021-04-02T03:00:00,13.764,0.838,1040.826,15.86
2021-04-02T03:05:00,24.262,0.713,805.398,32.207
2021-04-02T03:10:00,13.993,1.002,345.337,35.739
2021-04-02T03:15:00,14.364,0.997,1082.217,49.495
2021-04-02T03:20:00,14.401,1.002,470.152,28.604
2021-04-02T03:25:00,12.328,1.004,204.661,29.865
2021-04-02T03:30:00,16.496,1.002,394.006,49.198
2021-04-02T03:35:00,15.568,1.003,354.345,49.354
2021-04-02T03:40:00,17.113,1.001,357.451,53.967
2021-04-02T03:45:00,17.762,1.005,544.303,64.786
2021-04-02T03:50:00,16.036,1.001,332.733,55.072
2021-04-02T03:55:00,22.109,0.946,1266.633,89.021
2021-04-02T04:00:00,18.846,1.002,654.941,51.671
2021-04-02T04:05:00,17.705,1.005,357.607,39.14
2021-04-02T04:10:00,17.956,1.003,378.68,49.952
2021-04-02T04:15:00,18.593,1.002,353.29,63.931
2021-04-02T04:20:00,20.09,0.968,556.639,63.933
2021-04-02T04:25:00,17.33,0.993,1239.119,58.957
2021-04-02T04:30:00,21.285,0.917,1256.77,44.789
2021-04-02T04:35:00,20.351,0.961,1359.685,66.254
2021-04-02T04:40:00,15.165,0.988,732.288,26.827
2021-04-02T04:45:00,15.976,0.899,715.147,36.088
2021-04-02T04:55:00,22.659,0.855,1359.854,78.943
2021-04-02T05:00:00,17.766,0.984,373.666,53.369
2021-04-02T05:05:00,21.367,0.945,800.046,76.332
2021-04-02T05:10:00,18.091,0.996,439.244,54.579
2021-04-02T05:15:00,19.784,1.004,387.781,57.305
2021-04-02T05:20:00,18.84,1.003,490.1,79.205
2021-04-02T05:25:00,21.953,0.95,561.156,57.847
2021-04-02T05:30:00,19.139,1.001,412.854,65.952
2021-04-02T05:35:00,18.138,1.004,635.097,72.753
2021-04-02T05:40:00,19.83,1.005,771.602,84.687
2021-04-02T05:45:00,22.18,0.954,749.051,81.917
2021-04-02T05:50:00,22.087,0.996,949.571,51.895
2021-04-02T05:55:00,19.867,0.998,535.558,58.17
2021-04-02T06:00:00,20.023,1.003,970.591,58.298
2021-04-02T06:05:00,18.435,0.934,1276.159,54.87
2021-04-02T06:10:00,11.486,0.978,339.426,12.808
2021-04-02T06:15:00,14.306,0.99,656.072,21.094
2021-04-02T06:20:00,19.787,0.959,758.427,34.256
2021-04-02T06:25:00,18.97,0.891,663.536,36.014
2021-04-02T06:30:00,16.582,0.997,814.793,25.582
2021-04-02T06:35:00,15.595,0.934,471.408,31.863
2021-04-02T06:40:00,21.356,0.973,2207.235,72.636
2021-04-02T06:45:00,22.945,0.886,940.722,65.378
2021-04-02T06:50:00,24.424,0.859,518.256,83.984
2021-04-02T06:55:00,20.746,0.909,1855.427,74.385
2021-04-02T07:00:00,19.621,1.004,577.324,58.372
2021-04-02T07:05:00,21.607,1.002,720.565,71.551
2021-04-02T07:10:00,19.196,0.989,682.861,141.78
2021-04-02T07:15:00,18.352,1.002,391.127,68.79
2021-04-02T07:20:00,18.821,1.005,337.785,68.763
2021-04-02T07:25:00,23.013,0.94,1331.974,69.86
2021-04-02T07:30:00,25.389,0.941,604.862,135.356
2021-04-02T07:35:00,18.807,1.003,293.633,60.442
2021-04-02T07:40:00,18.902,1.002,706.083,61.462
2021-04-02T07:45:00,20.819,1.003,508.051,72.036
2021-04-02T07:50:00,19.265,1.003,299.807,73.64
2021-04-02T07:55:00,21.653,1.004,885.35,75.251
2021-04-02T08:00:00,22.136,0.995,1045.8,64.834
2021-04-02T08:05:00,31.721,0.884,2375.158,114.581
2021-04-02T08:10:00,18.553,0.905,632.45,46.509
2021-04-02T08:15:00,23.439,0.942,1820.852,65.308
2021-04-02T08:20:00,24.436,0.922,2820.305,76.401
2021-04-02T08:25:00,21.372,0.959,1259.437,51.684
2021-04-02T08:30:00,22.742,0.906,1389.241,61.408
2021-04-02T08:35:00,26.246,0.92,1628.576,92.332
2021-04-02T08:40:00,27.287,0.965,1659.084,129.401
2021-04-02T08:45:00,27.355,0.898,1745.622,485.43
2021-04-02T08:50:00,22.94,0.943,419.286,58.81
2021-04-02T08:55:00,23.849,0.856,764.208,47.319
2021-04-02T09:00:00,18.415,1.003,476.319,67.687
2021-04-02T09:05:00,19.502,0.992,293.53,60.681
2021-04-02T09:10:00,19.942,1.003,860.233,79.112
2021-04-02T09:15:00,20.765,1.002,435.881,79.784
2021-04-02T09:20:00,19.904,1.002,574.289,67.621
2021-04-02T09:25:00,20.067,1.005,498.792,68.088
2021-04-02T09:30:00,21.193,0.987,1119.656,58.91
2021-04-02T09:35:00,27.217,0.948,2219.18,65.19
2021-04-02T09:40:00,26.136,0.996,1712.47,152.841
2021-04-02T09:45:00,30.847,0.972,2706.952,105.792
2021-04-02T09:50:00,25.092,1.003,901.209,103.768
2021-04-02T09:55:00,28.366,0.972,1446.441,96.036
2021-04-02T10:00:00,19.982,0.834,650.965,31.744
2021-04-02T10:05:00,23.686,0.913,443.843,50.219
2021-04-02T10:10:00,31.711,0.987,1972.548,205.424
2021-04-02T10:15:00,28.887,0.883,1393.186,140.601
2021-04-02T10:20:00,24.584,1.004,1529.301,90.799
2021-04-02T10:25:00,26.641,0.884,1867.386,91.466
