timestamp,rmssd,coverage,low_frequency,high_frequency
2024-12-08T00:35:00,7.932,0.92,28.165,5.541
2024-12-08T00:40:00,7.554,0.987,74.724,8.24
2024-12-08T00:45:00,8.992,0.944,113.859,14.99
2024-12-08T00:50:00,8.886,0.929,28.279,10.261
2024-12-08T00:55:00,9.199,1.0,220.485,17.285
2024-12-08T01:00:00,8.71,1.004,74.689,13.061
2024-12-08T01:05:00,9.389,1.0,60.756,15.483
2024-12-08T01:10:00,8.72,1.002,28.513,13.111
2024-12-08T01:15:00,9.979,1.005,69.806,16.832
2024-12-08T01:20:00,8.77,1.0,48.041,12.588
2024-12-08T01:25:00,9.044,1.002,48.461,16.513
2024-12-08T01:30:00,10.107,0.984,44.241,19.953
2024-12-08T01:35:00,10.54,0.961,92.123,13.573
2024-12-08T01:40:00,8.478,1.004,68.927,11.483
2024-12-08T01:45:00,8.503,1.003,43.743,11.239
2024-12-08T01:50:00,9.087,0.996,58.128,12.644
2024-12-08T01:55:00,9.705,1.003,75.996,16.168
2024-12-08T02:00:00,9.969,0.964,168.93,9.771
2024-12-08T02:05:00,8.781,0.968,82.641,5.354
2024-12-08T02:10:00,8.546,1.003,112.481,7.249
2024-12-08T02:15:00,9.69,0.937,103.535,9.115
2024-12-08T02:20:00,9.122,0.997,57.609,8.885
2024-12-08T02:25:00,10.352,0.952,122.847,13.793
2024-12-08T02:30:00,11.91,1.003,89.845,13.53
2024-12-08T02:35:00,12.247,1.001,65.112,22.686
2024-12-08T02:40:00,10.092,0.959,90.167,18.56
2024-12-08T02:45:00,8.842,1.003,84.789,11.251
2024-12-08T02:50:00,10.0,1.0,147.688,13.071
2024-12-08T02:55:00,9.342,1.003,49.609,17.198
2024-12-08T03:00:00,12.698,0.936,234.98,38.944
2024-12-08T03:05:00,9.414,1.0,102.623,13.58
2024-12-08T03:10:00,9.046,1.003,81.985,12.482
2024-12-08T03:15:00,8.659,0.989,92.019,11.404
2024-12-08T03:20:00,9.042,0.989,120.175,10.782
2024-12-08T03:25:00,9.623,1.002,121.007,16.023
2024-12-08T03:30:00,9.056,0.991,48.195,14.516
2024-12-08T03:35:00,10.634,1.0,121.595,22.594
2024-12-08T03:40:00,10.257,1.004,119.096,25.182
2024-12-08T03:45:00,11.043,0.96,138.742,21.025
2024-12-08T03:50:00,13.355,1.003,69.69,29.917
2024-12-08T03:55:00,15.534,1.0,156.056,41.433
2024-12-08T04:00:00,16.745,1.004,169.44,43.584
2024-12-08T04:05:00,16.457,0.997,192.393,54.898
2024-12-08T04:10:00,12.573,0.964,214.8,18.488
2024-12-08T04:15:00,8.984,0.976,226.228,10.826
2024-12-08T04:20:00,9.335,0.991,78.216,10.015
2024-12-08T04:25:00,9.296,0.999,97.272,7.96
2024-12-08T04:30:00,9.437,1.003,68.564,12.121
2024-12-08T04:35:00,10.181,1.0,148.202,12.841
2024-12-08T04:40:00,9.839,1.003,60.207,16.832
2024-12-08T04:45:00,13.355,0.947,128.261,26.083
2024-12-08T04:50:00,8.97,0.928,170.684,12.618
2024-12-08T04:55:00,10.594,1.0,138.347,16.019
2024-12-08T05:00:00,10.239,1.003,121.446,16.404
2024-12-08T05:05:00,10.177,0.996,65.906,15.272
