timestamp,Infrared to Red Signal Ratio
07/29/23 05:42:30,-2
07/29/23 05:43:30,-26
07/29/23 05:44:30,-3
07/29/23 05:45:30,-4
07/29/23 05:46:30,0
07/29/23 05:47:30,-11
07/29/23 05:48:30,-20
07/29/23 05:49:30,0
07/29/23 05:50:30,-35
07/29/23 05:51:30,7
07/29/23 05:52:30,5
07/29/23 05:53:30,-5
07/29/23 05:54:30,-2
07/29/23 05:55:30,-24
07/29/23 05:56:30,18
07/29/23 05:57:30,32
07/29/23 05:58:30,3
07/29/23 05:59:30,0
07/29/23 06:00:31,-2
07/29/23 06:01:31,20
07/29/23 06:02:31,56
07/29/23 06:03:31,17
07/29/23 06:04:31,7
07/29/23 06:05:31,1
07/29/23 06:06:31,0
07/29/23 06:07:31,4
07/29/23 06:08:31,-7
07/29/23 06:09:31,22
07/29/23 06:10:31,0
07/29/23 06:11:31,-20
07/29/23 06:12:31,0
07/29/23 06:13:31,-21
07/29/23 06:14:31,-4
07/29/23 06:15:31,-51
07/29/23 06:16:31,-85
07/29/23 06:17:31,-21
07/29/23 06:18:31,-13
07/29/23 06:19:31,-30
07/29/23 06:20:31,-65
07/29/23 06:21:31,-12
07/29/23 06:22:31,-11
07/29/23 06:23:31,-7
07/29/23 06:24:31,-14
07/29/23 06:25:31,18
07/29/23 06:26:31,0
07/29/23 06:27:31,0
07/29/23 06:28:31,0
07/29/23 06:29:31,0
07/29/23 06:30:32,0
07/29/23 06:31:32,0
07/29/23 06:32:32,0
07/29/23 06:33:32,0
07/29/23 06:34:32,0
07/29/23 06:35:32,0
07/29/23 06:36:32,0
07/29/23 06:37:32,0
07/29/23 06:38:32,0
07/29/23 06:39:32,0
07/29/23 06:40:32,0
07/29/23 06:41:32,0
07/29/23 06:42:32,0
07/29/23 06:43:32,0
07/29/23 06:44:32,0
07/29/23 06:45:34,0
07/29/23 06:46:34,0
07/29/23 06:47:34,0
07/29/23 06:48:34,0
07/29/23 06:49:34,0
07/29/23 06:50:34,0
07/29/23 06:51:34,0
07/29/23 06:52:34,0
07/29/23 06:53:34,0
07/29/23 06:54:34,10
07/29/23 06:55:34,-58
07/29/23 06:56:34,26
07/29/23 06:57:34,13
07/29/23 06:58:34,-27
07/29/23 06:59:34,25
07/29/23 07:00:34,10
07/29/23 07:01:35,-53
07/29/23 07:02:35,39
07/29/23 07:03:35,26
07/29/23 07:04:35,10
07/29/23 07:05:35,19
07/29/23 07:06:35,26
07/29/23 07:07:35,0
07/29/23 07:08:35,5
07/29/23 07:09:35,9
07/29/23 07:10:35,8
