sleep_id,sleep_type,minutes_in_sleep_period,minutes_after_wake_up,minutes_to_fall_asleep,minutes_asleep,minutes_awake,minutes_longest_awakening,minutes_to_persistent_sleep,start_utc_offset,sleep_start,end_utc_offset,sleep_end,data_source,sleep_created,sleep_last_updated
1091252257852225728,STAGES,414,0,0,393,21,0,0,+00:00,2022-01-14 03:44:30+0000,+00:00,2022-01-14 10:39:00+0000,DERIVED,2022-01-14 10:05:00+0000,2022-01-14 10:05:18+0000
1099114068704544472,STAGES,567,0,0,538,29,0,0,+00:00,2022-08-26 01:26:30+0000,+00:00,2022-08-26 10:53:30+0000,DERIVED,2022-08-26 08:54:00+0000,2022-08-26 08:54:33+0000
1120379598540460184,STAGES,328,0,0,313,15,0,0,+00:00,2021-09-20 04:35:30+0000,+00:00,2021-09-20 10:03:30+0000,DERIVED,2021-09-20 08:23:00+0000,2021-09-20 08:23:09+0000
1207012110656624128,STAGES,199,0,0,197,2,0,0,+00:00,2021-12-06 04:55:30+0000,+00:00,2021-12-06 08:14:30+0000,DERIVED,2021-12-06 07:40:00+0000,2021-12-06 07:40:16+0000
1236256968643256472,STAGES,483,0,0,470,13,0,0,+00:00,2022-07-09 02:27:00+0000,+00:00,2022-07-09 10:30:30+0000,DERIVED,2022-07-09 09:49:00+0000,2022-07-09 09:49:03+0000
1246821507298845896,STAGES,305,0,0,289,16,0,0,+00:00,2021-12-16 02:03:30+0000,+00:00,2021-12-16 07:09:00+0000,DERIVED,2021-12-16 06:22:00+0000,2021-12-16 06:22:43+0000
1302141392263572504,STAGES,575,0,0,559,16,0,0,+00:00,2022-01-30 22:54:30+0000,+00:00,2022-01-31 08:30:00+0000,DERIVED,2022-01-31 07:50:00+0000,2022-01-31 07:50:33+0000
1302720902302609496,STAGES,525,0,0,501,24,0,0,+00:00,2022-05-31 22:51:30+0000,+00:00,2022-06-01 07:37:00+0000,DERIVED,2022-06-04 01:53:00+0000,2022-06-04 01:54:01+0000
1304640114541538904,STAGES,507,0,0,469,38,0,0,+00:00,2021-10-21 23:30:00+0000,+00:00,2021-10-22 07:57:00+0000,DERIVED,2021-10-22 06:30:00+0000,2021-10-22 06:30:56+0000
1312073090363632632,CLASSIC,97,0,0,91,6,0,0,+00:00,2021-11-13 11:09:30+0000,+00:00,2021-11-13 12:46:30+0000,DERIVED,2021-11-13 12:12:00+0000,2021-11-13 12:12:51+0000
1322295132624686568,STAGES,355,0,0,340,15,0,0,+00:00,2021-10-07 00:39:00+0000,+00:00,2021-10-07 06:34:00+0000,DERIVED,2021-10-07 04:56:00+0000,2021-10-07 04:56:32+0000
1332704300806289008,STAGES,424,0,0,411,13,0,0,+00:00,2022-07-30 01:54:30+0000,+00:00,2022-07-30 08:59:00+0000,DERIVED,2022-08-04 17:33:00+0000,2022-08-04 17:33:32+0000
1358010215215368352,STAGES,528,0,0,516,12,0,0,+00:00,2022-08-25 01:02:00+0000,+00:00,2022-08-25 09:50:30+0000,DERIVED,2022-08-25 07:51:00+0000,2022-08-25 07:51:57+0000
1417663935670221256,STAGES,557,5,0,542,15,0,0,+00:00,2022-04-05 23:57:00+0000,+00:00,2022-04-06 09:19:30+0000,DERIVED,2022-04-06 07:55:00+0000,2022-04-06 07:55:26+0000
1475297232881243968,STAGES,339,2,0,333,6,0,0,+00:00,2022-01-02 03:35:30+0000,+00:00,2022-01-02 09:17:00+0000,DERIVED,2022-01-02 14:34:00+0000,2022-01-02 14:34:07+0000
1482416715763120800,STAGES,212,14,0,199,13,0,0,+00:00,2022-04-08 14:47:00+0000,+00:00,2022-04-08 18:33:00+0000,DERIVED,2022-04-08 16:47:00+0000,2022-04-08 16:47:37+0000
1487939087906554288,STAGES,570,0,0,546,24,0,0,+00:00,2021-11-09 23:19:00+0000,+00:00,2021-11-10 08:49:30+0000,DERIVED,2021-11-10 08:30:00+0000,2021-11-10 08:30:51+0000
1497177717495762088,STAGES,311,0,0,301,10,0,0,+00:00,2021-11-29 23:43:00+0000,+00:00,2021-11-30 04:54:00+0000,DERIVED,2021-11-30 04:31:00+0000,2021-11-30 04:31:56+0000
1498632073708854048,STAGES,478,0,0,461,17,0,0,+00:00,2022-04-20 00:02:00+0000,+00:00,2022-04-20 08:00:00+0000,DERIVED,2022-04-20 06:22:00+0000,2022-04-20 06:22:54+0000
1520821944872943688,STAGES,654,0,0,635,19,0,0,+00:00,2022-01-08 22:28:30+0000,+00:00,2022-01-09 09:22:30+0000,DERIVED,2022-01-09 15:13:00+0000,2022-01-09 15:13:53+0000
1523906149556485576,STAGES,343,0,0,339,4,0,0,+00:00,2022-02-17 00:36:30+0000,+00:00,2022-02-17 06:20:00+0000,DERIVED,2022-02-17 05:45:00+0000,2022-02-17 05:45:53+0000
1547667270366794600,STAGES,421,0,0,414,7,0,0,+00:00,2022-02-01 00:42:00+0000,+00:00,2022-02-01 07:43:30+0000,DERIVED,2022-02-01 07:03:00+0000,2022-02-01 07:03:29+0000
1552267664708442304,CLASSIC,90,0,0,89,1,0,0,+00:00,2022-08-08 14:00:00+0000,+00:00,2022-08-08 15:30:30+0000,DERIVED,2022-08-15 11:59:00+0000,2022-08-15 11:59:57+0000
1575349834485494784,STAGES,649,7,0,634,15,0,0,+00:00,2022-04-23 01:17:00+0000,+00:00,2022-04-23 12:13:00+0000,DERIVED,2022-04-23 10:37:00+0000,2022-04-23 10:37:21+0000
1674708787553424832,STAGES,446,0,0,430,16,0,0,+00:00,2022-06-22 00:01:30+0000,+00:00,2022-06-22 07:28:00+0000,DERIVED,2022-06-23 09:04:00+0000,2022-06-23 09:04:50+0000
1682210640168276272,STAGES,558,0,0,535,23,0,0,+00:00,2021-10-17 01:10:30+0000,+00:00,2021-10-17 10:29:00+0000,DERIVED,2021-10-17 08:50:00+0000,2021-10-17 08:51:00+0000
168385652300799128,STAGES,341,4,0,334,7,0,0,+00:00,2021-11-25 01:38:30+0000,+00:00,2021-11-25 07:23:30+0000,DERIVED,2021-11-25 07:10:00+0000,2021-11-25 07:10:24+0000
17463136922662584,STAGES,507,0,0,478,29,0,0,+00:00,2022-01-06 00:29:00+0000,+00:00,2022-01-06 08:56:30+0000,DERIVED,2022-01-06 14:40:00+0000,2022-01-06 14:40:48+0000
1772098250345653224,CLASSIC,112,0,0,95,17,0,0,+00:00,2022-03-03 17:20:30+0000,+00:00,2022-03-03 19:12:30+0000,DERIVED,2022-03-03 18:27:00+0000,2022-03-03 18:27:44+0000
1791484849375291080,STAGES,429,0,0,412,17,0,0,+00:00,2022-04-04 00:39:00+0000,+00:00,2022-04-04 07:48:00+0000,DERIVED,2022-04-04 06:00:00+0000,2022-04-04 06:00:56+0000
1860357975419903904,STAGES,228,1,0,222,6,0,0,+00:00,2021-12-03 12:49:00+0000,+00:00,2021-12-03 16:38:30+0000,DERIVED,2021-12-03 16:05:00+0000,2021-12-03 16:05:02+0000
