sleep_id,sleep_type,minutes_in_sleep_period,minutes_after_wake_up,minutes_to_fall_asleep,minutes_asleep,minutes_awake,minutes_longest_awakening,minutes_to_persistent_sleep,start_utc_offset,sleep_start,end_utc_offset,sleep_end,data_source,sleep_created,sleep_last_updated
2954445622036369752,STAGES,378,0,0,372,6,0,0,+00:00,2023-10-26 00:28:00+0000,+00:00,2023-10-26 06:46:30+0000,DERIVED,2023-10-26 05:05:00+0000,2023-10-26 05:06:01+0000
3060587913835407640,STAGES,363,0,0,350,13,0,0,+00:00,2024-03-21 00:58:30+0000,+00:00,2024-03-21 07:02:00+0000,DERIVED,2024-03-21 06:38:00+0000,2024-03-21 06:38:54+0000
3072054193472581464,STAGES,480,0,0,466,14,0,0,+00:00,2023-10-02 23:07:30+0000,+00:00,2023-10-03 07:08:00+0000,DERIVED,2023-10-03 05:23:00+0000,2023-10-03 05:23:28+0000
3179352140059578520,STAGES,514,0,0,496,18,0,0,+00:00,2024-01-21 01:22:30+0000,+00:00,2024-01-21 09:56:30+0000,DERIVED,2024-01-21 09:10:00+0000,2024-01-21 09:11:00+0000
3203116573965262960,STAGES,513,0,0,449,64,0,0,+00:00,2023-09-14 04:37:30+0000,+00:00,2023-09-14 13:11:00+0000,DERIVED,2023-09-14 08:50:00+0000,2023-09-14 11:26:54+0000
3204718661463800552,STAGES,404,4,0,401,3,0,0,+00:00,2024-03-05 21:54:00+0000,+00:00,2024-03-06 04:42:30+0000,DERIVED,2024-03-06 04:09:00+0000,2024-03-06 04:09:35+0000
3213785614032212464,STAGES,412,0,0,405,7,0,0,+00:00,2024-01-07 01:01:00+0000,+00:00,2024-01-07 07:53:00+0000,DERIVED,2024-01-07 08:31:00+0000,2024-01-07 08:31:46+0000
3233200602607562472,CLASSIC,141,0,0,135,6,0,0,+00:00,2023-09-19 11:16:30+0000,+00:00,2023-09-19 13:38:00+0000,DERIVED,2023-09-19 12:00:00+0000,2023-09-19 12:00:46+0000
3240008417073349544,STAGES,564,0,0,543,21,0,0,+00:00,2023-10-14 22:57:30+0000,+00:00,2023-10-15 08:22:00+0000,DERIVED,2023-10-15 07:03:00+0000,2023-10-15 07:03:43+0000
3240341051910397792,STAGES,433,0,0,409,24,0,0,+00:00,2023-12-07 23:00:00+0000,+00:00,2023-12-08 06:13:00+0000,DERIVED,2023-12-08 13:24:00+0000,2023-12-08 13:24:21+0000
