value_time,setting_name,setting_value
2025-10-09 16:10:17+0000,body temperature measurement unit,en us
2025-10-09 16:10:17+0000,glucose measurement unit,mg dl
2026-02-26 20:52:27+0000,height system,us
2026-02-26 20:52:27+0000,pool length,25
2026-02-26 20:52:27+0000,pool length measurement unit,meter
2026-02-26 20:52:27+0000,swim unit,metric
2026-02-26 20:52:27+0000,water measurement unit,fl oz
2026-02-26 20:52:27+0000,weight system,us
