subscription_id,provider,sku,start_time,expiration_time,access_granted_until_time,cancellation_time,trial_period_end_time,state,updated_time,apple_original_transaction_id,apple_validate_at_time,apple_fatal_renewal_error,apple_last_transaction_time,google_store_subscription_id,google_store_line_item_id,google_validate_at_time,google_last_transaction_id
-5537109221398544384,PROVIDER_GOOGLE,com.fitbit.external.prod.annual.premium_ft6m_3,2023-06-03 10:20:39+0000,2023-12-03 10:19:16+0000,2023-12-03 10:19:16+0000,2023-10-04 18:05:37+0000,,SUBSCRIPTION_STATE_EXPIRED,2025-07-09 10:58:30+0000,,,,,,,,GPA.3391-4996-2270-72158
-9088046344731361280,PROVIDER_GOOGLE,com.fitbit.external.prod.monthly.premium,2021-02-20 18:56:46+0000,2021-05-21 18:56:20+0000,2021-05-22 18:56:20+0000,2021-05-14 18:58:52+0000,,SUBSCRIPTION_STATE_EXPIRED,2025-07-09 10:58:30+0000,,,,,,,,GPA.3382-0445-0482-57259
