sleep_id,sleep_score_id,data_source,score_utc_offset,score_time,overall_score,duration_score,composition_score,revitalization_score,sleep_time_minutes,deep_sleep_minutes,rem_sleep_percent,resting_heart_rate,sleep_goal_minutes,waso_count_long_wakes,waso_count_all_wake_time,restlessness_normalized,hr_below_resting_hr,sleep_score_created,sleep_score_last_updated
5564984637500813872,4760198857828276304,DERIVED,+00:00,2021-01-21 07:39:30+0000,73.276,-1,-1,-1,384,78,11.84,68,480,12.833333333333332,49,0.078917700112739575,0.77140757074604926,2021-01-21 07:39:30+0000,2021-01-21 07:39:30+0000
5645849039527763472,7035593251858301648,DERIVED,+00:00,2021-02-05 08:20:00+0000,71.804,-1,-1,-1,378,57,10.89,69,480,19.833333333333336,62,0.060606060606060608,0.90036589828027813,2021-02-05 08:20:00+0000,2021-02-05 08:20:00+0000
5657714390843336720,5496539017711536456,DERIVED,+00:00,2021-04-21 09:10:00+0000,86.072,90.785,70.461,92.257,499,104,10.87,72,480,11,48,0.047619047619047616,0.91087780694079912,2021-04-21 09:10:00+0000,2021-04-21 09:10:00+0000
5673731105117303736,801619523321601248,DERIVED,+00:00,2021-05-01 08:14:30+0000,80.769,74.927,80.438,92.784,390,89,18.61,65,480,9.8333333333333321,38,0.046242774566473986,0.91929420790180283,2021-05-01 08:14:30+0000,2021-05-01 08:14:30+0000
5680160931390966672,3964659742603008960,DERIVED,+00:00,2021-01-10 10:09:30+0000,86.343,-1,-1,-1,484,45,19.82,71,480,16.166666666666668,60,0.092376681614349782,0.90926756352765326,2021-01-10 10:09:30+0000,2021-01-10 10:09:30+0000
5698081176259389648,9123102844780713480,DERIVED,+00:00,2021-07-02 09:07:30+0000,84.984,-1,-1,-1,463,96,21.73,70,480,7.6666666666666661,36,0.0776794493608653,0.80667314544865565,2021-07-02 09:07:30+0000,2021-07-02 09:07:30+0000
5727644715878930520,5843473278451391968,DERIVED,+00:00,2021-07-29 08:09:30+0000,77.448,-1,-1,-1,386,90,17.96,80,480,6.5,34,0.11123986095017381,0.7937716262975778,2021-07-29 08:09:30+0000,2021-07-29 08:09:30+0000
5746744148951525464,5562298489874320608,DERIVED,+00:00,2020-10-07 05:45:00+0000,69.967,-1,-1,-1,239,42,25.14,77,480,5.1666666666666661,20,0.072380952380952379,0.84124922696351268,2020-10-07 05:45:00+0000,2020-10-07 05:45:00+0000
5776649345853072008,5792321154936627728,DERIVED,+00:00,2021-08-30 11:57:30+0000,75.453,-1,-1,-1,297,37,31.37,77,480,6.5,28,0.0693815987933635,0.97807943690296628,2021-08-30 11:57:30+0000,2021-08-30 11:57:30+0000
5802747570013404224,8923530931502870232,DERIVED,+00:00,2021-06-17 06:39:00+0000,77.155,-1,-1,-1,408,78,13.84,79,480,5.166666666666667,34,0.089700996677740868,0.80118124769287558,2021-06-17 06:39:00+0000,2021-06-17 06:39:00+0000
585739228847431528,6595987588930286936,DERIVED,+00:00,2021-02-16 09:00:00+0000,86.586,-1,-1,-1,458,91,23.7,73,480,4.3333333333333339,22,0.072522982635342181,0.894428056374959,2021-02-16 09:00:00+0000,2021-02-16 09:00:00+0000
586214117821038464,6299976092545995208,DERIVED,+00:00,2021-02-25 07:57:30+0000,83.82,79.056,87.758,89.408,407,96,26.39,76,480,6.1666666666666661,26,0.079635949943117179,0.939097459233978,2021-02-25 07:57:30+0000,2021-02-25 07:57:30+0000
5881843361496849488,1076558271945863568,DERIVED,+00:00,2021-01-23 10:06:00+0000,82.836,-1,-1,-1,512,73,14.03,71,480,14,60,0.08175559380378658,0.79841134751773046,2021-01-23 10:06:00+0000,2021-01-23 10:06:00+0000
5882172450331392960,3371705997996307864,DERIVED,+00:00,2020-09-08 08:37:30+0000,77.487,-1,-1,-1,433,61,13.82,69,480,7.6666666666666679,37,0.078534031413612565,0.557613596947624,2020-09-08 08:37:30+0000,2020-09-08 08:37:30+0000
5895934939615819680,4287678732829853552,DERIVED,+00:00,2020-09-29 11:51:00+0000,90.165,-1,-1,-1,565,111,29.45,74,480,7.3333333333333339,37,0.05742411812961444,0.775020341741253,2020-09-29 11:51:00+0000,2020-09-29 11:51:00+0000
5906135812759806624,2398986564345316560,DERIVED,+00:00,2021-04-16 08:15:00+0000,86.75,84.101,86.469,92.33,464,90,21.98,73,480,7.6666666666666679,36,0.052993130520117761,0.92874232137083734,2021-04-16 08:15:00+0000,2021-04-16 08:15:00+0000
5926245380175987464,9060260232764784,DERIVED,+00:00,2021-04-17 10:52:00+0000,72.445,68.97,63.757,88.083,362,36,12.46,73,480,11.666666666666666,48,0.050299401197604787,0.81953888237592809,2021-04-17 10:52:00+0000,2021-04-17 10:52:00+0000
5928407636856504456,4374673090177529280,DERIVED,+00:00,2020-12-29 09:00:00+0000,73.893,-1,-1,-1,364,59,14.39,75,480,7.8333333333333339,37,0.073170731707317069,0.73826262626262629,2020-12-29 09:00:00+0000,2020-12-29 09:00:00+0000
5934471338000487544,8712886722988405120,DERIVED,+00:00,2020-09-23 07:49:00+0000,76.052,-1,-1,-1,328,65,16.02,73,480,2.6666666666666665,16,0.048640915593705293,0.82852428099952857,2020-09-23 07:49:00+0000,2020-09-23 07:49:00+0000
5970457799242904344,3164075820403281024,DERIVED,+00:00,2021-06-29 08:59:30+0000,84.683,-1,-1,-1,452,76,24.73,70,480,9.3333333333333321,42,0.088381330685203568,0.90498843739676249,2021-06-29 08:59:30+0000,2021-06-29 08:59:30+0000
6007830453395427240,51564992896659504,DERIVED,+00:00,2021-07-10 08:55:30+0000,79.161,-1,-1,-1,562,69,13.35,75,480,15.166666666666668,61,0.095051060487038486,0.52107881644409526,2021-07-10 08:55:30+0000,2021-07-10 08:55:30+0000
603217460684684080,9018171984519508328,DERIVED,+00:00,2021-07-14 06:01:30+0000,77.458,-1,-1,-1,370,113,21.12,73,480,7.6666666666666661,28,0.087912087912087919,0.48547008547008547,2021-07-14 06:01:30+0000,2021-07-14 06:01:30+0000
