device_id,device_fitbit_device_type,algorithm_version,service_version,start_time,positive,heart_beats
81E8288B4C42,MELROY,1.7,2.13,2026-02-13 03:12:30+0100,false,[]
81E8288B4C42,MELROY,1.7,2.13,2026-02-13 03:15:00+0100,false,[]
81E8288B4C42,MELROY,1.7,2.13,2026-02-13 03:17:30+0100,false,[]
81E8288B4C42,MELROY,1.7,2.13,2026-02-13 03:20:00+0100,false,[]
81E8288B4C42,MELROY,1.7,2.13,2026-02-13 03:22:30+0100,false,[]
81E8288B4C42,MELROY,1.7,2.13,2026-02-13 03:25:00+0100,false,[]
81E8288B4C42,MELROY,1.7,2.13,2026-02-13 03:27:30+0100,false,[]
81E8288B4C42,MELROY,1.7,2.13,2026-02-13 03:30:00+0100,false,[]
81E8288B4C42,MELROY,1.7,2.13,2026-02-13 03:32:30+0100,false,[]
81E8288B4C42,MELROY,1.7,2.13,2026-02-13 03:35:00+0100,false,[]
81E8288B4C42,MELROY,1.7,2.13,2026-02-13 03:37:30+0100,false,[]
81E8288B4C42,MELROY,1.7,2.13,2026-02-13 03:40:00+0100,false,[]
81E8288B4C42,MELROY,1.7,2.13,2026-02-13 03:42:30+0100,false,[]
81E8288B4C42,MELROY,1.7,2.13,2026-02-13 03:45:00+0100,false,[]
81E8288B4C42,MELROY,1.7,2.13,2026-02-13 03:47:30+0100,false,[]
81E8288B4C42,MELROY,1.7,2.13,2026-02-13 03:50:00+0100,false,[]
81E8288B4C42,MELROY,1.7,2.13,2026-02-13 03:55:00+0100,false,[]
81E8288B4C42,MELROY,1.7,2.13,2026-02-13 03:57:30+0100,false,[]
81E8288B4C42,MELROY,1.7,2.13,2026-02-13 04:00:00+0100,false,[]
81E8288B4C42,MELROY,1.7,2.13,2026-02-13 04:02:30+0100,false,[]
81E8288B4C42,MELROY,1.7,2.13,2026-02-13 04:05:00+0100,false,[]
81E8288B4C42,MELROY,1.7,2.13,2026-02-13 04:07:30+0100,false,[]
81E8288B4C42,MELROY,1.7,2.13,2026-02-13 04:10:00+0100,false,[]
81E8288B4C42,MELROY,1.7,2.13,2026-02-13 04:12:30+0100,false,[]
81E8288B4C42,MELROY,1.7,2.13,2026-02-13 04:15:00+0100,false,[]
81E8288B4C42,MELROY,1.7,2.13,2026-02-13 04:17:30+0100,false,[]
81E8288B4C42,MELROY,1.7,2.13,2026-02-13 04:20:00+0100,false,[]
81E8288B4C42,MELROY,1.7,2.13,2026-02-13 04:22:30+0100,false,[]
81E8288B4C42,MELROY,1.7,2.13,2026-02-13 04:25:00+0100,false,[]
81E8288B4C42,MELROY,1.7,2.13,2026-02-13 04:27:30+0100,false,[]
81E8288B4C42,MELROY,1.7,2.13,2026-02-13 04:30:00+0100,false,[]
81E8288B4C42,MELROY,1.7,2.13,2026-02-13 04:32:30+0100,false,[]
81E8288B4C42,MELROY,1.7,2.13,2026-02-13 04:35:00+0100,false,[]
81E8288B4C42,MELROY,1.7,2.13,2026-02-13 04:37:30+0100,false,[]
81E8288B4C42,MELROY,1.7,2.13,2026-02-13 04:40:00+0100,false,[]
81E8288B4C42,MELROY,1.7,2.13,2026-02-13 04:42:30+0100,false,[]
81E8288B4C42,MELROY,1.7,2.13,2026-02-13 04:45:00+0100,false,[]
81E8288B4C42,MELROY,1.7,2.13,2026-02-13 04:47:30+0100,false,[]
81E8288B4C42,MELROY,1.7,2.13,2026-02-13 04:50:00+0100,false,[]
81E8288B4C42,MELROY,1.7,2.13,2026-02-13 04:52:30+0100,false,[]
