name,objectives,schedule,status,update_time,meta,title,subtitle,rationale,domain,progress_start_time,progress_end_time,progress
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(1, 12)",2025-11-27 00:00:00 - 2025-11-28 00:00:00,ENABLED,2025-11-27 13:37:17+0000,,,,,GOALS,,,
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(1, 12)",2025-11-27 00:00:00 - 2025-11-28 00:00:00,ENABLED,2025-11-27 13:41:05+0000,,,,,GOALS,,,
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(1, 12)",2025-11-27 00:00:00 - 2025-11-28 00:00:00,ENABLED,2025-11-27 13:41:06+0000,,,,,GOALS,,,
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(1, 12)",2025-11-27 00:00:00 - 2025-11-28 00:00:00,ENABLED,2025-11-27 13:41:07+0000,,,,,GOALS,,,
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(1, 12)",2025-11-27 00:00:00 - 2025-11-28 00:00:00,ENABLED,2025-11-27 13:41:07+0000,,,,,GOALS,,,
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(1, 12)",2025-11-27 00:00:00 - 2025-11-28 00:00:00,ENABLED,2025-11-27 13:56:09+0000,,,,,GOALS,,,
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(1, 12)",2025-11-27 00:00:00 - 2025-11-28 00:00:00,ENABLED,2025-11-27 14:11:16+0000,,,,,GOALS,,,
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(1, 14)",2025-01-27 00:00:00 - 2025-01-28 00:00:00,ENABLED,2025-01-27 05:30:33+0000,,,,,GOALS,,,
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(1, 14)",2025-01-28 00:00:00 - 2025-01-29 00:00:00,ENABLED,2025-01-28 13:04:16+0000,,,,,GOALS,,,
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(1, 15)",2025-01-29 00:00:00 - 2025-01-30 00:00:00,ENABLED,2025-01-29 13:19:28+0000,,,,,GOALS,,,
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(1, 15)",2025-01-30 00:00:00 - 2025-01-31 00:00:00,ENABLED,2025-01-30 11:19:10+0000,,,,,GOALS,,,
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(1, 15)",2025-01-31 00:00:00 - 2025-02-01 00:00:00,ENABLED,2025-01-31 14:11:57+0000,,,,,GOALS,,,
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(1, 15)",2025-02-01 00:00:00 - 2025-02-02 00:00:00,ENABLED,2025-02-01 13:56:48+0000,,,,,GOALS,,,
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(1, 15)",2025-02-04 00:00:00 - 2025-02-05 00:00:00,ENABLED,2025-02-05 15:13:52+0000,,,,,GOALS,,,
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(1, 15)",2025-11-23 00:00:00 - 2025-11-24 00:00:00,ENABLED,2025-11-23 05:26:41+0000,,,,,GOALS,,,
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(1, 15)",2025-11-23 00:00:00 - 2025-11-24 00:00:00,ENABLED,2025-11-23 13:06:35+0000,,,,,GOALS,,,
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(1, 15)",2025-11-24 00:00:00 - 2025-11-25 00:00:00,ENABLED,2025-11-24 05:20:36+0000,,,,,GOALS,,,
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(1, 15)",2025-11-24 00:00:00 - 2025-11-25 00:00:00,ENABLED,2025-11-24 13:13:38+0000,,,,,GOALS,,,
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(1, 15)",2025-11-26 00:00:00 - 2025-11-27 00:00:00,ENABLED,2025-11-26 16:04:52+0000,,,,,GOALS,,,
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(1, 16)",2025-11-26 00:00:00 - 2025-11-27 00:00:00,ENABLED,2025-11-26 04:28:44+0000,,,,,GOALS,,,
