sleep_id,sleep_score_id,data_source,score_utc_offset,score_time,overall_score,duration_score,composition_score,revitalization_score,sleep_time_minutes,deep_sleep_minutes,rem_sleep_percent,resting_heart_rate,sleep_goal_minutes,waso_count_long_wakes,waso_count_all_wake_time,restlessness_normalized,hr_below_resting_hr,sleep_score_created,sleep_score_last_updated
1045274363288449264,3451632136900218840,DERIVED,+00:00,2023-03-05 07:46:30+0000,88.42,-1,-1,-1,520,91,24.89,75,480,11.166666666666666,48,0.0745880312228968,0.8019080659150043,2023-03-05 07:46:30+0000,2023-03-05 07:46:30+0000
1188174673630416720,10269580396196992,DERIVED,+00:00,2022-10-03 12:15:00+0000,77.22,-1,-1,-1,564,94,15.11,80,480,12.999999999999998,64,0.071597167584579069,0.041804353527406239,2022-10-03 12:15:00+0000,2022-10-03 12:15:00+0000
1285022861162272704,8663574333061737848,DERIVED,+00:00,2022-09-07 08:51:30+0000,82.496,-1,-1,-1,447,72,20.71,72,480,11.666666666666668,48,0.057482656095143705,0.61496531219028738,2022-09-07 08:51:30+0000,2022-09-07 08:51:30+0000
1347379980397550968,7059610155534790976,DERIVED,+00:00,2023-05-17 07:03:00+0000,77.13,-1,-1,-1,366,54,16.56,79,480,4.3333333333333339,25,0.07347447073474471,0.67733333333333334,2023-05-17 07:03:00+0000,2023-05-17 07:03:00+0000
135651414095388968,4671426010258057240,DERIVED,+00:00,2023-08-22 08:03:30+0000,71.834,75.153,82.938,54.09,395,46,20.09,78,480,13,45,0.08866442199775533,0.12528608342561831,2023-08-22 08:03:30+0000,2023-08-22 08:03:30+0000
1357469458614318352,1698541508252679904,DERIVED,+00:00,2023-01-08 14:10:00+0000,89.062,-1,-1,-1,492,92,22.51,73,480,15.166666666666666,56,0.086995515695067263,0.96020926756352765,2023-01-08 14:10:00+0000,2023-01-08 14:10:00+0000
1373117050662647880,9166490409552411624,DERIVED,+00:00,2023-01-04 09:24:30+0000,79.674,-1,-1,-1,378,73,19.6,72,480,7.1666666666666661,35,0.086698337292161518,0.78975265017667839,2023-01-04 09:24:30+0000,2023-01-04 09:24:30+0000
1465930989969756352,7258760929563143272,DERIVED,+00:00,2023-06-24 07:12:00+0000,84.336,85.79,79.522,86.242,452,68,31.1,80,480,5.1666666666666661,29,0.082389289392379,0.87196892941573789,2023-06-24 07:12:00+0000,2023-06-24 07:12:00+0000
1496386069878138736,9080228894287513296,DERIVED,+00:00,2022-10-11 10:58:00+0000,87.616,-1,-1,-1,600,62,18.43,71,480,16.333333333333332,73,0.074889867841409691,0.96000968288549993,2022-10-11 10:58:00+0000,2022-10-11 10:58:00+0000
1525416798194600328,2662294282352048888,DERIVED,+00:00,2023-03-15 07:49:30+0000,91.36,-1,-1,-1,506,79,22.84,77,480,6.5,35,0.0545950864422202,0.9756282167726309,2023-03-15 07:49:30+0000,2023-03-15 07:49:30+0000
