subscription_id,campaign_redemption_id,create_time,campaign,campaign_redemption_type
-5537109221398544384,96051136779255809,2023-06-03 10:20:39+0000,morgan,CAMPAIGN_REDEMPTION_TYPE_PURCHASE
-9088046344731361280,-4515634881648132095,2021-02-20 18:56:46+0000,default,CAMPAIGN_REDEMPTION_TYPE_PURCHASE
