lab_id,enrollment_state,enrollment_type,external_eligibility_state,mobile_app_build_variant,last_modified
19,ELIGIBLE,STANDARD,INELIGIBLE,FITBIT,2025-03-04 22:37:29+0000
4,ELIGIBLE,STANDARD,INELIGIBLE,FITBIT,2024-11-20 20:20:15+0000
