timestamp,steps,data source
2020-12-01T00:25:00Z,11,Charge 4
2020-12-01T00:27:00Z,13,Charge 4
2020-12-01T04:37:00Z,8,Charge 4
2020-12-01T04:38:00Z,9,Charge 4
2020-12-01T07:30:00Z,11,Charge 4
2020-12-01T07:42:00Z,33,Charge 4
2020-12-01T07:44:00Z,17,Charge 4
2020-12-01T08:17:00Z,23,Charge 4
2020-12-01T08:35:00Z,15,Charge 4
2020-12-01T08:37:00Z,11,Charge 4
2020-12-01T08:43:00Z,7,Charge 4
2020-12-01T08:45:00Z,8,Charge 4
2020-12-01T08:50:00Z,11,Charge 4
2020-12-01T08:52:00Z,10,Charge 4
2020-12-01T10:08:00Z,12,Charge 4
2020-12-01T10:09:00Z,14,Charge 4
2020-12-01T10:10:00Z,36,Charge 4
2020-12-01T10:11:00Z,10,Charge 4
2020-12-01T10:34:00Z,23,Charge 4
2020-12-01T10:43:00Z,21,Charge 4
2020-12-01T10:44:00Z,7,Charge 4
2020-12-01T10:45:00Z,14,Charge 4
2020-12-01T10:46:00Z,59,Charge 4
2020-12-01T10:47:00Z,58,Charge 4
2020-12-01T10:48:00Z,35,Charge 4
2020-12-01T10:49:00Z,8,Charge 4
2020-12-01T10:50:00Z,12,Charge 4
2020-12-01T10:51:00Z,43,Charge 4
2020-12-01T10:52:00Z,107,Charge 4
2020-12-01T10:53:00Z,109,Charge 4
2020-12-01T10:54:00Z,109,Charge 4
2020-12-01T10:55:00Z,106,Charge 4
2020-12-01T10:56:00Z,108,Charge 4
2020-12-01T10:57:00Z,113,Charge 4
2020-12-01T10:58:00Z,111,Charge 4
2020-12-01T10:59:00Z,112,Charge 4
2020-12-01T11:00:00Z,109,Charge 4
2020-12-01T11:01:00Z,107,Charge 4
2020-12-01T11:02:00Z,110,Charge 4
2020-12-01T11:03:00Z,108,Charge 4
2020-12-01T11:04:00Z,108,Charge 4
2020-12-01T11:05:00Z,112,Charge 4
2020-12-01T11:06:00Z,109,Charge 4
2020-12-01T11:07:00Z,107,Charge 4
2020-12-01T11:08:00Z,107,Charge 4
2020-12-01T11:09:00Z,26,Charge 4
2020-12-01T11:11:00Z,33,Charge 4
2020-12-01T11:15:00Z,6,Charge 4
2020-12-01T11:16:00Z,82,Charge 4
2020-12-01T11:17:00Z,97,Charge 4
2020-12-01T11:18:00Z,106,Charge 4
2020-12-01T11:19:00Z,106,Charge 4
2020-12-01T11:20:00Z,111,Charge 4
2020-12-01T11:21:00Z,91,Charge 4
2020-12-01T11:22:00Z,100,Charge 4
2020-12-01T11:23:00Z,107,Charge 4
2020-12-01T11:24:00Z,109,Charge 4
2020-12-01T11:25:00Z,100,Charge 4
2020-12-01T11:26:00Z,100,Charge 4
2020-12-01T11:27:00Z,97,Charge 4
2020-12-01T11:28:00Z,104,Charge 4
2020-12-01T11:29:00Z,105,Charge 4
2020-12-01T11:30:00Z,104,Charge 4
2020-12-01T11:31:00Z,100,Charge 4
2020-12-01T11:32:00Z,105,Charge 4
2020-12-01T11:33:00Z,104,Charge 4
2020-12-01T11:34:00Z,109,Charge 4
2020-12-01T11:35:00Z,104,Charge 4
2020-12-01T11:36:00Z,102,Charge 4
2020-12-01T11:37:00Z,106,Charge 4
2020-12-01T11:38:00Z,101,Charge 4
2020-12-01T11:39:00Z,104,Charge 4
2020-12-01T11:40:00Z,105,Charge 4
2020-12-01T11:41:00Z,104,Charge 4
2020-12-01T11:42:00Z,103,Charge 4
2020-12-01T11:43:00Z,105,Charge 4
2020-12-01T11:44:00Z,108,Charge 4
2020-12-01T11:45:00Z,70,Charge 4
2020-12-01T11:46:00Z,17,Charge 4
2020-12-01T11:52:00Z,9,Charge 4
2020-12-01T11:53:00Z,24,Charge 4
2020-12-01T11:54:00Z,12,Charge 4
2020-12-01T11:55:00Z,4,Charge 4
2020-12-01T12:07:00Z,10,Charge 4
2020-12-01T13:07:00Z,10,Charge 4
2020-12-01T13:08:00Z,8,Charge 4
2020-12-01T13:15:00Z,38,Charge 4
2020-12-01T14:14:00Z,8,Charge 4
2020-12-01T14:15:00Z,6,Charge 4
2020-12-01T14:16:00Z,8,Charge 4
2020-12-01T14:17:00Z,21,Charge 4
2020-12-01T14:18:00Z,10,Charge 4
2020-12-01T14:20:00Z,12,Charge 4
2020-12-01T14:23:00Z,10,Charge 4
2020-12-01T14:54:00Z,22,Charge 4
2020-12-01T15:02:00Z,5,Charge 4
2020-12-01T15:06:00Z,16,Charge 4
2020-12-01T15:07:00Z,9,Charge 4
2020-12-01T15:09:00Z,12,Charge 4
2020-12-01T15:10:00Z,38,Charge 4
2020-12-01T15:23:00Z,22,Charge 4
2020-12-01T15:24:00Z,14,Charge 4
2020-12-01T15:25:00Z,19,Charge 4
2020-12-01T15:26:00Z,19,Charge 4
2020-12-01T15:38:00Z,14,Charge 4
2020-12-01T15:41:00Z,12,Charge 4
2020-12-01T15:48:00Z,9,Charge 4
2020-12-01T16:49:00Z,11,Charge 4
2020-12-01T16:50:00Z,10,Charge 4
2020-12-01T17:25:00Z,14,Charge 4
2020-12-01T17:44:00Z,48,Charge 4
2020-12-01T17:45:00Z,92,Charge 4
2020-12-01T17:47:00Z,140,Charge 4
2020-12-01T17:48:00Z,38,Charge 4
2020-12-01T17:58:00Z,4,Charge 4
2020-12-01T18:27:00Z,4,Charge 4
2020-12-01T18:48:00Z,9,Charge 4
2020-12-01T19:22:00Z,37,Charge 4
2020-12-01T19:23:00Z,9,Charge 4
2020-12-01T19:24:00Z,18,Charge 4
2020-12-01T19:26:00Z,11,Charge 4
2020-12-01T19:28:00Z,19,Charge 4
2020-12-01T19:55:00Z,6,Charge 4
2020-12-01T20:02:00Z,9,Charge 4
2020-12-01T20:03:00Z,75,Charge 4
2020-12-01T20:04:00Z,27,Charge 4
2020-12-01T20:05:00Z,10,Charge 4
2020-12-01T20:07:00Z,42,Charge 4
2020-12-01T20:08:00Z,60,Charge 4
2020-12-01T20:09:00Z,72,Charge 4
2020-12-01T20:10:00Z,68,Charge 4
2020-12-01T20:11:00Z,65,Charge 4
2020-12-01T20:12:00Z,135,Charge 4
2020-12-01T20:13:00Z,137,Charge 4
2020-12-01T20:14:00Z,18,Charge 4
2020-12-01T20:15:00Z,17,Charge 4
2020-12-01T20:16:00Z,88,Charge 4
2020-12-01T20:24:00Z,9,Charge 4
2020-12-01T20:35:00Z,43,Charge 4
2020-12-01T20:36:00Z,91,Charge 4
2020-12-01T20:37:00Z,144,Charge 4
2020-12-01T20:38:00Z,124,Charge 4
2020-12-01T20:39:00Z,98,Charge 4
2020-12-01T20:40:00Z,11,Charge 4
2020-12-01T20:42:00Z,65,Charge 4
2020-12-01T20:43:00Z,84,Charge 4
2020-12-01T20:44:00Z,30,Charge 4
2020-12-01T20:45:00Z,14,Charge 4
2020-12-01T20:46:00Z,31,Charge 4
2020-12-01T20:47:00Z,64,Charge 4
2020-12-01T20:48:00Z,107,Charge 4
2020-12-01T20:49:00Z,58,Charge 4
2020-12-01T20:50:00Z,32,Charge 4
2020-12-01T20:51:00Z,23,Charge 4
2020-12-01T20:52:00Z,17,Charge 4
2020-12-01T21:05:00Z,15,Charge 4
2020-12-01T21:06:00Z,83,Charge 4
2020-12-01T21:07:00Z,86,Charge 4
2020-12-01T21:08:00Z,86,Charge 4
2020-12-01T21:09:00Z,33,Charge 4
2020-12-01T21:10:00Z,79,Charge 4
2020-12-01T21:11:00Z,5,Charge 4
2020-12-01T21:21:00Z,16,Charge 4
2020-12-01T21:22:00Z,109,Charge 4
2020-12-01T21:23:00Z,122,Charge 4
