timestamp,lap time,stroke count,stroke type,data source
2025-08-03T09:56:49Z,00:00:11.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2025-08-03T10:16:45Z,00:00:09.000,8,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2025-08-03T10:18:47Z,00:00:08.000,9,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2025-08-03T10:19:03Z,00:00:27.000,24,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2025-08-03T10:37:38Z,00:00:07.000,8,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2025-08-03T11:32:16Z,00:00:24.000,15,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2025-08-03T11:49:57Z,00:00:23.000,19,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2025-08-03T12:02:12Z,00:00:13.000,14,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2025-08-03T12:03:07Z,00:00:15.000,15,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2025-08-03T12:05:37Z,00:00:20.000,8,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2025-08-03T15:53:43Z,00:00:10.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2025-08-03T15:54:01Z,00:00:22.000,8,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2025-08-03T15:54:31Z,00:00:20.000,9,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2025-08-03T15:55:00Z,00:00:12.000,6,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2025-08-03T20:17:00Z,00:00:15.000,7,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2025-08-03T20:17:24Z,00:00:17.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2025-08-03T20:24:29Z,00:00:24.000,7,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2025-08-03T20:26:43Z,00:00:25.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2025-08-03T20:49:54Z,00:00:36.000,7,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2025-08-04T09:25:22Z,00:00:10.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2025-08-04T09:25:38Z,00:00:11.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2025-08-04T09:28:02Z,00:00:09.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2025-08-04T09:29:07Z,00:00:27.000,17,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2025-08-04T09:29:45Z,00:00:20.000,11,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2025-08-04T09:30:08Z,00:00:17.000,8,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2025-08-04T09:30:29Z,00:00:14.000,7,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2025-08-04T09:30:59Z,00:00:37.000,22,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2025-08-04T09:31:42Z,00:00:26.000,16,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2025-08-04T09:32:11Z,00:00:54.000,23,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2025-08-04T09:33:15Z,00:00:31.000,14,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2025-08-04T09:33:51Z,00:00:33.000,20,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2025-08-04T09:34:31Z,00:00:53.000,27,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2025-08-04T09:35:32Z,00:00:55.000,27,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2025-08-04T09:36:30Z,00:00:40.000,20,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2025-08-04T09:37:16Z,00:00:13.000,7,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2025-08-04T09:37:32Z,00:00:55.000,27,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
