timestamp,average percentage,lower bound percentage,upper bound percentage,baseline percentage,standard deviation percentage,data source
2022-11-01T00:00:00Z,95.9,95.9,96.7,94.7,1.7,Charge 4
2022-11-03T00:00:00Z,95.2,95.6,95.5,94.8,1.7,Charge 4
2022-11-04T00:00:00Z,95.0,96.1,96.1,94.8,1.7,Charge 4
2022-11-08T00:00:00Z,94.2,91.2,96.3,94.7,1.7,Charge 4
2022-11-11T00:00:00Z,94.7,93.3,97.5,94.8,1.6,Charge 4
2022-11-12T00:00:00Z,93.8,91.1,94.4,94.7,1.6,Charge 4
2022-11-13T00:00:00Z,92.9,91.3,94.0,94.7,1.6,Charge 4
2022-11-14T00:00:00Z,93.3,88.5,95.8,94.6,1.6,Charge 4
2022-11-15T00:00:00Z,96.2,96.2,96.4,94.6,1.6,Charge 4
2022-11-16T00:00:00Z,97.2,96.2,98.7,94.7,1.7,Charge 4
2022-11-18T00:00:00Z,94.1,94.7,94.7,94.7,1.6,Charge 4
2022-11-23T00:00:00Z,92.7,90.6,93.9,94.6,1.6,Charge 4
2022-11-25T00:00:00Z,96.8,96.8,97.9,94.6,1.6,Charge 4
2022-11-26T00:00:00Z,94.5,92.4,94.7,94.7,1.6,Charge 4
2022-11-28T00:00:00Z,94.4,92.0,97.2,94.7,1.6,Charge 4
2022-11-29T00:00:00Z,96.0,94.3,97.7,94.8,1.5,Charge 4
2022-11-30T00:00:00Z,96.0,93.1,98.9,94.8,1.5,Charge 4
