timestamp,gain,data source
2021-05-01T13:15:00Z,3048,Charge 4
2021-05-01T13:16:00Z,3048,Charge 4
2021-05-01T13:17:00Z,6096,Charge 4
2021-05-01T13:26:00Z,3048,Charge 4
2021-05-01T13:40:00Z,3048,Charge 4
2021-05-02T07:59:00Z,3048,Charge 4
2021-05-02T08:00:00Z,3048,Charge 4
2021-05-02T09:03:00Z,3048,Charge 4
2021-05-02T09:05:00Z,3048,Charge 4
2021-05-02T10:33:00Z,6096,Charge 4
2021-05-02T11:24:00Z,3048,Charge 4
2021-05-02T11:49:00Z,3048,Charge 4
2021-05-02T11:50:00Z,3048,Charge 4
2021-05-02T11:51:00Z,6096,Charge 4
2021-05-02T11:52:00Z,3048,Charge 4
2021-05-04T10:51:00Z,3048,Charge 4
2021-05-04T16:07:00Z,3048,Charge 4
2021-05-04T16:17:00Z,3048,Charge 4
2021-05-04T16:54:00Z,3048,Charge 4
2021-05-04T16:56:00Z,3048,Charge 4
2021-05-05T05:12:00Z,3048,Charge 4
2021-05-05T05:13:00Z,3048,Charge 4
2021-05-05T05:34:00Z,3048,Charge 4
2021-05-05T05:35:00Z,6096,Charge 4
2021-05-05T05:36:00Z,3048,Charge 4
2021-05-05T05:37:00Z,6096,Charge 4
2021-05-05T06:54:00Z,3048,Charge 4
2021-05-05T07:03:00Z,3048,Charge 4
2021-05-05T07:41:00Z,3048,Charge 4
2021-05-05T07:47:00Z,3048,Charge 4
2021-05-05T07:52:00Z,3048,Charge 4
2021-05-05T07:53:00Z,3048,Charge 4
2021-05-05T07:57:00Z,6096,Charge 4
2021-05-05T09:36:00Z,3048,Charge 4
2021-05-05T09:37:00Z,6096,Charge 4
2021-05-05T09:38:00Z,3048,Charge 4
2021-05-05T10:00:00Z,3048,Charge 4
2021-05-05T10:01:00Z,3048,Charge 4
2021-05-05T10:02:00Z,6096,Charge 4
2021-05-05T10:03:00Z,6096,Charge 4
2021-05-05T10:05:00Z,3048,Charge 4
2021-05-05T12:54:00Z,3048,Charge 4
2021-05-06T13:01:00Z,3048,Charge 4
2021-05-06T14:32:00Z,3048,Charge 4
2021-05-07T07:09:00Z,3048,Charge 4
2021-05-07T07:11:00Z,3048,Charge 4
2021-05-07T07:12:00Z,3048,Charge 4
2021-05-07T07:30:00Z,6096,Charge 4
2021-05-07T07:31:00Z,6096,Charge 4
2021-05-07T07:33:00Z,6096,Charge 4
