timestamp,steps,distance millimeters,altitude gain millimeters,data source
2025-01-07T08:29:03Z,2,2340,0,Charge 6
2025-01-07T08:29:04Z,2,2320,0,Charge 6
2025-01-07T08:29:05Z,1,1770,0,Charge 6
2025-01-07T08:29:06Z,2,1670,0,Charge 6
2025-01-07T08:29:07Z,1,1560,0,Charge 6
2025-01-07T08:29:08Z,2,1480,0,Charge 6
2025-01-07T08:29:09Z,2,1410,0,Charge 6
2025-01-07T08:29:10Z,2,1420,0,Charge 6
2025-01-07T08:29:11Z,1,1370,0,Charge 6
2025-01-07T08:29:12Z,0,1290,0,Charge 6
2025-01-07T08:29:13Z,1,1190,0,Charge 6
2025-01-07T08:29:14Z,2,1130,0,Charge 6
2025-01-07T08:29:15Z,1,1030,0,Charge 6
2025-01-07T08:29:16Z,2,1010,0,Charge 6
2025-01-07T08:29:17Z,2,1020,0,Charge 6
2025-01-07T08:29:18Z,0,1010,0,Charge 6
2025-01-07T08:29:19Z,0,960,0,Charge 6
2025-01-07T08:29:20Z,0,820,0,Charge 6
2025-01-07T08:29:21Z,0,0,0,Charge 6
2025-01-07T08:29:22Z,0,0,0,Charge 6
2025-01-07T08:29:23Z,0,0,0,Charge 6
2025-01-07T08:29:24Z,0,0,0,Charge 6
2025-01-07T08:29:25Z,0,0,0,Charge 6
2025-01-07T08:29:26Z,0,0,0,Charge 6
2025-01-07T08:29:27Z,2,0,0,Charge 6
2025-01-07T08:29:28Z,0,0,0,Charge 6
2025-01-07T08:29:29Z,4,0,0,Charge 6
2025-01-07T08:29:30Z,1,0,0,Charge 6
2025-01-07T08:29:31Z,2,0,0,Charge 6
2025-01-07T08:29:32Z,0,0,0,Charge 6
2025-01-07T08:29:33Z,2,0,0,Charge 6
2025-01-07T08:29:34Z,1,150,0,Charge 6
2025-01-07T08:29:35Z,1,280,0,Charge 6
2025-01-07T08:29:36Z,0,400,0,Charge 6
2025-01-07T08:29:37Z,0,490,0,Charge 6
2025-01-07T08:29:38Z,0,540,0,Charge 6
2025-01-07T08:29:39Z,0,0,0,Charge 6
2025-01-07T08:29:40Z,0,0,0,Charge 6
2025-01-07T08:29:41Z,0,0,0,Charge 6
2025-01-07T08:29:42Z,0,0,0,Charge 6
2025-01-07T08:29:43Z,0,0,0,Charge 6
2025-01-07T08:29:44Z,0,0,0,Charge 6
2025-01-07T08:29:45Z,0,0,0,Charge 6
2025-01-07T08:29:46Z,0,0,0,Charge 6
2025-01-07T08:29:47Z,0,0,0,Charge 6
2025-01-07T08:29:48Z,0,0,0,Charge 6
2025-01-07T08:29:49Z,0,0,0,Charge 6
2025-01-07T08:29:50Z,0,0,0,Charge 6
2025-01-07T08:29:51Z,0,0,0,Charge 6
2025-01-07T08:29:52Z,2,0,0,Charge 6
2025-01-07T08:29:53Z,2,0,0,Charge 6
2025-01-07T08:29:54Z,0,0,0,Charge 6
2025-01-07T08:29:55Z,0,0,0,Charge 6
2025-01-07T08:29:56Z,0,0,0,Charge 6
2025-01-07T08:29:57Z,0,0,0,Charge 6
2025-01-07T08:29:58Z,0,0,0,Charge 6
2025-01-07T08:29:59Z,0,0,0,Charge 6
2025-01-07T08:30:00Z,0,0,0,Charge 6
2025-01-07T08:30:01Z,0,0,0,Charge 6
2025-01-07T08:30:02Z,0,0,0,Charge 6
2025-01-07T08:30:03Z,0,0,0,Charge 6
2025-01-07T08:30:04Z,0,0,0,Charge 6
2025-01-07T08:30:05Z,0,0,0,Charge 6
2025-01-07T08:30:06Z,0,0,0,Charge 6
2025-01-07T08:30:07Z,0,0,0,Charge 6
2025-01-07T08:30:08Z,0,0,0,Charge 6
2025-01-07T08:30:09Z,0,0,0,Charge 6
2025-01-07T08:30:10Z,0,0,0,Charge 6
2025-01-07T08:30:11Z,0,0,0,Charge 6
2025-01-07T08:30:12Z,0,0,0,Charge 6
2025-01-07T08:30:13Z,0,0,0,Charge 6
2025-01-07T08:30:14Z,0,0,0,Charge 6
2025-01-07T08:30:15Z,0,0,0,Charge 6
2025-01-07T08:30:16Z,0,0,0,Charge 6
2025-01-07T08:30:17Z,0,0,0,Charge 6
2025-01-07T08:30:18Z,0,0,0,Charge 6
2025-01-07T08:30:19Z,0,0,0,Charge 6
2025-01-07T08:30:20Z,0,0,0,Charge 6
2025-01-07T08:30:21Z,0,0,0,Charge 6
