timestamp,average percentage,lower bound percentage,upper bound percentage,baseline percentage,standard deviation percentage,data source
2023-10-01T00:00:00Z,94.3,93.6,94.3,95.2,1.7,Charge 5
2023-10-02T00:00:00Z,95.7,94.0,98.2,95.2,1.7,Charge 5
2023-10-03T00:00:00Z,95.0,93.0,95.1,95.1,1.7,Charge 5
2023-10-04T00:00:00Z,96.7,94.0,99.1,95.3,1.5,Charge 5
2023-10-05T00:00:00Z,95.9,93.9,98.2,95.3,1.5,Charge 5
2023-10-07T00:00:00Z,95.2,92.9,97.4,95.3,1.5,Charge 5
2023-10-08T00:00:00Z,96.7,90.9,99.4,95.3,1.5,Charge 5
2023-10-09T00:00:00Z,95.9,91.2,99.5,95.3,1.5,Charge 5
2023-10-10T00:00:00Z,96.6,95.5,97.7,95.3,1.5,Charge 5
2023-10-11T00:00:00Z,97.4,94.4,100.0,95.3,1.5,Charge 5
2023-10-12T00:00:00Z,93.7,93.7,93.9,95.3,1.5,Charge 5
2023-10-14T00:00:00Z,95.8,91.9,99.3,95.3,1.5,Charge 5
2023-10-15T00:00:00Z,97.7,97.2,97.7,95.5,1.5,Charge 5
2023-10-16T00:00:00Z,95.5,94.1,97.2,95.5,1.5,Charge 5
2023-10-17T00:00:00Z,93.8,89.7,97.2,95.5,1.5,Charge 5
2023-10-18T00:00:00Z,93.9,93.9,95.1,95.4,1.5,Charge 5
2023-10-19T00:00:00Z,93.0,90.7,96.1,95.4,1.5,Charge 5
2023-10-20T00:00:00Z,96.7,94.5,99.5,95.4,1.5,Charge 5
2023-10-21T00:00:00Z,94.2,91.9,96.9,95.4,1.6,Charge 5
2023-10-22T00:00:00Z,96.9,94.7,98.7,95.4,1.6,Charge 5
2023-10-23T00:00:00Z,96.5,95.4,97.4,95.4,1.6,Charge 5
2023-10-24T00:00:00Z,96.2,94.6,97.7,95.5,1.6,Charge 5
2023-10-26T00:00:00Z,95.1,93.5,97.1,95.5,1.6,Charge 5
2023-10-27T00:00:00Z,97.0,95.8,98.6,95.5,1.6,Charge 5
2023-10-29T00:00:00Z,93.2,92.3,93.9,95.3,1.6,Charge 5
2023-10-30T00:00:00Z,95.8,94.0,97.3,95.4,1.6,Charge 5
