timestamp,average percentage,lower bound percentage,upper bound percentage,baseline percentage,standard deviation percentage,data source
2025-01-01T00:00:00Z,96.1,92.1,99.6,95.5,1.8,Charge 6
2025-01-02T00:00:00Z,94.4,91.9,97.1,95.3,1.7,Charge 6
2025-01-03T00:00:00Z,96.1,92.1,99.2,95.3,1.7,Charge 6
2025-01-04T00:00:00Z,96.9,91.8,99.8,95.4,1.7,Charge 6
2025-01-05T00:00:00Z,95.6,92.6,98.3,95.4,1.7,Charge 6
2025-01-06T00:00:00Z,97.2,93.1,99.4,95.6,1.6,Charge 6
2025-01-07T00:00:00Z,97.8,94.4,100.0,95.6,1.6,Charge 6
2025-01-08T00:00:00Z,96.4,94.7,98.7,95.5,1.5,Charge 6
2025-01-09T00:00:00Z,95.3,92.6,98.3,95.5,1.5,Charge 6
2025-01-10T00:00:00Z,93.4,89.6,98.6,95.5,1.6,Charge 6
2025-01-11T00:00:00Z,95.3,91.1,98.6,95.5,1.5,Charge 6
2025-01-12T00:00:00Z,93.9,93.0,93.9,95.4,1.5,Charge 6
2025-01-13T00:00:00Z,93.9,91.2,96.1,95.4,1.5,Charge 6
2025-01-14T00:00:00Z,96.3,95.8,96.9,95.5,1.5,Charge 6
2025-01-18T00:00:00Z,95.8,94.2,97.4,95.4,1.5,Charge 6
2025-01-20T00:00:00Z,96.5,94.2,99.4,95.5,1.5,Charge 6
2025-01-21T00:00:00Z,96.7,94.5,99.1,95.5,1.5,Charge 6
2025-01-22T00:00:00Z,96.1,91.0,99.2,95.5,1.5,Charge 6
2025-01-23T00:00:00Z,93.5,88.1,97.4,95.5,1.5,Charge 6
2025-01-24T00:00:00Z,95.6,93.3,98.6,95.6,1.5,Charge 6
2025-01-25T00:00:00Z,97.1,94.8,99.2,95.5,1.5,Charge 6
2025-01-26T00:00:00Z,97.2,94.3,99.4,95.6,1.5,Charge 6
2025-01-27T00:00:00Z,94.5,91.0,98.0,95.6,1.5,Charge 6
2025-01-28T00:00:00Z,97.3,93.3,100.0,95.8,1.3,Charge 6
2025-01-29T00:00:00Z,95.7,89.7,99.2,95.8,1.2,Charge 6
2025-01-30T00:00:00Z,97.1,94.5,99.3,95.9,1.2,Charge 6
2025-01-31T00:00:00Z,96.1,93.5,98.8,95.9,1.2,Charge 6
