start time,end time,data source
2020-11-30T00:12:00Z,2020-11-30T00:36:00Z,Fitbit App
2020-11-30T06:41:00Z,2020-11-30T07:57:00Z,Fitbit App
2020-11-30T07:59:00Z,2020-11-30T09:12:00Z,Fitbit App
2020-11-30T09:18:00Z,2020-11-30T10:12:00Z,Fitbit App
2020-11-30T11:54:00Z,2020-11-30T12:57:00Z,Fitbit App
2020-11-30T12:58:00Z,2020-11-30T13:12:00Z,Fitbit App
2020-11-30T13:17:00Z,2020-11-30T13:35:00Z,Fitbit App
2020-11-30T13:42:00Z,2020-11-30T14:17:00Z,Fitbit App
2020-11-30T17:10:00Z,2020-11-30T17:30:00Z,Fitbit App
2020-11-30T18:31:00Z,2020-11-30T20:17:00Z,Fitbit App
2020-11-30T20:19:00Z,2020-11-30T21:02:00Z,Fitbit App
2020-11-30T21:05:00Z,2020-11-30T22:43:00Z,Fitbit App
2020-11-30T23:00:00Z,2020-12-01T00:25:00Z,Fitbit App
