timestamp,root mean square of successive differences milliseconds,standard deviation milliseconds,data source
2024-01-02T07:35:00Z,8.799,0.0,Fitbit App
2024-01-02T07:40:00Z,12.478,0.0,Fitbit App
2024-01-02T07:45:00Z,13.298,0.0,Fitbit App
2024-01-02T07:50:00Z,14.721,0.0,Fitbit App
2024-01-02T07:55:00Z,12.53,0.0,Fitbit App
2024-01-02T08:00:00Z,11.865,0.0,Fitbit App
2024-01-02T08:05:00Z,12.96,0.0,Fitbit App
2024-01-02T08:10:00Z,12.28,0.0,Fitbit App
2024-01-02T08:15:00Z,12.469,0.0,Fitbit App
2024-01-02T08:20:00Z,13.704,0.0,Fitbit App
2024-01-02T08:25:00Z,15.528,0.0,Fitbit App
2024-01-02T08:30:00Z,16.752,0.0,Fitbit App
2024-01-02T08:35:00Z,21.227,0.0,Fitbit App
2024-01-02T08:40:00Z,17.247,0.0,Fitbit App
2024-01-02T08:45:00Z,17.009,0.0,Fitbit App
2024-01-02T08:50:00Z,18.913,0.0,Fitbit App
2024-01-02T08:55:00Z,18.751,0.0,Fitbit App
2024-01-02T09:00:00Z,19.327,0.0,Fitbit App
2024-01-02T09:05:00Z,17.94,0.0,Fitbit App
2024-01-02T09:10:00Z,18.38,0.0,Fitbit App
2024-01-02T09:15:00Z,18.812,0.0,Fitbit App
2024-01-02T09:20:00Z,16.483,0.0,Fitbit App
2024-01-02T09:25:00Z,21.477,0.0,Fitbit App
2024-01-02T09:30:00Z,17.092,0.0,Fitbit App
2024-01-02T09:35:00Z,15.093,0.0,Fitbit App
2024-01-02T09:40:00Z,14.799,0.0,Fitbit App
2024-01-02T09:45:00Z,14.836,0.0,Fitbit App
2024-01-02T09:50:00Z,14.689,0.0,Fitbit App
2024-01-02T09:55:00Z,15.504,0.0,Fitbit App
2024-01-02T10:00:00Z,15.355,0.0,Fitbit App
2024-01-02T10:05:00Z,14.081,0.0,Fitbit App
2024-01-02T10:10:00Z,14.383,0.0,Fitbit App
2024-01-02T10:15:00Z,13.529,0.0,Fitbit App
2024-01-02T10:20:00Z,14.411,0.0,Fitbit App
2024-01-02T10:25:00Z,14.274,0.0,Fitbit App
2024-01-02T10:30:00Z,15.247,0.0,Fitbit App
2024-01-02T10:35:00Z,15.078,0.0,Fitbit App
2024-01-02T10:40:00Z,15.878,0.0,Fitbit App
2024-01-02T10:45:00Z,16.717,0.0,Fitbit App
2024-01-02T10:50:00Z,16.541,0.0,Fitbit App
2024-01-02T10:55:00Z,16.698,0.0,Fitbit App
2024-01-02T11:00:00Z,18.151,0.0,Fitbit App
2024-01-02T11:05:00Z,12.829,0.0,Fitbit App
2024-01-02T11:10:00Z,10.786,0.0,Fitbit App
2024-01-02T11:15:00Z,18.22,0.0,Fitbit App
2024-01-02T11:20:00Z,17.546,0.0,Fitbit App
2024-01-02T11:25:00Z,16.186,0.0,Fitbit App
2024-01-02T11:30:00Z,14.937,0.0,Fitbit App
2024-01-02T11:35:00Z,14.416,0.0,Fitbit App
2024-01-02T11:40:00Z,14.829,0.0,Fitbit App
2024-01-02T11:45:00Z,15.057,0.0,Fitbit App
2024-01-02T11:50:00Z,14.997,0.0,Fitbit App
2024-01-02T11:55:00Z,14.135,0.0,Fitbit App
2024-01-02T12:00:00Z,16.289,0.0,Fitbit App
2024-01-02T12:05:00Z,14.899,0.0,Fitbit App
2024-01-03T05:10:00Z,11.932,0.0,Fitbit App
2024-01-03T05:15:00Z,9.22,0.0,Fitbit App
2024-01-03T05:20:00Z,7.98,0.0,Fitbit App
2024-01-03T05:25:00Z,8.97,0.0,Fitbit App
2024-01-03T05:30:00Z,8.268,0.0,Fitbit App
2024-01-03T05:35:00Z,9.333,0.0,Fitbit App
2024-01-03T05:40:00Z,13.634,0.0,Fitbit App
2024-01-03T05:45:00Z,12.22,0.0,Fitbit App
2024-01-03T05:50:00Z,13.62,0.0,Fitbit App
2024-01-03T05:55:00Z,14.739,0.0,Fitbit App
2024-01-03T06:00:00Z,13.592,0.0,Fitbit App
2024-01-03T06:05:00Z,12.853,0.0,Fitbit App
2024-01-03T06:10:00Z,13.801,0.0,Fitbit App
2024-01-03T06:15:00Z,14.015,0.0,Fitbit App
2024-01-03T06:20:00Z,13.634,0.0,Fitbit App
2024-01-03T06:25:00Z,11.425,0.0,Fitbit App
2024-01-03T06:30:00Z,11.685,0.0,Fitbit App
2024-01-03T06:35:00Z,13.965,0.0,Fitbit App
2024-01-03T06:40:00Z,12.526,0.0,Fitbit App
2024-01-03T06:45:00Z,10.256,0.0,Fitbit App
2024-01-03T06:50:00Z,9.967,0.0,Fitbit App
2024-01-03T06:55:00Z,8.499,0.0,Fitbit App
2024-01-03T07:00:00Z,7.916,0.0,Fitbit App
2024-01-03T07:05:00Z,10.985,0.0,Fitbit App
2024-01-03T07:10:00Z,10.222,0.0,Fitbit App
2024-01-03T07:15:00Z,8.97,0.0,Fitbit App
2024-01-03T07:20:00Z,10.079,0.0,Fitbit App
2024-01-03T07:25:00Z,11.686,0.0,Fitbit App
2024-01-03T07:30:00Z,11.518,0.0,Fitbit App
2024-01-03T07:35:00Z,11.497,0.0,Fitbit App
2024-01-03T07:40:00Z,11.78,0.0,Fitbit App
2024-01-03T07:45:00Z,10.772,0.0,Fitbit App
2024-01-03T07:50:00Z,10.28,0.0,Fitbit App
2024-01-03T07:55:00Z,10.175,0.0,Fitbit App
2024-01-03T08:00:00Z,10.857,0.0,Fitbit App
2024-01-03T08:05:00Z,11.508,0.0,Fitbit App
2024-01-03T08:10:00Z,10.559,0.0,Fitbit App
2024-01-03T08:15:00Z,11.602,0.0,Fitbit App
2024-01-03T08:20:00Z,12.276,0.0,Fitbit App
2024-01-03T08:25:00Z,13.633,0.0,Fitbit App
2024-01-03T08:30:00Z,12.273,0.0,Fitbit App
2024-01-03T08:35:00Z,11.361,0.0,Fitbit App
2024-01-03T08:40:00Z,12.459,0.0,Fitbit App
2024-01-03T08:45:00Z,12.927,0.0,Fitbit App
2024-01-03T08:50:00Z,9.453,0.0,Fitbit App
2024-01-03T08:55:00Z,8.38,0.0,Fitbit App
2024-01-03T09:00:00Z,8.308,0.0,Fitbit App
2024-01-03T09:05:00Z,7.895,0.0,Fitbit App
2024-01-03T09:10:00Z,8.927,0.0,Fitbit App
2024-01-03T09:15:00Z,9.041,0.0,Fitbit App
2024-01-03T09:20:00Z,11.451,0.0,Fitbit App
2024-01-03T09:30:00Z,8.64,0.0,Fitbit App
2024-01-03T09:35:00Z,10.125,0.0,Fitbit App
2024-01-03T09:40:00Z,10.306,0.0,Fitbit App
2024-01-03T09:45:00Z,9.18,0.0,Fitbit App
2024-01-03T09:50:00Z,10.993,0.0,Fitbit App
2024-01-03T09:55:00Z,15.139,0.0,Fitbit App
2024-01-03T10:00:00Z,15.812,0.0,Fitbit App
2024-01-03T10:05:00Z,15.417,0.0,Fitbit App
2024-01-03T10:10:00Z,13.667,0.0,Fitbit App
2024-01-03T10:15:00Z,16.84,0.0,Fitbit App
2024-01-03T10:20:00Z,16.498,0.0,Fitbit App
2024-01-03T10:25:00Z,14.93,0.0,Fitbit App
2024-01-03T10:30:00Z,16.763,0.0,Fitbit App
2024-01-03T10:35:00Z,13.239,0.0,Fitbit App
2024-01-03T10:40:00Z,13.583,0.0,Fitbit App
2024-01-03T10:45:00Z,14.957,0.0,Fitbit App
2024-01-03T10:50:00Z,12.221,0.0,Fitbit App
2024-01-03T10:55:00Z,12.845,0.0,Fitbit App
2024-01-03T11:00:00Z,14.722,0.0,Fitbit App
2024-01-03T11:05:00Z,13.693,0.0,Fitbit App
2024-01-03T11:10:00Z,13.874,0.0,Fitbit App
2024-01-03T11:15:00Z,12.002,0.0,Fitbit App
2024-01-03T11:20:00Z,9.991,0.0,Fitbit App
2024-01-03T11:25:00Z,11.259,0.0,Fitbit App
2024-01-03T11:30:00Z,13.35,0.0,Fitbit App
2024-01-03T11:35:00Z,11.022,0.0,Fitbit App
2024-01-03T11:40:00Z,11.899,0.0,Fitbit App
2024-01-03T11:45:00Z,12.256,0.0,Fitbit App
2024-01-03T11:50:00Z,11.233,0.0,Fitbit App
2024-01-03T11:55:00Z,11.486,0.0,Fitbit App
2024-01-03T12:00:00Z,13.177,0.0,Fitbit App
2024-01-03T12:05:00Z,14.736,0.0,Fitbit App
2024-01-03T12:10:00Z,12.596,0.0,Fitbit App
2024-01-03T12:15:00Z,10.992,0.0,Fitbit App
2024-01-03T12:20:00Z,13.47,0.0,Fitbit App
2024-01-03T12:25:00Z,12.437,0.0,Fitbit App
2024-01-03T12:30:00Z,11.852,0.0,Fitbit App
2024-01-03T12:35:00Z,12.612,0.0,Fitbit App
2024-01-03T12:40:00Z,16.589,0.0,Fitbit App
2024-01-03T12:45:00Z,16.455,0.0,Fitbit App
2024-01-03T12:50:00Z,11.685,0.0,Fitbit App
2024-01-03T12:55:00Z,9.955,0.0,Fitbit App
2024-01-03T13:00:00Z,10.048,0.0,Fitbit App
2024-01-03T13:05:00Z,10.002,0.0,Fitbit App
2024-01-03T13:10:00Z,10.335,0.0,Fitbit App
2024-01-03T13:15:00Z,11.136,0.0,Fitbit App
2024-01-04T21:05:00Z,7.675,0.0,Fitbit App
2024-01-04T21:10:00Z,8.456,0.0,Fitbit App
