timestamp,temperature celsius,data source
2024-08-25T21:06:00Z,31.1,Charge 5
2024-08-25T21:07:00Z,31.1,Charge 5
2024-08-25T21:08:00Z,31.1,Charge 5
2024-08-25T21:09:00Z,31.1,Charge 5
2024-08-25T21:10:00Z,31.2,Charge 5
2024-08-25T21:11:00Z,31.2,Charge 5
2024-08-25T21:12:00Z,31.2,Charge 5
2024-08-25T21:13:00Z,31.3,Charge 5
2024-08-25T21:14:00Z,31.2,Charge 5
2024-08-25T21:15:00Z,31.2,Charge 5
2024-08-25T21:16:00Z,31.2,Charge 5
2024-08-25T21:17:00Z,31.2,Charge 5
2024-08-25T21:18:00Z,31.2,Charge 5
2024-08-25T21:19:00Z,31.2,Charge 5
2024-08-25T21:20:00Z,31.2,Charge 5
2024-08-25T21:21:00Z,31.2,Charge 5
2024-08-25T21:22:00Z,31.1,Charge 5
2024-08-25T21:23:00Z,31.1,Charge 5
2024-08-25T21:24:00Z,31.0,Charge 5
2024-08-25T21:25:00Z,31.0,Charge 5
2024-08-25T21:26:00Z,31.0,Charge 5
2024-08-25T21:27:00Z,31.0,Charge 5
2024-08-25T21:28:00Z,30.9,Charge 5
2024-08-25T21:29:00Z,30.9,Charge 5
2024-08-25T21:30:00Z,30.9,Charge 5
2024-08-25T21:31:00Z,30.8,Charge 5
2024-08-25T21:32:00Z,30.9,Charge 5
2024-08-25T21:33:00Z,30.8,Charge 5
2024-08-25T21:34:00Z,30.8,Charge 5
2024-08-25T21:35:00Z,30.7,Charge 5
2024-08-25T21:36:00Z,30.7,Charge 5
2024-08-25T21:37:00Z,30.7,Charge 5
2024-08-25T21:38:00Z,30.7,Charge 5
2024-08-25T21:39:00Z,30.6,Charge 5
2024-08-25T21:40:00Z,30.5,Charge 5
2024-08-25T21:41:00Z,30.4,Charge 5
2024-08-25T21:42:00Z,30.4,Charge 5
2024-08-25T21:43:00Z,30.3,Charge 5
2024-08-25T21:44:00Z,30.2,Charge 5
2024-08-25T21:45:00Z,30.1,Charge 5
2024-08-25T21:46:00Z,30.1,Charge 5
2024-08-25T21:47:00Z,30.0,Charge 5
2024-08-25T21:48:00Z,30.0,Charge 5
2024-08-25T21:49:00Z,30.0,Charge 5
2024-08-25T21:50:00Z,29.9,Charge 5
2024-08-25T21:51:00Z,29.9,Charge 5
2024-08-25T21:52:00Z,29.8,Charge 5
2024-08-25T21:53:00Z,29.8,Charge 5
2024-08-25T21:54:00Z,29.8,Charge 5
2024-08-25T21:55:00Z,29.6,Charge 5
2024-08-25T21:56:00Z,29.6,Charge 5
2024-08-25T21:57:00Z,29.6,Charge 5
2024-08-25T21:58:00Z,29.5,Charge 5
2024-08-25T21:59:00Z,29.5,Charge 5
2024-08-25T22:00:00Z,29.4,Charge 5
2024-08-25T22:01:00Z,29.4,Charge 5
2024-08-25T22:02:00Z,29.4,Charge 5
2024-08-25T22:03:00Z,29.3,Charge 5
2024-08-25T22:04:00Z,29.3,Charge 5
2024-08-25T22:05:00Z,29.2,Charge 5
2024-08-25T22:06:00Z,29.2,Charge 5
2024-08-25T22:07:00Z,29.2,Charge 5
2024-08-25T22:08:00Z,29.2,Charge 5
2024-08-25T22:09:00Z,29.1,Charge 5
2024-08-25T22:10:00Z,29.1,Charge 5
2024-08-25T22:11:00Z,29.0,Charge 5
2024-08-25T22:12:00Z,29.0,Charge 5
2024-08-25T22:13:00Z,29.0,Charge 5
2024-08-25T22:14:00Z,28.9,Charge 5
2024-08-25T22:15:00Z,28.9,Charge 5
2024-08-25T22:16:00Z,28.9,Charge 5
2024-08-25T22:17:00Z,28.9,Charge 5
