start time,end time,data source
2024-03-22T05:30:00Z,2024-03-22T06:03:00Z,Fitbit App
2024-03-22T07:04:00Z,2024-03-22T07:17:00Z,Fitbit App
2024-03-22T07:33:00Z,2024-03-22T08:08:00Z,Fitbit App
2024-03-22T08:21:00Z,2024-03-22T08:39:00Z,Fitbit App
2024-03-22T10:18:00Z,2024-03-22T10:32:00Z,Fitbit App
2024-03-22T11:55:00Z,2024-03-22T12:13:00Z,Fitbit App
2024-03-22T12:14:00Z,2024-03-22T12:31:00Z,Fitbit App
2024-03-22T14:13:00Z,2024-03-22T14:40:00Z,Fitbit App
2024-03-22T16:37:00Z,2024-03-22T16:55:00Z,Fitbit App
2024-03-22T17:28:00Z,2024-03-22T18:30:00Z,Fitbit App
2024-03-22T18:33:00Z,2024-03-22T19:09:00Z,Fitbit App
2024-03-22T19:26:00Z,2024-03-22T19:42:00Z,Fitbit App
2024-03-22T20:10:00Z,2024-03-22T20:27:00Z,Fitbit App
2024-03-22T20:38:00Z,2024-03-22T23:00:00Z,Fitbit App
