start time,end time,data source
2023-03-20T06:30:00Z,2023-03-20T07:31:00Z,Fitbit App
2023-03-20T07:32:00Z,2023-03-20T08:37:00Z,Fitbit App
2023-03-20T08:48:00Z,2023-03-20T09:00:00Z,Fitbit App
2023-03-20T09:01:00Z,2023-03-20T09:24:00Z,Fitbit App
2023-03-20T09:47:00Z,2023-03-20T09:59:00Z,Fitbit App
2023-03-20T11:49:00Z,2023-03-20T12:28:00Z,Fitbit App
2023-03-20T13:06:00Z,2023-03-20T13:17:00Z,Fitbit App
2023-03-20T13:26:00Z,2023-03-20T13:56:00Z,Fitbit App
2023-03-20T13:57:00Z,2023-03-20T14:12:00Z,Fitbit App
2023-03-20T14:39:00Z,2023-03-20T14:55:00Z,Fitbit App
2023-03-20T15:06:00Z,2023-03-20T15:16:00Z,Fitbit App
2023-03-20T15:17:00Z,2023-03-20T15:27:00Z,Fitbit App
2023-03-20T15:46:00Z,2023-03-20T15:57:00Z,Fitbit App
2023-03-20T15:58:00Z,2023-03-20T16:22:00Z,Fitbit App
2023-03-20T16:26:00Z,2023-03-20T17:04:00Z,Fitbit App
2023-03-20T17:23:00Z,2023-03-20T17:34:00Z,Fitbit App
2023-03-20T17:52:00Z,2023-03-20T18:16:00Z,Fitbit App
2023-03-20T18:17:00Z,2023-03-20T19:16:00Z,Fitbit App
2023-03-20T19:23:00Z,2023-03-20T20:13:00Z,Fitbit App
2023-03-20T20:19:00Z,2023-03-20T20:42:00Z,Fitbit App
2023-03-20T20:43:00Z,2023-03-20T20:55:00Z,Fitbit App
2023-03-20T21:01:00Z,2023-03-20T21:18:00Z,Fitbit App
