start time,end time,data source
2021-12-16T00:20:00Z,2021-12-16T00:50:00Z,Fitbit App
2021-12-16T00:52:00Z,2021-12-16T01:04:00Z,Fitbit App
2021-12-16T06:13:00Z,2021-12-16T06:50:00Z,Fitbit App
2021-12-16T06:51:00Z,2021-12-16T08:12:00Z,Fitbit App
2021-12-16T10:28:00Z,2021-12-16T10:46:00Z,Fitbit App
2021-12-16T10:50:00Z,2021-12-16T11:05:00Z,Fitbit App
2021-12-16T11:18:00Z,2021-12-16T11:32:00Z,Fitbit App
2021-12-16T11:49:00Z,2021-12-16T14:15:00Z,Fitbit App
2021-12-16T14:17:00Z,2021-12-16T14:45:00Z,Fitbit App
2021-12-16T16:21:00Z,2021-12-16T16:32:00Z,Fitbit App
2021-12-16T17:42:00Z,2021-12-16T17:53:00Z,Fitbit App
2021-12-16T18:01:00Z,2021-12-16T18:40:00Z,Fitbit App
2021-12-16T18:41:00Z,2021-12-16T20:03:00Z,Fitbit App
2021-12-16T20:10:00Z,2021-12-16T20:34:00Z,Fitbit App
2021-12-16T20:35:00Z,2021-12-16T20:47:00Z,Fitbit App
2021-12-16T21:01:00Z,2021-12-16T21:19:00Z,Fitbit App
2021-12-16T21:58:00Z,2021-12-16T22:08:00Z,Fitbit App
2021-12-16T22:09:00Z,2021-12-16T22:20:00Z,Fitbit App
2021-12-16T22:24:00Z,2021-12-16T22:50:00Z,Fitbit App
