start time,end time,data source
2026-02-13T07:21:00Z,2026-02-13T09:01:00Z,Fitbit App
2026-02-13T09:08:00Z,2026-02-13T10:03:00Z,Fitbit App
2026-02-13T15:33:00Z,2026-02-13T16:17:00Z,Fitbit App
2026-02-13T16:25:00Z,2026-02-13T17:13:00Z,Fitbit App
2026-02-13T17:18:00Z,2026-02-13T17:59:00Z,Fitbit App
2026-02-13T18:04:00Z,2026-02-13T18:15:00Z,Fitbit App
2026-02-13T18:19:00Z,2026-02-13T18:33:00Z,Fitbit App
2026-02-13T18:37:00Z,2026-02-13T19:33:00Z,Fitbit App
2026-02-13T19:37:00Z,2026-02-13T19:57:00Z,Fitbit App
2026-02-13T20:01:00Z,2026-02-13T20:13:00Z,Fitbit App
2026-02-13T20:18:00Z,2026-02-13T23:00:00Z,Fitbit App
2026-02-13T23:00:00Z,2026-02-13T23:16:00Z,Fitbit App
