timestamp,average percentage,lower bound percentage,upper bound percentage,baseline percentage,standard deviation percentage,data source
2023-08-01T00:00:00Z,95.7,92.3,99.6,95.9,1.4,Charge 5
2023-08-02T00:00:00Z,93.7,91.9,95.5,95.7,1.5,Charge 5
2023-08-03T00:00:00Z,94.5,90.5,97.8,95.6,1.4,Charge 5
2023-08-05T00:00:00Z,94.6,94.6,94.6,95.6,1.4,Charge 5
2023-08-06T00:00:00Z,97.6,94.9,99.7,95.6,1.5,Charge 5
2023-08-07T00:00:00Z,94.8,94.2,95.1,95.6,1.5,Charge 5
2023-08-08T00:00:00Z,93.9,93.0,94.8,95.5,1.5,Charge 5
2023-08-09T00:00:00Z,96.1,94.1,97.6,95.5,1.5,Charge 5
2023-08-10T00:00:00Z,96.0,95.1,96.9,95.5,1.5,Charge 5
2023-08-11T00:00:00Z,97.1,94.9,99.9,95.5,1.5,Charge 5
2023-08-12T00:00:00Z,94.2,93.3,95.3,95.4,1.5,Charge 5
2023-08-13T00:00:00Z,94.3,90.9,97.6,95.3,1.5,Charge 5
2023-08-14T00:00:00Z,96.3,89.0,99.1,95.3,1.4,Charge 5
2023-08-15T00:00:00Z,95.4,93.4,97.3,95.3,1.4,Charge 5
2023-08-16T00:00:00Z,97.0,97.0,97.0,95.3,1.4,Charge 5
2023-08-17T00:00:00Z,95.9,94.5,97.2,95.3,1.4,Charge 5
2023-08-18T00:00:00Z,95.3,93.2,97.8,95.3,1.4,Charge 5
2023-08-19T00:00:00Z,96.6,94.3,98.5,95.3,1.4,Charge 5
2023-08-20T00:00:00Z,95.5,91.4,100.0,95.4,1.3,Charge 5
2023-08-21T00:00:00Z,96.0,93.9,98.0,95.4,1.3,Charge 5
2023-08-22T00:00:00Z,91.1,90.0,91.1,95.3,1.5,Charge 5
2023-08-23T00:00:00Z,96.6,96.4,97.1,95.3,1.6,Charge 5
2023-08-24T00:00:00Z,96.3,92.8,99.4,95.3,1.5,Charge 5
2023-08-26T00:00:00Z,94.9,94.2,95.6,95.3,1.5,Charge 5
2023-08-27T00:00:00Z,96.4,93.7,99.1,95.3,1.5,Charge 5
2023-08-28T00:00:00Z,96.4,93.2,100.0,95.3,1.5,Charge 5
2023-08-29T00:00:00Z,96.3,89.5,99.4,95.3,1.5,Charge 5
2023-08-31T00:00:00Z,96.0,96.0,96.8,95.4,1.4,Charge 5
