timestamp,average percentage,lower bound percentage,upper bound percentage,baseline percentage,standard deviation percentage,data source
2025-12-01T00:00:00Z,94.0,92.9,95.2,95.7,1.3,Charge 6
2025-12-02T00:00:00Z,97.5,97.5,98.1,95.7,1.4,Charge 6
2025-12-03T00:00:00Z,94.5,91.4,97.1,95.7,1.4,Charge 6
2025-12-04T00:00:00Z,95.2,92.6,98.3,95.6,1.3,Charge 6
2025-12-05T00:00:00Z,95.5,91.5,99.5,95.7,1.3,Charge 6
2025-12-06T00:00:00Z,94.8,92.9,98.3,95.6,1.3,Charge 6
2025-12-07T00:00:00Z,93.8,89.4,96.7,95.5,1.3,Charge 6
2025-12-08T00:00:00Z,92.1,90.0,92.1,95.4,1.5,Charge 6
2025-12-09T00:00:00Z,93.5,93.5,93.5,95.4,1.5,Charge 6
2025-12-10T00:00:00Z,95.2,91.7,98.2,95.3,1.4,Charge 6
2025-12-11T00:00:00Z,94.1,90.4,97.5,95.2,1.4,Charge 6
2025-12-12T00:00:00Z,94.6,91.6,96.5,95.2,1.4,Charge 6
2025-12-13T00:00:00Z,92.1,87.7,97.3,95.1,1.5,Charge 6
2025-12-14T00:00:00Z,95.2,92.9,98.1,95.0,1.4,Charge 6
2025-12-15T00:00:00Z,92.2,90.5,93.9,94.9,1.5,Charge 6
2025-12-16T00:00:00Z,87.3,84.6,87.8,94.6,2.0,Charge 6
2025-12-17T00:00:00Z,96.8,94.2,98.2,94.7,2.0,Charge 6
2025-12-18T00:00:00Z,94.1,94.1,96.0,94.6,2.0,Charge 6
2025-12-19T00:00:00Z,95.6,90.2,98.5,94.6,2.0,Charge 6
2025-12-20T00:00:00Z,93.4,93.4,94.1,94.6,2.0,Charge 6
2025-12-21T00:00:00Z,96.6,95.3,97.6,94.7,2.1,Charge 6
2025-12-22T00:00:00Z,94.0,90.7,97.0,94.6,2.0,Charge 6
2025-12-23T00:00:00Z,94.3,90.9,97.4,94.6,2.0,Charge 6
2025-12-29T00:00:00Z,94.1,90.8,98.0,94.5,1.9,Charge 6
2025-12-31T00:00:00Z,95.2,93.0,97.5,94.4,1.9,Charge 6
