timestamp,floors,data source
2021-11-01T13:32:00Z,1,Fitbit App
2021-11-01T14:26:00Z,2,Fitbit App
2021-11-01T14:27:00Z,1,Fitbit App
2021-11-01T17:16:00Z,2,Fitbit App
2021-11-01T17:17:00Z,1,Fitbit App
2021-11-01T17:32:00Z,1,Fitbit App
2021-11-01T17:54:00Z,1,Fitbit App
2021-11-01T17:56:00Z,1,Fitbit App
2021-11-02T12:26:00Z,2,Fitbit App
2021-11-02T12:39:00Z,2,Fitbit App
2021-11-02T12:51:00Z,1,Fitbit App
2021-11-02T14:13:00Z,2,Fitbit App
2021-11-02T15:15:00Z,1,Fitbit App
2021-11-03T15:04:00Z,2,Fitbit App
2021-11-03T15:51:00Z,2,Fitbit App
2021-11-03T15:52:00Z,2,Fitbit App
2021-11-03T16:08:00Z,1,Fitbit App
2021-11-03T16:10:00Z,1,Fitbit App
2021-11-03T16:44:00Z,1,Fitbit App
2021-11-03T16:45:00Z,1,Fitbit App
2021-11-03T17:01:00Z,1,Fitbit App
2021-11-03T17:13:00Z,1,Fitbit App
2021-11-03T17:24:00Z,1,Fitbit App
2021-11-03T17:43:00Z,1,Fitbit App
2021-11-03T17:44:00Z,1,Fitbit App
2021-11-03T17:46:00Z,2,Fitbit App
2021-11-03T17:47:00Z,3,Fitbit App
2021-11-04T18:20:00Z,1,Fitbit App
2021-11-04T18:21:00Z,1,Fitbit App
2021-11-04T18:38:00Z,1,Fitbit App
2021-11-04T19:01:00Z,1,Fitbit App
2021-11-04T19:05:00Z,1,Fitbit App
2021-11-04T19:06:00Z,1,Fitbit App
2021-11-04T19:07:00Z,1,Fitbit App
2021-11-05T16:33:00Z,1,Fitbit App
2021-11-05T16:48:00Z,1,Fitbit App
2021-11-05T21:09:00Z,2,Fitbit App
2021-11-06T10:21:00Z,1,Fitbit App
2021-11-06T10:57:00Z,1,Fitbit App
2021-11-06T11:00:00Z,1,Fitbit App
2021-11-06T11:01:00Z,3,Fitbit App
2021-11-06T11:02:00Z,2,Fitbit App
2021-11-06T11:03:00Z,1,Fitbit App
2021-11-06T11:05:00Z,1,Fitbit App
2021-11-06T11:06:00Z,1,Fitbit App
2021-11-06T11:08:00Z,1,Fitbit App
2021-11-06T11:09:00Z,1,Fitbit App
2021-11-06T11:10:00Z,1,Fitbit App
2021-11-06T11:11:00Z,2,Fitbit App
2021-11-06T11:12:00Z,1,Fitbit App
2021-11-06T11:13:00Z,1,Fitbit App
2021-11-06T11:26:00Z,1,Fitbit App
2021-11-06T11:56:00Z,1,Fitbit App
2021-11-06T11:57:00Z,1,Fitbit App
2021-11-06T11:58:00Z,1,Fitbit App
2021-11-06T14:17:00Z,1,Fitbit App
2021-11-06T15:19:00Z,1,Fitbit App
2021-11-06T15:20:00Z,1,Fitbit App
2021-11-06T15:28:00Z,1,Fitbit App
2021-11-06T15:47:00Z,2,Fitbit App
2021-11-06T16:02:00Z,1,Fitbit App
2021-11-06T17:10:00Z,1,Fitbit App
2021-11-06T18:08:00Z,1,Fitbit App
2021-11-06T18:24:00Z,1,Fitbit App
2021-11-06T19:19:00Z,1,Fitbit App
2021-11-06T22:29:00Z,1,Fitbit App
2021-11-07T10:14:00Z,1,Fitbit App
2021-11-07T10:15:00Z,1,Fitbit App
2021-11-07T10:17:00Z,1,Fitbit App
2021-11-07T10:19:00Z,1,Fitbit App
2021-11-07T10:22:00Z,1,Fitbit App
2021-11-07T10:23:00Z,2,Fitbit App
2021-11-07T10:25:00Z,1,Fitbit App
2021-11-07T10:26:00Z,1,Fitbit App
2021-11-07T17:43:00Z,1,Fitbit App
2021-11-07T17:49:00Z,1,Fitbit App
2021-11-07T17:50:00Z,1,Fitbit App
2021-11-07T17:51:00Z,1,Fitbit App
2021-11-07T18:19:00Z,1,Fitbit App
2021-11-08T09:29:00Z,1,Fitbit App
