timestamp,average percentage,lower bound percentage,upper bound percentage,baseline percentage,standard deviation percentage,data source
2023-09-01T00:00:00Z,95.8,94.5,97.2,95.5,1.3,Charge 5
2023-09-03T00:00:00Z,93.5,91.1,96.2,95.5,1.3,Charge 5
2023-09-04T00:00:00Z,92.9,87.1,96.7,95.4,1.4,Charge 5
2023-09-05T00:00:00Z,93.5,92.7,93.5,95.4,1.4,Charge 5
2023-09-14T00:00:00Z,95.8,93.2,98.3,95.4,1.4,Charge 5
2023-09-15T00:00:00Z,93.5,91.1,96.7,95.4,1.4,Charge 5
2023-09-16T00:00:00Z,96.4,92.1,100.0,95.3,1.4,Charge 5
2023-09-17T00:00:00Z,95.4,91.9,99.2,95.3,1.4,Charge 5
2023-09-18T00:00:00Z,96.4,95.6,97.3,95.4,1.4,Charge 5
2023-09-19T00:00:00Z,96.0,94.3,97.7,95.4,1.4,Charge 5
2023-09-22T00:00:00Z,95.3,95.0,96.1,95.4,1.4,Charge 5
2023-09-23T00:00:00Z,94.6,90.9,97.7,95.3,1.3,Charge 5
2023-09-24T00:00:00Z,97.3,93.3,99.9,95.4,1.4,Charge 5
2023-09-25T00:00:00Z,96.8,94.3,99.3,95.5,1.4,Charge 5
2023-09-26T00:00:00Z,95.6,91.9,99.1,95.5,1.4,Charge 5
2023-09-27T00:00:00Z,94.8,94.8,94.8,95.5,1.4,Charge 5
2023-09-28T00:00:00Z,96.2,95.3,97.6,95.4,1.4,Charge 5
2023-09-29T00:00:00Z,90.0,89.1,90.0,95.2,1.7,Charge 5
2023-09-30T00:00:00Z,95.2,95.2,95.2,95.2,1.7,Charge 5
