start time,end time,data source
2020-11-23T07:10:00Z,2020-11-23T07:32:00Z,Fitbit App
2020-11-23T07:33:00Z,2020-11-23T07:43:00Z,Fitbit App
2020-11-23T08:05:00Z,2020-11-23T10:06:00Z,Fitbit App
2020-11-23T10:19:00Z,2020-11-23T11:24:00Z,Fitbit App
2020-11-23T11:43:00Z,2020-11-23T12:47:00Z,Fitbit App
2020-11-23T14:02:00Z,2020-11-23T14:44:00Z,Fitbit App
2020-11-23T14:53:00Z,2020-11-23T15:30:00Z,Fitbit App
2020-11-23T15:31:00Z,2020-11-23T15:51:00Z,Fitbit App
2020-11-23T15:53:00Z,2020-11-23T17:33:00Z,Fitbit App
2020-11-23T17:57:00Z,2020-11-23T18:47:00Z,Fitbit App
2020-11-23T19:46:00Z,2020-11-23T23:00:00Z,Fitbit App
2020-11-23T23:33:00Z,2020-11-24T00:27:00Z,Fitbit App
